"site","cied","ciff","cigh","ciho","ciip","cith","ciwe","Latitude","Longitude"
"Site100",0.000736872352235723,0.00171936882188335,0.338224409676197,0.606937194124824,24.3492100072772,13.6532621904583,48.3921267401418,-10.45944,105.70106
"Site101",0.0213962526154112,0.0132075633428464,0.0213962526154112,0.0364528748262561,2.79392794954573,7.39940528719629,73.9713358630132,-10.466252,105.707469
"Site105",0.0943386379184417,0.0134769482740631,0.0558330714211185,1.36117177568037,34.0848524236697,7.38619277346866,30.7213911901286,-10.45497,105.66854
"Site109",0.00107011435523054,0.131891594282164,0.215628042578953,9.57003267882669,14.1198913886781,8.99992925607762,131.613899606981,-10.432404,105.667817
"Site11",0.0366591779099151,0.0281397914942306,0.336644845031896,1.03291106209557,4.46054419667263,4.65390845198619,31.8836745790869,-10.45031,105.55163
"Site111",0.0591745499359491,0.0564601210398047,4.81973994799409,3.65334985132082,37.9189430218003,4.29341218503168,17.9811913367297,-10.494884,105.617635
"Site113",0.036143723355331,0.129849672795078,0.180183154208428,2.75736449508559,37.8866540149103,4.64888601734791,9.12106938718087,-10.49908,105.60291
"Site114",0.000415812996376786,0.0336808527065197,0.0781728433188358,0.897740259177481,20.6625794159553,4.88538689443086,17.879127218209,-10.491865,105.605649
"Site115",0.0135221047482494,0.627696102413739,0.317499019488897,2.61057754269704,37.4927398354712,4.53125730113838,38.1061025068518,-10.50187,105.59539
"Site116",0.328096378532509,0.00834143335252141,0.058642804175302,0.337701665423291,7.94685827787638,6.14460313231645,130.803785795842,-10.4371,105.66283
"Site117",0.000422678971132676,0.0921440157069234,0.169494267424203,0.456070609852158,4.74372609302202,10.8155095133429,53.6789612969365,-10.42847,105.66389
"Site119",NA,0.000495914605475371,0.215226938776311,3.17385347504238,20.769399591914,18.9216217719128,49.1996880092116,-10.417434,105.675063
"Site12",0.324774932847803,0.00176920196882072,0.928831033630877,14.1950656252638,11.6423599273939,5.01037997570027,133.739284429065,-10.47534,105.57693
"Site120",0.000458195477905405,0.0187860145941216,0.273542700309527,0.388549765263784,8.39551574166074,12.6177870705591,43.1230674030672,-10.417664,105.683251
"Site122",0.00559420795214903,0.0419565596411177,0.062807698371855,0.994497604584312,26.7110715606134,4.61191589218759,39.5571529940051,-10.48242,105.66168
"Site124",NA,0.164191251837066,0.262929772958844,0.0847528949005636,1.94903687018854,3.32382392773399,25.5067053897277,-10.536787,105.636691
"Site129",0.0596694548954888,0.00807123061388254,0.141534793979155,0.624943856103477,4.8905892355404,10.1406364916348,66.5700688121222,-10.478932,105.688486
"Site131",0.0384453403396451,0.00415625300969136,0.0051953162621142,0.00129882906552855,0.737734909220216,6.64714739156201,57.1783519517633,-10.413764,105.700571
"Site134",0.0465473337497481,0.00105191714688696,0.0281387836792263,0.0983542532339311,0.990117014507354,7.67478750368729,42.3933129366915,-10.431409,105.703529
"Site135",0.224656587858777,0.108038908003684,0.0193022366656706,0.467274979281441,16.5446976886832,2.01359860549794,94.4911506439663,-10.511027,105.673565
"Site15",0.00282071913654049,0.074278937262233,0.613976532053647,0.604260721694452,29.4862307872073,7.94753287382153,99.4692128044891,-10.468616,105.559019
"Site18",0.0429744159644565,0.00344856424406132,0.956578666468087,3.95815592966454,36.683969509116,10.9945533584127,25.6339738486257,-10.48715,105.56911
"Site19",0.0225900599051023,0.0291569377844925,0.0633047027573216,1.11899599064809,29.1220019941742,4.60180534276148,39.1367534353594,-10.493425,105.568837
"Site20",0.0826739112595165,0.0593152506179388,2.19702638461401,9.57442629443544,18.339435629111,3.46101862787062,39.8236293684174,-10.497844,105.563777
"Site21",0.0357675909387301,0.0107828766800583,0.221180470437294,2.08477715714201,37.6122518419967,11.1800021382751,28.6198586848124,-10.497328,105.555766
"Site22",0.169301183689455,0.116307402962937,1.82438063016923,1.04230399249999,46.7340995641746,5.53255070784848,59.7443516471702,-10.50001,105.549288
"Site23",0.0983093647688563,0.0656296034033848,0.115864608477581,0.333009469120878,30.5137143724873,2.5330866268327,46.3239668565644,-10.498247,105.57576
"Site24",0.00770609133634172,0.100976369234822,0.391947749003587,1.46123435374287,40.077520949301,3.09093980773541,49.7218271203764,-10.498287,105.584046
"Site3",0.0213567368064585,0.0272298394282346,0.104381051141566,3.6602777294169,30.5622912476723,6.86085169907478,51.235345517114,-10.475569,105.611179
"Site35",0.0496503259349716,0.0695856840755284,0.00188069416420347,2.17107334315649,29.1932632332648,3.14113539305263,39.8989266935766,-10.469302,105.652452
"Site40",0.00198589056472846,0.021513814451225,0.28729216836405,0.307151074011335,17.7723966272765,4.67577933465316,33.6568732910179,-10.484229,105.676916
"Site41",0.0191550189175089,0.0266041929409845,1.15941072836811,0.92981654328741,13.4877937372203,8.55590844982063,109.677381650785,-10.48424,105.68019
"Site42",0.0984776578341732,0.0545619455567716,0.870063414756519,0.850634039021669,24.6486916000616,23.2122485748426,37.8540132039602,-10.49175,105.67764
"Site46",0.0241175036056965,0.0736923721285171,0.0262612817039806,1.83293027403293,25.6135927460365,5.93960519355848,51.0010169027041,-10.470647,105.680788
"Site60",0.00133156736184661,0.216779166508628,0.115313733535916,5.20722732523735,21.9090767448794,6.71536051926481,92.2579109790146,-10.496111,105.649235
"Site64",0.297360218523066,0.0731169093077741,1.31257083660684,2.25357730509574,16.949260645743,10.7451957574533,51.0176632320891,-10.498714,105.628876
"Site69",0.00353222416314015,0.0256086251827661,0.242840411215886,11.1597678914277,33.7869015284899,6.10486076196057,63.1402730282118,-10.513738,105.630997
"Site72",0.0230023116322665,0.0240847733561379,0.0974215551484229,3.62056385091875,38.0904749858785,16.4793972842177,22.4840830819631,-10.49398,105.6639
"Site8",0.0466690189884693,0.0360477939773005,0.185388654740402,0.638882777186977,11.213116914064,6.454486253757,76.5143394145505,-10.46759,105.569035
"Site86",0.425312446840785,0.0362774461340963,0.0668696208591177,0.940506327386943,10.5147741074788,4.87769214177621,79.5242228340883,-10.555707,105.653576
"Site94",0.427298335130686,0.0118474584601854,1.00519103113306,0.947270123105488,22.9116682777251,7.56762991065707,3.01346687856182,-10.439556,105.686115
"Site95",1.31335370497257,NA,0.175301114845537,0.112091578242579,5.37674364908449,16.3372772960374,97.1398539888781,-10.434434,105.69326
"Site96",0.246945121291776,0.018872748907014,0.153860885157182,0.114835878942678,15.9628269272325,12.3904394731048,76.5018072644315,-10.443254,105.696692
"Site99",0.0627426379334861,0.102843367395323,0.321624217928609,0.155492624443857,11.0819866235215,7.22113203798831,36.9540497724335,-10.437428,105.70284
"SiteH1",0.0473832686752666,3.34575463989019,0.17768725753225,0.0179064678133275,4.00388620306003,5.2105066495581,160.002829919808,-10.47721,105.69118
"Solar2Golf",2.38417225582276,0.0125533220534015,0.0401880657404034,0.14218380742429,4.55851224648901,10.0849379288038,33.1364114286003,-10.42562,105.69553
"Solar4Site98",1.33032356120397,0.0476550354112429,0.608571426051134,0.096972455778692,11.4352690495827,20.6410028087336,45.4285478265642,-10.44437,105.70248
"SolarSCAT",0.0553323021876691,0.00124063457819886,0.126296600060644,0.277157764769625,13.9179349520661,7.64230900170497,101.166057917732,-10.49117,105.64643
"Z1046",0.041885199792178,0.529680977902853,0.225364614811011,0.257612511996139,50.6784970901412,5.70342981594906,70.720379857956,-10.500718,105.673378
"Z1084",0.0589833666356364,0.000322313478883259,0.0070908965354317,0.00805783697208147,4.3241576326978,1.1764441979239,83.5852321653167,-10.505145,105.67376
"Z1099",0.2649924308422,0.143509754738219,0.449552650307863,7.06735480543379,25.8864898058494,13.5663442333811,24.7928119772979,-10.544702,105.649159
"Z1205",0.0197439616769805,0.00226570052030923,0.133352659195343,0.559304357013479,12.8853625305015,7.1401933540031,75.7093539006417,-10.462939,105.55494
"Z1219",NA,0.2640542214643,0.557488606652028,0.0583930754003112,5.75226880500047,4.03830350378504,56.4315822197259,-10.544037,105.639282
"Z1221",0.075269433069079,0.347055119963832,0.329257421504149,0.0849098530680743,7.36194381077125,4.94368153256173,36.9962241022983,-10.53008,105.63617
"Z132",0.00903560641010021,0.00218100844381729,1.9672696163232,4.6271651998758,13.1440031729823,5.86691271386851,44.7524238313218,-10.476283,105.571558
"Z187",0.0165930773034667,0.0230459406992593,0.0659113903998817,0.686769032837928,28.5354837738229,3.66153905829832,80.1653047223736,-10.471675,105.587178
"Z275",0.0102772354793658,0.0024807120122607,0.105961841666564,7.50734332396152,20.5130076293837,7.64661758407845,49.8516798235304,-10.479409,105.602184
"Z406",NA,0.0650815568824345,0.97552729380462,3.00314841892261,32.3194315418738,20.1276025624697,23.044787641553,-10.489903,105.619197
"Z412",0.00870533617863935,0.0137276455124698,0.0438615015154521,0.974328010763097,39.2697715018421,6.20322166852505,33.8788246629086,-10.477083,105.628488
"Z415",0.106986881079371,0.00568701028993336,0.0639788657617503,1.9840557149005,36.407173561724,8.23514633796662,99.3687753578624,-10.468993,105.634299
"Z51",0.00469645590863336,0.175021256861737,0.043833588480578,1.81596295133823,34.2944603360225,5.50831658670578,92.4027700023614,-10.478942,105.55732
"Z52",0.00842571702019456,0.079888279895178,0.182869265697556,3.96632827135825,28.482044164191,6.79768125373696,83.3487530817312,-10.4759,105.559347
"Z53",0.0230977418733259,0.0937108384574937,2.56648908986756,1.19151351292257,70.5985780035617,4.31861779482985,42.689906465763,-10.473189,105.561212
"Z569",0.426407326020387,0.000840211479843128,0.0777195618854893,1.64387376031308,51.1671986994868,4.06494313948105,42.0761104875841,-10.479441,105.643576
"Z580",0.165040178492357,0.0129043760961102,0.0135835537853792,0.311742559374451,37.8774001416851,2.9252183076814,25.7649452312625,-10.460816,105.657063
"Z583",0.0572465189449485,0.0206353731080628,0.0133131439406857,0.443327693224834,20.8966435578988,4.45690776274305,56.4946591408983,-10.457783,105.65897
"Z596",0.754596528072276,0.0121058266535659,0.0108952439882093,14.5205355433972,20.4124413756877,13.35877971221,52.8483897836971,-10.428519,105.681043
"Z609",NA,0.0404387481032439,0.00104582969232527,0.0683275398985846,15.2896814918981,6.39385412897928,40.9072798054057,-10.51337,105.6228
"Z627",0.29712507656172,0.00600252679922666,0.0166736855534074,1.12113861661111,43.0271125179899,4.92040460681052,29.9992950476906,-10.475756,105.649954
"Z669",0.186750820726658,0.253210187533299,0.0405402137520504,0.900192123395939,32.479357152073,4.73788825964537,56.8945347358284,-10.488712,105.645066
"Z684",0.0504715252268736,0.0236907159228182,0.0357077457387405,3.41352315513998,56.9679315453612,5.3486082992125,42.2707607367792,-10.45898,105.666587
"Z692",0.37045588019223,0.0448043984893257,0.0513611397316661,1.01483783895335,23.0243611358805,11.8713442826596,25.5170155981769,-10.443181,105.677811
"Z696",0.171882166061449,0.00882351981834953,0.0388234872007379,0.398823095789399,10.8522234949845,13.0852798906124,44.6124220831607,-10.432321,105.686057
"Z697",1.38972080967361,0.00256947851762158,0.0183534179830113,0.356790445589739,6.0992078641143,11.1082227000377,41.3542884676806,-10.429493,105.687989
"Z706",0.00112352464805569,0.305973212487166,0.0857623814682511,0.0082391807524084,10.8225384265044,5.63410160178327,24.4737374085971,-10.516777,105.629169
"Z814",0.0678841546219099,0.0496209049012946,0.138869615800151,1.19710433074373,35.7563416464085,7.40247416034451,15.1946791779346,-10.465062,105.674729
"Z878",0.141943964373372,0.178287105010032,0.434060528735963,3.61271389517444,25.0589383287947,16.4318996052131,30.4977236110526,-10.500887,105.656408
"Z887",0.044289061913554,0.00254901075761462,0.195955201991624,1.39972553227513,27.8093887392308,5.0750804184107,35.4236024985703,-10.482581,105.670128
"Z915",0.218444499743101,0.0428909291733029,0.192842937368339,7.98436258269532,26.239938995016,21.7779524097003,19.427928476391,-10.516317,105.649628
"Z928",0.20952175152619,0.022875001353334,0.0878532660671522,4.48880461339336,23.2923872475926,8.75515812666952,51.4011226062177,-10.486652,105.670894
"Z942",0.0608512683758833,0.0512625836621078,0.01991496055938,NA,4.07703498118418,9.15166196816694,98.8515946921417,-10.438453,105.706668
"Z987",0.12843096273633,0.0080728033719979,0.0480698746241693,0.418684938520437,11.2230314151162,2.83722343964944,11.7745506636668,-10.528393,105.649111
