xenocanto_10_1,ioc_12_2,comment
hemispingus verticalis,pseudospingus verticalis,10.2
hemispingus xanthophthalmus,pseudospingus xanthophthalmus,10.2
hemispingus trifasciatus,microspingus trifasciatus,10.2
pyrrhocoma ruficeps,thlypopsis pyrrhocoma,10.2
tachyphonus cristatus,loriotus cristatus,10.2
tachyphonus rufiventer,loriotus rufiventer,10.2
tachyphonus luctuosus,loriotus luctuosus,10.2
thraupis cyanocephala,sporathraupis cyanocephala,10.2
thraupis bonariensis,rauenia bonariensis,11.1
buthraupis eximia,cnemathraupis eximia,10.2
buthraupis aureodorsalis,cnemathraupis aureodorsalis,10.2
buthraupis wetmorei,tephrophilus wetmorei,10.2
delothraupis castaneoventris,dubusia castaneoventris,10.2
tangara cabanisi,poecilostreptus cabanisi,10.2
tangara palmeri,poecilostreptus palmeri,10.2
tangara xanthogastra,ixothraupis xanthogastra,10.2
tangara punctata,ixothraupis punctata,10.2
tangara guttata,ixothraupis guttata,10.2
tangara varia,ixothraupis varia,10.2
tangara rufigula,ixothraupis rufigula,10.2
tangara cayana,stilpnia cayana,10.2
tangara cucullata,stilpnia cucullata,10.2
tangara peruviana,stilpnia peruviana,10.2
tangara preciosa,stilpnia preciosa,10.2
tangara vitriolina,stilpnia vitriolina,10.2
tangara meyerdeschauenseei,stilpnia meyerdeschauenseei,10.2
tangara ruficervix,chalcothraupis ruficervix,10.2
tangara cyanicollis,stilpnia cyanicollis,10.2
tangara larvata,stilpnia larvata,10.2
tangara nigrocincta,stilpnia nigrocincta,10.2
tangara heinei,stilpnia heinei,10.2
tangara phillipsi,stilpnia phillipsi,10.2
tangara viridicollis,stilpnia viridicollis,10.2
tangara argyrofenges,stilpnia argyrofenges,10.2
tangara cyanoptera,stilpnia cyanoptera,10.2
oreomanes fraseri,conirostrum binghami,10.2
phrygilus fruticeti,rhopospina fruticeti,10.2
phrygilus unicolor,geospizopsis unicolor,10.2
phrygilus dorsalis,idiopsar dorsalis,10.2
phrygilus erythronotus,idiopsar erythronotus,10.2
phrygilus plebejus,geospizopsis plebejus,10.2
phrygilus carbonarius,porphyrospiza carbonaria,10.2
phrygilus alaudinus,porphyrospiza alaudina,10.2
diuca speculifera,idiopsar speculifer,10.2
poospiza thoracica,castanozoster thoracicus,10.2
poospiza alticola,microspingus alticola,10.2
poospiza hypocondria,poospizopsis hypocondria,10.2
poospiza erythrophrys,microspingus erythrophrys,10.2
poospiza lateralis,microspingus lateralis,10.2
poospiza cabanisi,microspingus cabanisi,10.2
poospiza torquata,microspingus torquatus,10.2
poospiza melanoleuca,microspingus melanoleucus,10.2
poospiza cinerea,microspingus cinereus,10.2
poospiza caesar,poospizopsis caesar,10.2
compsospiza garleppi,poospiza garleppi,10.2
compsospiza baeri,poospiza baeri,10.2
saltator atricollis,saltatricula atricollis,10.2
oryzoborus funereus,sporophila funerea,10.2
oryzoborus angolensis,sporophila angolensis,10.2
oryzoborus nuttingi,sporophila nuttingi,10.2
oryzoborus crassirostris,sporophila crassirostris,10.2
oryzoborus maximiliani,sporophila maximiliani,10.2
oryzoborus atrirostris,sporophila atrirostris,10.2
dolospingus fringilloides,sporophila fringilloides,10.2
tiaris canorus,phonipara canora,10.2
tiaris obscurus,asemospiza obscura,10.2
tiaris bicolor,melanospiza bicolor,10.2
tiaris fuliginosus,asemospiza fuliginosa,10.2
loxigilla portoricensis,melopyrrha portoricensis,10.2
loxigilla violacea,melopyrrha violacea,10.2
arborophila charltonii,tropicoperdix charltonii,10.2
arborophila chloropus,tropicoperdix chloropus,10.2
campylopterus curvipennis,pampa curvipennis,10.2
campylopterus pampa,pampa pampa,10.2
campylopterus excellens,pampa excellens,10.2
campylopterus rufus,pampa rufa,10.2
aphantochroa cirrochloris,eupetomena cirrochloris,10.2
chlorostilbon auriceps,cynanthus auriceps,10.2
chlorostilbon forficatus,cynanthus forficatus,10.2
chlorostilbon canivetii,cynanthus canivetii,10.2
elvira chionura,microchera cupreiceps,10.2
elvira cupreiceps,microchera chionura,10.2
goethalsia bella,goldmania bella,10.2
cynanthus sordidus,phaeoptila sordida,10.2
cyanophaia bicolor,riccordia bicolor,10.2
thalurania ridgwayi,eupherusa ridgwayi,10.2
juliamyia julie,chlorestes julie,10.2
lepidopyga coeruleogularis,chrysuronia goudoti,10.2
lepidopyga lilliae,chrysuronia coeruleogularis,10.2
lepidopyga goudoti,chrysuronia lilliae,10.2
hylocharis eliciae,chlorestes eliciae,10.2
hylocharis cyanus,chlorestes cyanus,10.2
hylocharis grayi,chrysuronia humboldtii,10.2
hylocharis humboldtii,chrysuronia grayi,10.2
leucippus baeri,thaumasius baeri,10.2
leucippus taczanowskii,thaumasius taczanowskii,10.2
leucippus chlorocercus,talaphorus chlorocercus,10.2
amazilia chionogaster,elliotomyia chionogaster,10.2
amazilia viridicauda,elliotomyia viridicauda,10.2
amazilia castaneiventris,saucerottia castaneiventris,10.2
amazilia amazilia,amazilis amazilia,10.2
amazilia leucogaster,chrysuronia leucogaster,10.2
amazilia versicolor,chrysuronia versicolor,10.2
amazilia brevirostris,chrysuronia brevirostris,10.2
amazilia franciae,uranomitra franciae,10.2
amazilia candida,chlorestes candida,10.2
amazilia cyanocephala,saucerottia cyanocephala,10.2
amazilia violiceps,ramosomyia violiceps,12.2
amazilia viridifrons,ramosomyia viridifrons,12.2
amazilia wagneri,ramosomyia wagneri,12.2
amazilia fimbriata,chionomesa fimbriata,10.2
amazilia lactea,chionomesa lactea,10.2
amazilia amabilis,polyerata amabilis,10.2
amazilia decora,polyerata decora,10.2
amazilia rosenbergi,polyerata rosenbergi,10.2
amazilia saucerottei,saucerottia saucerottei,10.2
amazilia cyanifrons,saucerottia cyanifrons,10.2
amazilia edward,saucerottia edward,10.2
amazilia beryllina,saucerottia beryllina,10.2
amazilia cyanura,saucerottia cyanura,10.2
amazilia hoffmanni,saucerottia hoffmanni,10.2
