ebird2021,bird_genera,comment
afrski1,rynchops,
afrsni1,gallinago,
afrspo1,platalea,
afrsto1,saxicola,
afrswi1,apus,
afrswi2,apus,
afrtai2,artisornis,
afrthr1,turdus,
afrwar1,acrocephalus,
afsowl1,otus,
afswar1,bradypterus,
afwowl1,strix,
afywar1,iduna,
afywhe1,zosterops,
afywhe2,zosterops,
afywhe3,zosterops,
afywhe4,zosterops,
agaher1,agamia,
agitit1,uromyias,
agular1,certhilauda,
agurew1,acrocephalus,
agwtea1,anas,
ahafra2,pternistis,
ajpant1,herpsilochmus,
akekee,loxops,
akeowl1,bubo,
akepa1,loxops,
akepa2,loxops,
akepa3,loxops,
akiapo,hemignathus,
akikik,oreomystis,
alaant1,myrmotherula,
alacur1,mitu,
alagre1,tachybaptus,
alatyr1,phylloscartes,
alblyr1,menura,
albowl1,glaucidium,
albwar1,nesillas,
alddro1,dicrurus,
aldfly,empidonax,
aldwhe1,zosterops,
aleowl1,asio,
alepar1,polytelis,
alepar2,psittacula,
aleswi1,apus,
aleter1,onychoprion,
alfant1,hylopezus,
alfgle1,philydor,
algnut1,sitta,
allant1,percnostola,
allgal1,porphyrio,
allhum,selasphorus,
alomyz1,myzomela,
alpacc1,prunella,
alplew1,phylloscopus,
alpmun1,lonchura,
alppip1,anthus,
alprob1,petroica,
alpswi1,apus,
alptap1,scytalopus,
alpthr1,zoothera,
alsred1,phoenicurus,
altori,icterus,
altsno1,tetraogallus,
altyel1,geothlypis,
amaant1,myrmothera,
amaant2,thamnophilus,
amabaw1,dendrocolaptes,
amahum1,amazilis,
amakin1,chloroceryle,
amapar1,nannopsittaca,
amapyo1,glaucidium,
amasta1,myrmotherula,
amasun2,hedydipna,
amatyr1,inezia,
amaumb1,cephalopterus,
amawoo1,scolopax,
ambduc,anas,
ambtyr1,knipolegus,
ambwhe1,zosterops,
ameavo,recurvirostra,
amebit,botaurus,
amecro,corvus,
amedip,cinclus,
amedov1,phapitreron,
amegfi,spinus,
amekes,falco,
ameoys,haematopus,
amepip,anthus,
amered,setophaga,
amerob,turdus,
amesun2,chalcomitra,
amewig,mareca,
amewoo,scolopax,
amewoo1,calliphlox,
amgplo,pluvialis,
amhgul1,larus,
ampkin1,chloroceryle,
amptap1,scytalopus,
amsduc1,mareca,
amsfly1,sublegatus,
amthum1,lampornis,
amtspa,spizelloides,
amtsun1,heliangelus,
amtsun2,heliangelus,
amtsun4,heliangelus,
amufal1,falco,
amupaf1,terpsiphone,
amwpel,pelecanus,
anawax1,estrilda,
anbtyr1,phylloscartes,
anbwar1,nesillas,
ancant1,herpsilochmus,
ancbar1,stactolaema,
anccha1,xenocopsychus,
ancdov1,macropygia,
anchum1,orthorhyncus,
ancmur,synthliboramphus,
ancsun1,anthreptes,
anctap1,scytalopus,
andavo1,recurvirostra,
andbul1,brachypodius,
andcon1,vultur,
andcot1,rupicola,
andcou1,centropus,
andcra1,rallina,
andcus1,coracina,
anddro1,dicrurus,
andduc1,oxyura,
andeme1,uranomitra,
andfla2,phoenicoparrus,
andfli1,colaptes,
andflo1,dicaeum,
andgoo1,oressochen,
andgua1,penelope,
andgul1,chroicocephalus,
andhao1,ninox,
andhil2,oreotrochilus,
andhil3,oreotrochilus,
andlap1,vanellus,
andneg1,lessonia,
andnig1,caprimulgus,
andpar1,bolborhynchus,
andpot1,nyctibius,
andsha1,copsychus,
andsis1,spinus,
andsni1,gallinago,
andsol1,myadestes,
andswa2,orochelidon,
andswi1,aeronautes,
andtea1,anas,
andtin1,nothoprocta,
andtre1,dendrocitta,
andtyr2,knipolegus,
andtyr3,knipolegus,
andwoo1,dryocopus,
angbat1,batis,
anghel1,prionops,
anglar1,mirafra,
angpet1,macronectes,
angslf1,melaenornis,
angswa1,hirundo,
anhing,anhinga,
aniani,magumma,
anjsun2,cinnyris,
ankser2,crithagra,
annhum,calypte,
anpowl1,glaucidium,
anpswi,tachornis,
anseag1,spilornis,
ansgre1,eurillas,
ansowl1,otus,
ansowl2,otus,
antant1,grallaria,
antbrf1,atlapetes,
anteup1,chlorophonia,
antman1,anthracothorax,
antnig,chordeiles,
antpar1,cyanoramphus,
antpet1,thalassoica,
antpic1,nesoctites,
antsha1,leucocarbo,
antsis1,spinus,
antspi1,leptasthenura,
antter1,sterna,
antwre2,thryophilus,
anweye1,zosterops,
anwpig1,columba,
apapan,himatione,
apapan2,himatione,
apbsun2,cinnyris,
apifly1,myiarchus,
aplfal,falco,
apomyn2,goodfellowia,
apostl1,struthidea,
apowre1,cistothorus,
apptet1,xanthomixis,
apubrf1,atlapetes,
apuspi1,synallaxis,
aquwar1,acrocephalus,
arabab1,argya,
arabus1,ardeotis,
arafan1,rhipidura,
araman1,antilophia,
arapar1,alectoris,
arasco1,otus,
arawax1,estrilda,
arawoo1,dendrocoptes,
arcbow1,archboldia,
arcbuz1,buteo,
arcloo,gavia,
arcnew1,newtonia,
arcnig1,eurostopodus,
arcter,sterna,
arcwar1,phylloscopus,
arcwar2,phylloscopus,
arcwar3,phylloscopus,
arfast1,astrapia,
arfcat1,ailuroedus,
arfhon1,melipotes,
argspa2,passer,
ariwoo,dryobates,
armbab1,turdoides,
armgul1,larus,
arrcha1,cossypha,
arrpic1,picumnus,
arrwar1,setophaga,
artspi1,leptasthenura,
asbant1,myrmoborus,
asbfly,muscicapa,
asbfly1,muscicapa,
asbowl1,glaucidium,
asbspi1,cranioleuca,
asbwhe1,zosterops,
asccra1,mundia,
asccuc1,coccycua,
ascspl1,eremopterix,
asctap1,myornis,
asdwar1,curruca,
asecuc1,chrysococcyx,
asfblu1,irena,
asfbul1,pycnonotus,
asfowl1,tyto,
asgsta1,aplonis,
asgwea2,ploceus,
ashant1,myrmotherula,
ashbab1,pellorneum,
ashbul1,hemixos,
ashcis1,cisticola,
ashcus2,coracina,
ashcus3,coracina,
ashdro1,dicrurus,
ashflo1,dicaeum,
ashfly1,fraseria,
ashgoo1,chloephaga,
ashgre1,hylophilus,
ashlar1,mirafra,
ashlau1,argya,
ashmar1,delichon,
ashmin1,pericrocotus,
ashmyz1,myzomela,
ashpri1,prinia,
ashsta2,lamprotornis,
ashtai1,orthotomus,
ashthr1,geokichla,
ashtit2,melaniparus,
ashtyr1,phyllomyias,
ashwoo1,mulleripicus,
ashwoo2,artamus,
asidow1,limnodromus,
asidrc2,surniculus,
asidrc3,surniculus,
asidrc4,surniculus,
asifri1,fregata,
asikoe2,eudynamys,
asikoe3,eudynamys,
asiope1,anastomus,
asistu1,urosphena,
aspfly1,terpsiphone,
aspsta2,gracupica,
aspswi1,cypsiurus,
asrfin1,leucosticte,
asslau1,trochalopteron,
asspet,hydrobates,
astant1,herpsilochmus,
astcas2,casiornis,
astcra1,mustelirallus,
astfly,myiarchus,
astgna1,conopophaga,
astpar1,sinosuthora,
astwar2,phylloscopus,
aswant1,euchrepomis,
aswpig1,columba,
atbtan1,chlorospingus,
atfdov1,ptilinopus,
athscr1,sericornis,
atigre1,podilymbus,
atiswi1,aerodramus,
atlfly1,ficedula,
atlpet1,pterodroma,
atlpuf,fratercula,
atosta1,aplonis,
attwoo1,picoides,
audgul1,ichthyaetus,
audori,icterus,
audshe,puffinus,
audshe3,puffinus,
audwar,setophaga,
augbuz1,buteo,
auimer1,mergus,
auirai1,lewinia,
auisha1,leucocarbo,
auitea1,anas,
aukpar1,alisterus,
aumowl1,tyto,
auonig1,aegotheles,
aupowl1,glaucidium,
aurwar1,acrocephalus,
ausbit1,botaurus,
ausbla1,curaeus,
ausbrt1,alectura,
ausbus1,ardeotis,
ausbus2,mirafra,
auscan1,asthenes,
auscra1,porzana,
ausfig1,sphecotheres,
ausgan1,morus,
ausgre1,tachybaptus,
ausgro1,tyto,
aushob1,falco,
ausibi1,threskiornis,
auskes1,falco,
auskit1,elanus,
ausmag2,gymnorhina,
ausneg1,lessonia,
auspar1,enicognathus,
auspas1,rostratula,
auspel1,pelecanus,
auspip1,anthus,
auspip2,anthus,
auspra1,stiltia,
ausrai1,rallus,
ausrav1,corvus,
ausshe1,tadorna,
aussho1,spatula,
ausswi1,aerodramus,
austhr1,turdus,
ayebul1,pycnonotus,
