ebird2021,bird_genera,comment
crhmyz1,myzomela,
crhpar1,haematortyx,
cricha1,epthianura,
crifin1,neochmia,
crifru1,haematoderus,
crilon1,spiloptila,
criros2,platycercus,
crisee1,pyrenestes,
crithr,toxostoma,
critop1,topaza,
crmwoo2,colaptes,
crobab1,mystacornis,
crocht1,ochthoeca,
crocht3,ochthoeca,
crocis1,cisticola,
crocor1,microcarbo,
croeag1,buteogallus,
crohon1,gymnomyza,
crohor1,lophoceros,
crolap1,vanellus,
crosan1,pterocles,
crosha1,leucocarbo,
croslf1,empidonomus,
crowoo1,thalurania,
crpowl,glaucidium,
crqdov1,geotrygon,
crrmin1,geositta,
crrtou1,aulacorhynchus,
crrwax1,estrilda,
crsbul1,pycnonotus,
crseag1,spilornis,
crspar1,prosopeia,
crstit1,falcunculus,
crtwar1,leptopoecile,
crtwhe1,zosterops,
crtwhe2,zosterops,
crvbul1,pycnonotus,
crwcin1,cinclodes,
crwfin1,rhodopechys,
crwfin2,rhodopechys,
crwwoo1,picus,
cryfof1,micrastur,
crytre1,cichlocolaptes,
crywar1,cryptosylvicola,
cssvir1,vireolanius,
ctgsta1,hylopsar,
cthhue1,pteroptochos,
cubbla,ptiloxena,
cubblh1,buteogallus,
cubbul1,melopyrrha,
cubcro1,corvus,
cubeme1,riccordia,
cubgna1,polioptila,
cubgra,phonipara,
cubmac1,ara,
cubmar,progne,
cubpar1,amazona,
cubpar2,psittacara,
cubpew1,contopus,
cubree1,limnornis,
cubscy1,campylorhamphus,
cubsol1,myadestes,
cubthr,toxostoma,
cubtin1,nothoprocta,
cubtod1,todus,
cubtro1,priotelus,
cubvir1,vireo,
cucara1,pteroglossus,
cucjay1,cyanocorax,
cuckoo1,leptosomus,
cucman1,manucodia,
cugwoo1,xiphidiopicus,
cunant1,grallaria,
cupcro1,corvus,
cupowl1,glaucidium,
cursan,calidris,
cutia1,cutia,
cutthr1,amadina,
cuzbrf1,atlapetes,
cvswar1,acrocephalus,
cwbros1,carpodacus,
cypwar1,curruca,
cypwhe1,oenanthe,
dabcin1,cinclodes,
dabcuc1,coccyzus,
dabhon1,lichmera,
dabros1,procarduelis,
dabspi1,synallaxis,
dabwar1,locustella,
dacgos1,melierax,
dacwhe1,heleia,
daedov2,phapitreron,
daedov3,phapitreron,
daehon1,myza,
daejun,junco,
daejun2,junco,
dafbab1,dumetia,
dafgrt1,muscisaxicola,
dahori1,oriolus,
dalpel1,pelecanus,
dalshb1,pteruthius,
damfly1,ficedula,
damroc1,achaetops,
damter2,sternula,
dantai1,orthotomus,
dapthr1,arcanator,
darbar1,trachyphonus,
darbat1,batis,
darnew1,newtonia,
darnot1,nothura,
darpew1,contopus,
darros1,carpodacus,
darswi1,apus,
darter2,anhinga,
darter3,anhinga,
darter4,anhinga,
darwar1,curruca,
darwoo1,dendrocopos,
dasfly,muscicapa,
dasthr1,zoothera,
datori1,oriolus,
datsee1,sporophila,
datthr1,turdus,
daujac1,corvus,
daupar1,perdix,
daured1,phoenicurus,
dausta1,agropsar,
davlew1,phylloscopus,
dawmin1,geositta,
dawtru1,psophia,
dbipig1,ducula,
dbptyr1,lophotriccus,
dbwqua1,odontophorus,
deasof1,thripophaga,
debflo1,diglossa,
defpar1,cyclopsitta,
delpig1,columba,
demcra1,anthropoides,
demwir1,sylviorthorhynchus,
derpar1,psittacula,
descha1,ashbyia,
descis1,cisticola,
desfin2,rhodospiza,
deslar1,ammomanes,
desspa1,passer,
desspa3,passer,
desspa4,passer,
deswhe1,oenanthe,
dhbfin1,atlapetes,
diadov1,geopelia,
diafir1,stagonopleura,
dianig1,eurostopodus,
diaplo1,phegornis,
diatan1,stephanophorus,
diatap1,scytalopus,
diatap2,scytalopus,
diatro1,harpactes,
dickci,spiza,
dickes1,falco,
didcuc1,chrysococcyx,
dierai1,gallirallus,
dimfan1,rhipidura,
dindor2,pseudocolopteryx,
djifra1,pternistis,
dltcuc1,cercococcyx,
dobant2,hylophylax,
dobcou2,smutsornis,
dobfin1,stizoptera,
dobgra1,xenerpestes,
dobplo1,charadrius,
dobsan1,pterocles,
doccor,nannopterum,
docsee1,sporophila,
dodo1,raphus,
doecoq1,lophornis,
dofwoo1,dryobates,
dohbus1,telophorus,
dohthb1,sylvia,
dolgul2,leucophaeus,
dollar1,eurystomus,
dorcht1,ochthoeca,
dorcis1,cisticola,
dorgos1,megatriorchis,
dosfra2,pternistis,
dosnig1,caprimulgus,
dotbar1,lybius,
dotkit1,harpagus,
dottan1,ixothraupis,
doveki,alle,
dovpri1,pachyptila,
dowant1,microrhopias,
dowcra1,porzana,
dowwoo,dryobates,
drahem1,pseudospingus,
drapri1,prinia,
drasee1,sporophila,
drasis2,crithagra,
draswi1,collocalia,
drawhi1,pachycephala,
drawhi3,pachycephala,
drbhor1,tockus,
drbpyt1,hemitriccus,
drwtyr1,ochthornis,
dsswea1,plocepasser,
dstkne,burhinus,
dubfly2,bradornis,
dubfly3,eumyias,
dubjac1,brachygalba,
dubpar1,forpus,
dubsee1,sporophila,
dubtan1,chlorospingus,
ducatt1,attila,
duccoc1,cacatua,
ducdov1,macropygia,
ducfly,myiarchus,
ducfly1,elminia,
ducfly2,myiozetetes,
ducfog1,anabazenops,
ducgra2,asemospiza,
ducgre1,pachysylvia,
duclor1,charmosynoides,
ducwin1,cryptospiza,
duegih1,gymnomyza,
dueowl1,bubo,
duftan1,mitrospingus,
dugant1,herpsilochmus,
dugfin1,emberizoides,
dugoro1,psarocolius,
duhpar,aratinga,
dulfly1,myiagra,
dulfro1,batrachostomus,
dulgua1,penelope,
dumant1,sipia,
dumant3,sipia,
dunlar2,eremalauda,
dunlar3,calendulauda,
dunlin,calidris,
dunnoc1,prunella,
duplar1,chersophilus,
dusant1,cercomacroides,
dusbab2,turdoides,
dusbro1,corydon,
duscrm1,ptyonoprogne,
dusfan1,rhipidura,
dusfly,empidonax,
dusfri1,philemon,
dusful1,schoeniparus,
dusger1,gerygone,
dusgra1,amytornis,
dusgro,dendragapus,
dushum1,phaeoptila,
duslar1,pinarocorys,
duslor1,pseudeos,
dusmoo1,gallinula,
dusmun1,lonchura,
dusmyz1,myzomela,
dusnig1,antrostomus,
duspar1,pionus,
duspig2,patagioenas,
duspih1,lipaugus,
duspur1,iodopleura,
dusrob1,melanodryas,
dusscr2,megapodius,
dusscr3,megapodius,
dusspi1,synallaxis,
dussta1,coeligena,
dussun2,cinnyris,
dustap1,scytalopus,
dustet1,xanthomixis,
dusthr1,turdus,
dusthr2,turdus,
dustit2,melaniparus,
dustwi1,euschistospiza,
duswar,phylloscopus,
duswoo1,artamus,
duswoo3,scolopax,
duswoo4,scolopax,
dutant1,drymophila,
dutant2,thamnomanes,
dutcan1,pseudasthenes,
dutdov1,streptopelia,
dutfla1,ramphotrigon,
duther1,phaethornis,
duweye1,zosterops,
dwabit1,ixobrychus,
dwacas1,casuarius,
dwacuc1,coccycua,
dwafrd1,ptilinopus,
dwahon1,indicator,
dwahon2,oedistoma,
dwajay1,cyanolyca,
dwakin1,ispidina,
dwakoe1,microdynamis,
dwatin1,taoniscus,
dwavir1,vireo,
dwawhi1,pachycare,
dwtman1,tyranneutes,
dybtwi1,euschistospiza,
eaafie1,pyriglena,
eabwar1,phylloscopus,
eacaka1,sheppardia,
eacgos1,melierax,
eaclar1,mirafra,
eacsun1,aethopyga,
eactan1,calyptophilus,
eacwar1,phylloscopus,
eamhar1,circus,
eaosun1,cyanomitra,
eaowar1,iduna,
eaowar2,curruca,
eaptyr1,myiornis,
eapwhy1,vidua,
eardov1,zenaida,
eargre,podiceps,
earpit1,hydrornis,
earpoo1,nyctiphrynus,
earque,euptilotis,
easbeg1,criniger,
easblu,sialia,
easbri1,dasyornis,
easkin,tyrannus,
easmah2,circus,
easmea,sturnella,
easmog1,arizelocichla,
easmog3,arizelocichla,
easmog4,arizelocichla,
easmog5,arizelocichla,
easmog6,arizelocichla,
easnic1,nicator,
easowl1,megascops,
easpho,sayornis,
easple1,crinifer,
easros1,platycercus,
easspi1,acanthorhynchus,
eastow,pipilo,
easwah1,foulehaio,
easwhi1,psophodes,
easwpw1,antrostomus,
eatpin1,anas,
eawpew,contopus,
eaywag,motacilla,
eaywag1,motacilla,
ebomyz1,myzomela,
ebopar1,paradisaea,
ecgdov1,columbina,
eclpar,eclectus,
ecucac1,cacicus,
ecuhil1,oreotrochilus,
ecupic1,picumnus,
ecupie1,phlogophilus,
ecutap1,scytalopus,
ecuthr1,turdus,
ecutyr1,phylloscartes,
edcsun1,cinnyris,
edcsun3,cinnyris,
edcsun4,cinnyris,
edfpar1,psittaculirostris,
ednswi1,aerodramus,
edwphe1,lophura,
egwtea1,anas,
egygoo,alopochen,
egynig1,caprimulgus,
egyplo1,pluvianus,
egyvul1,neophron,
eiamon1,pomarea,
elblar1,certhilauda,
elctin1,eudromia,
elecre1,melanopareia,
eleeup1,chlorophonia,
elefal1,falco,
elepai,chasiempis,
elepai4,chasiempis,
elepai5,chasiempis,
elepar1,neophema,
elepit7,pitta,
elequa,callipepla,
elesun1,aethopyga,
eleter1,thalasseus,
eletit2,periparus,
eletro,trogon,
elewoo1,xiphorhynchus,
elfowl,micrathene,
elipig1,ducula,
elllau1,trochalopteron,
ellphe1,syrmaticus,
ellwoo1,chloropicus,
elopar1,pyrrhura,
eluant1,grallaria,
elwwar1,setophaga,
embpuf1,eriocnemis,
emchum1,abeillia,
emedov2,chalcophaps,
emedov3,chalcophaps,
emesta1,lamprotornis,
emetan1,tangara,
emetou3,aulacorhynchus,
emetou4,aulacorhynchus,
emetou8,aulacorhynchus,
emishr1,lanius,
emlwar1,phylloscopus,
empbri1,heliodoxa,
empfai1,malurus,
empgoo,anser,
emppen1,aptenodytes,
emu1,dromaius,
engcud1,macropygia,
engmyn1,gracula,
engthr1,geokichla,
ensowl1,otus,
epaori1,icterus,
epaori4,icterus,
equaka1,sheppardia,
equant1,grallaria,
equgra1,xenerpestes,
ercfra,pternistis,
erttyr1,hemitriccus,
eskcur,numenius,
esmant1,sipia,
esmwoo2,chaetocercus,
eswdov1,turtur,
ethswa1,hirundo,
ettwoo1,picoides,
eubeat1,merops,
eucdov,streptopelia,
eueowl1,bubo,
eugori2,oriolus,
eugplo,pluvialis,
euhbuz1,pernis,
eulfly1,lathrotriccus,
eunhon1,bolemoreus,
eupfly1,ficedula,
eupowl1,glaucidium,
euptit1,remiz,
eurbla,turdus,
eurbla2,turdus,
eurbul,pyrrhula,
eurbul1,pyrrhula,
eurcoo,fulica,
eurcrm1,ptyonoprogne,
eurcur,numenius,
eurdot,charadrius,
eurgol,carduelis,
eurgre1,chloris,
eurgri1,gyps,
eurhob,falco,
eurhoo2,upupa,
eurjac,corvus,
eurjay1,garrulus,
eurkes,falco,
eurkes1,falco,
eurlin1,linaria,
eurmag1,pica,
eurmag3,pica,
eurmag5,pica,
eurmag6,pica,
eurnig1,caprimulgus,
eurnut1,nucifraga,
eurnut2,sitta,
eurnut6,sitta,
euroys1,haematopus,
eurrob1,erithacus,
eurrol1,coracias,
eursco1,otus,
eursco3,otus,
eurser1,serinus,
eursha1,gulosus,
eursis,spinus,
eurspa1,accipiter,
eurspo1,platalea,
eursta,sturnus,
eurtre1,certhia,
eurtre3,certhia,
eurwar1,acrocephalus,
eurwar2,locustella,
eurwig,mareca,
eurwoo,scolopax,
eurwry,jynx,
eutdov,streptopelia,
eutkne1,burhinus,
eutspa,passer,
evegro,coccothraustes,
evesco1,otus,
evethr1,zoothera,
evweye1,zosterops,
eybhor1,tockus,
eyethr,turdus,
eyjfly1,vauriella,
eyrfla1,rhynchocyclus,
eyrgra1,amytornis,
eyrthi1,asthenes,
eywbab1,napothera,
fabbow1,chlamydera,
fabbri1,heliodoxa,
fabtan1,pipraeidea,
fabthr1,zoothera,
fabwax1,estrilda,
fabwax3,estrilda,
fabwhi1,pachycephala,
fabwre1,cantorchilus,
faclar2,calendulauda,
faecur,numenius,
faifly1,stenostira,
faiger1,gerygone,
failor1,charmosynopsis,
faimar2,petrochelidon,
faipit1,pitta,
faipri1,pachyptila,
faiter2,sternula,
falduc,mareca,
falstd1,tachyeres,
famcha1,oenanthe,
fansaw1,psalidoprocne,
fasant1,cymbilaimus,
faseag1,circaetus,
faswre1,campylorhynchus,
fatber1,melanocharis,
fatcuc1,cacomantis,
fatger1,gerygone,
fatgra1,catriscus,
father1,tigrisoma,
fatmon1,pomarea,
fatrav1,corvus,
fatwar,basileuterus,
fatwid1,euplectes,
fawbab1,ptilocichla,
fbfdov1,ptilinopus,
fbfeye1,pyriglena,
fbtbab1,macronus,
feaowl1,asio,
feapet1,pterodroma,
feapet2,pterodroma,
febant1,myrmoderus,
feonig1,aegotheles,
fepbat1,batis,
fepoli1,nesocharis,
fepowl,glaucidium,
fepspe1,zosterops,
ferant1,drymophila,
ferbab1,pellorneum,
ferduc,aythya,
ferfli1,colaptes,
ferfly1,muscicapa,
ferhaw,buteo,
ferlar2,calendulauda,
fernbi1,poodytes,
fernwr1,oreoscopus,
ferpar2,caloperdix,
fescoq2,lophornis,
fescoq3,lophornis,
fespar1,amazona,
fhbfin1,atlapetes,
fibara1,pteroglossus,
fibbus1,malaconotus,
fibflo2,dicaeum,
fibmyn1,enodes,
fibmyn2,scissirostrum,
fibpic1,picumnus,
fibwar1,horornis,
fibwoo1,chloropicus,
ficale2,alethe,
ficale3,alethe,
ficbar1,capito,
ficman1,machaeropterus,
ficmun1,lonchura,
fictit1,cephalopyrus,
fiediu1,pyrope,
fieldf,turdus,
fiemin1,pericrocotus,
fiespa,spizella,
fietop1,topaza,
fifbis1,euplectes,
fifser1,serinus,
fifthr1,neocossyphus,
fiipig1,ducula,
fijgos1,accipiter,
fijpar1,erythrura,
fijpet1,pseudobulweria,
fijshr1,clytorhynchus,
fijwhi2,pachycephala,
fijwoo1,artamus,
fimbow1,sericulus,
finbul1,alophoixus,
fineup1,euphonia,
finfra2,scleroptila,
finnig1,caprimulgus,
finwhe1,oenanthe,
fiopen1,eudyptes,
fippar1,micropsitta,
firecr1,regulus,
firecr3,regulus,
fireth1,calliope,
firgat1,anumbius,
fiscro,corvus,
fisfly1,melaenornis,
fisgre1,phyllastrephus,
fislar1,eremopterix,
fislov1,agapornis,
fispar1,pyrrhura,
fisspa,amphispizopsis,
fissta1,lamprotornis,
fistur1,tauraco,
fiswoo1,campethera,
fitawl1,avocettula,
fitbar1,psilopogon,
fitfru1,pipreola,
fithum1,panterpe,
fitmet1,metallura,
fitmyz1,myzornis,
fitsun1,aethopyga,
flabow2,sericulus,
flabow3,sericulus,
flabul1,pycnonotus,
flafly1,ramphotrigon,
flafly2,myiophobus,
flalar1,mirafra,
flamec1,regulus,
flaowl,psiloscops,
flapyt1,hemitriccus,
flarob1,petroica,
flasun1,aethopyga,
flatre1,thripadectes,
flawar1,myiothlypis,
flbflo2,dicaeum,
flbflo3,dicaeum,
flbkin1,todiramphus,
flbsun2,cinnyris,
flbvir1,vireo,
flcflo1,dicaeum,
flcman2,heterocercus,
flctan,piranga,
flctan1,loriotus,
flfbar1,psilopogon,
flfshe,ardenna,
flftan1,tangara,
flgpig1,treron,
flicor1,nannopterum,
flistd1,tachyeres,
flobro1,phaps,
flocro1,corvus,
flohae1,nisaetus,
flojuf1,cyornis,
flomin1,pericrocotus,
flomon1,symposiachrus,
flowhe1,heleia,
flrgra1,poodytes,
flrtan1,ramphocelus,
flrtan3,ramphocelus,
flsjay,aphelocoma,
flsowl1,otus,
fltbab1,dasycrotapha,
fltwar1,oreothlypis,
flushe1,puffinus,
fluwre1,microcerculus,
flystd1,tachyeres,
fobsan1,pterocles,
focbus2,telophorus,
fooant1,epinecrophylla,
fooela1,myiopagis,
foosco1,megascops,
foptit1,anthoscopus,
forbit1,zonerodius,
forbla1,anumara,
forcan1,crithagra,
forela1,myiopagis,
forfod1,foudia,
forfra2,peliperdix,
forhon1,microptilotis,
forkin1,todiramphus,
formag1,urocissa,
forowl1,athene,
forplo1,charadrius,
forrai1,rallina,
forrav1,corvus,
forrob1,stiphrornis,
forrot2,monticola,
forswa2,atronanus,
forter,sterna,
forthr1,turdus,
forwag1,dendronanthus,
forwea1,ploceus,
forwoo1,phoeniculus,
fospar1,pardalotus,
fosrob1,cercotrichas,
fotdro1,dicrurus,
fotdro4,dicrurus,
fotdro5,dicrurus,
fotfly,tyrannus,
fotpyt1,hemitriccus,
fotsun1,aethopyga,
fotswi,apus,
fotwoo1,thalurania,
fowswi1,apus,
fowthr1,myophonus,
foxcis1,cisticola,
foxkes1,falco,
foxlar1,calendulauda,
foxsp2,passerella,
foxsp3,passerella,
foxsp4,passerella,
foxspa,passerella,
foxwea1,ploceus,
fragos2,accipiter,
fragul,leucophaeus,
frbtho1,phacellodomus,
frbwar1,locustella,
frbwoo1,dendrocopos,
freduc1,stictonetta,
frenig1,caprimulgus,
freowl1,bubo,
frgdov1,alopecoenas,
fricoq1,lophornis,
frifan1,rhipidura,
frilar1,mirafra,
frimon1,arses,
frnmon1,arses,
fruith1,chlamydochaera,
ftpswi1,tachornis,
ftspet,hydrobates,
fubfla1,rhynchocyclus,
fubwoo2,dendrocopos,
fucjuf1,cyornis,
fucnun1,nonnula,
fuctan1,tachyphonus,
fudtre1,margarornis,
fuebou1,laniarius,
fuelon2,macronyx,
fuesni1,gallinago,
fuhtan1,thlypopsis,
fujnil1,niltava,
fulant1,frederickena,
fulcha1,argya,
fulowl1,strix,
fulpar1,suthora,
fulpri1,pachyptila,
fulwre1,cinnycerthia,
furfly1,ficedula,
fusfly1,cnemotriccus,
fusfly2,cnemotriccus,
fushon1,ptilotula,
fustan1,lanio,
fuveup1,euphonia,
fuwduc,dendrocygna,
gabaka1,sheppardia,
gabbou1,laniarius,
gabbus1,laniarius,
gabcou1,centropus,
gabfru1,pipreola,
gabgos2,micronisus,
gabwoo1,chloropicus,
gabwoo3,hemicircus,
gadwal,mareca,
gagcoc1,callocephalon,
gagtan1,poecilostreptus,
gagtan2,tangara,
gagwar2,myiothlypis,
galah,eolophus,
galdov1,zenaida,
galfly1,myiarchus,
galhaw1,buteo,
galmar1,progne,
galmoc1,mimus,
galpen1,spheniscus,
galpet,pterodroma,
galrai1,laterallus,
gamfly1,muscicapa,
gamqua,callipepla,
ganlew1,phylloscopus,
gareme1,chlorostilbon,
gargan,spatula,
garkin1,chloroceryle,
garpit1,erythropitta,
garrob1,eugerygone,
gartro1,trogon,
garwar1,sylvia,
gathum1,lamprolaima,
gaweye1,zosterops,
gawhum1,elliotomyia,
gawtyr2,pseudelaenia,
gbbgul,larus,
gbesta1,lamprotornis,
gbhgul2,ichthyaetus,
gbmgem1,lampornis,
gbmtan1,cnemathraupis,
gbopar1,paradisaea,
gbopar2,paradisaea,
gbsfin1,sporophila,
gbwwre1,henicorhina,
gcbwar1,nesillas,
gchwar,setophaga,
gcoroc1,rupicola,
gcptan1,phaenicophilus,
gcrfin,leucosticte,
gcrwar,basileuterus,
gdcsun2,cinnyris,
gencaf1,geospiza,
genpen1,pygoscelis,
geomal1,zoothera,
geppar1,micropsitta,
gepphe1,polyplectron,
gerswi1,aerodramus,
gfhpar1,loriculus,
gfqdov,geotrygon,
ghacus1,lobotos,
giaant1,grallaria,
giaant2,batara,
giabab1,pterorhinus,
giacon1,conirostrum,
giacoo1,fulica,
giacou1,coua,
giacow,molothrus,
giahum1,patagona,
giaibi1,pseudibis,
giakin1,tyrannus,
giakin3,megaceryle,
gialau1,ianthocincla,
gianut1,sitta,
giapit1,hydrornis,
giasni1,gallinago,
giawea1,ploceus,
giawre1,campylorhynchus,
gietan1,tangara,
gilbar1,capito,
gilfli,colaptes,
gilhum1,hylocharis,
gillar1,mirafra,
gilwhi1,pachycephala,
gilwoo,melanerpes,
giweye1,megazosterops,
giwrai1,aramides,
glagul,larus,
glamac1,anodorhynchus,
glatan1,thraupis,
glbbec1,pachyramphus,
glbcoc1,calyptorhynchus,
glbeme1,chlorostilbon,
glbgro1,cyanoloxia,
glbthr1,turdus,
glgtan1,chlorochrysa,
glmman2,manucodia,
gloant1,sakesphorus,
gloflo1,diglossa,
gloibi,plegadis,
glopuf2,eriocnemis,
gloswi1,collocalia,
glteme1,chionomesa,
glthum1,selasphorus,
glwgul,larus,
gmrtai1,prioniturus,
gnbbec2,pachyramphus,
gnbcam2,camaroptera,
gnbcam3,camaroptera,
gnbger1,gerygone,
gnbhel1,oxypogon,
gnbman,anthracothorax,
gnbtai1,orthotomus,
gnbtro1,trogon,
gnbwhe1,zosterops,
gncpar,pyrrhura,
gnfhum2,leucolia,
gnhsun1,cyanomitra,
gnlthr,pterorhinus,
gnspig1,treron,
gntbri1,bleda,
gnteup1,euphonia,
gntsun1,chalcomitra,
gnttan1,stilpnia,
gnttow,pipilo,
gnwtea,anas,
gobbis1,euplectes,
gobbun1,emberiza,
gobchl1,chlorophonia,
gobcht1,ochthoeca,
gobeup1,euphonia,
gobfly1,myiodynastes,
gobfly2,microeca,
gobfru1,pipreola,
gobful1,lioparus,
gobger1,gerygone,
gobgro1,pheucticus,
gobmag1,urocissa,
gobpuf1,eriocnemis,
gobrob1,tarsiger,
gobsal1,saltator,
gobsta1,coeligena,
gobsta5,lamprotornis,
gobwar1,basileuterus,
gobwar2,myiothlypis,
gobwar4,myiothlypis,
gobwea1,ploceus,
gobwhi1,pachycephala,
gocbab1,sterrhoptilus,
goceme1,cynanthus,
gocfly1,myiodynastes,
gochon2,iridophanes,
gockin,regulus,
gocman1,manacus,
gocman2,lepidothrix,
gocmyn1,ampeliceps,
gocpar2,aratinga,
gocspa,zonotrichia,
gocspa1,platyrinchus,
goctan1,bangsia,
goctan2,thraupis,
goctan3,iridosornis,
goctan4,iridosornis,
goctou1,selenidera,
gocwoo1,melanerpes,
gocwoo2,dryobates,
gocwoo3,chloropicus,
godbun1,emberiza,
goeant1,akletos,
goetan1,tangara,
gofbow1,amblyornis,
gofful2,schoeniparus,
gofgre1,pachysylvia,
goflea1,chloropsis,
gofred1,myioborus,
goftyr1,zimmerius,
goftyr4,zimmerius,
goftyr5,zimmerius,
gofwoo,melanerpes,
gofwoo2,melanerpes,
gogwoo1,piculus,
gohcis1,cisticola,
gohman1,ceratopipra,
gohque1,pharomachrus,
gohtan1,stilpnia,
goifin1,rowettia,
golbab1,cyanoderma,
golbow1,amblyornis,
golbul3,alophoixus,
golbul4,alophoixus,
golcou1,centropus,
golcus1,campochaera,
goldcr1,regulus,
goldov1,ptilinopus,
goleag,aquila,
golgre1,calyptocichla,
golher1,ardea,
gollor1,glossoptila,
golmon1,carterornis,
golmyn1,mino,
golnig1,caprimulgus,
golpar2,suthora,
golpar3,guaruba,
golphe,chrysolophus,
golpip1,tmetothylacus,
golswa1,tachycineta,
goltan1,tangara,
golvir1,vireo,
golwhi1,pachycephala,
golwhi2,pachycephala,
gonbar1,psilopogon,
gonfin1,pyrrhoplectes,
gontan1,chalcothraupis,
gonwea1,ploceus,
gonwoo1,melanerpes,
goowoo1,colaptes,
goowoo3,colaptes,
goppar1,leptosittaca,
gopwea1,ploceus,
goreup1,chlorophonia,
gorflo1,dicaeum,
gorpuf1,eriocnemis,
gorsun1,heliangelus,
gortan1,bangsia,
gorwoo2,chaetocercus,
gosapa1,apalis,
gosbun1,emberiza,
goseup1,euphonia,
gospar1,psephotus,
gospic1,picumnus,
gospic3,picumnus,
goswar1,phylloscopus,
gotbar2,psilopogon,
gotbar3,psilopogon,
gotgra1,macroagelaius,
gotpar2,touit,
gotsap1,chrysuronia,
gotwoo1,campethera,
goufin3,chloebia,
goufro1,batrachostomus,
goujew1,heliodoxa,
goupet1,pterodroma,
gousho1,brachypteryx,
gousun1,aethopyga,
goutou1,selenidera,
gowbar1,psilopogon,
gowcac1,cacicus,
goweye1,cleptornis,
gowgro2,rhynchostruthus,
gowgro3,rhynchostruthus,
gowlau1,trochalopteron,
gowman1,masius,
gowpar2,brotogeris,
gowqua1,odontophorus,
gowspa1,arremon,
gowsun2,drepanorhynchus,
gowtof1,poecilotriccus,
gowwar,vermivora,
grablu1,spermophaga,
grabro1,pseudocalyptomena,
grabul1,melopyrrha,
grabuz1,butastur,
gracus1,coracina,
graeao1,bubo,
graela1,elaenia,
graela2,myiopagis,
gragoo,anser,
gragra1,quiscalus,
graher1,ardea,
grahon2,microptilotis,
grahon3,microptilotis,
grahon5,microptilotis,
gralar2,ammomanopsis,
gramal1,malimbus,
gramin1,geositta,
gramou1,rhytipterna,
gramun1,lonchura,
granda1,grandala,
granig1,antrostomus,
granig3,antrostomus,
graori1,icterus,
graori2,icterus,
graori3,icterus,
graori4,icterus,
grapet,procellaria,
grapic1,picumnus,
grapri1,prinia,
grasal2,saltator,
grasal3,saltator,
grasal4,saltator,
graspa,ammodramus,
graspa1,ammodramus,
grathr1,toxostoma,
gratre1,cinclocerthia,
grawar,setophaga,
grawar1,graueria,
grbani,crotophaga,
grbbec1,pachyramphus,
grbbus1,malaconotus,
grbcam1,camaroptera,
grbcou1,centropus,
grbcou2,centropus,
grbcra1,laterallus,
grbeat1,merops,
grbere1,eremomela,
grbfir1,sephanoides,
grbhaw1,buteogallus,
grbher1,phaethornis,
grbher2,ardea,
grbher3,ardea,
grbhon1,glycichaera,
grbhon2,prodotiscus,
grbhum1,saucerottia,
grbkin1,actenoides,
grbmal1,phaenicophaeus,
grbpar1,tanygnathus,
grbpit1,pitta,
grbrob1,pachycephalopsis,
grbspa1,arremonops,
grbtit1,parus,
grbtou1,aulacorhynchus,
grbtur1,corythaeola,
grbtwi1,mandingoa,
grbwhi1,pachycephala,
grbwoo1,melanerpes,
grbwoo2,campethera,
grbwoo3,colaptes,
grbwre1,campylorhynchus,
grcbec1,pachyramphus,
grcbri1,heliodoxa,
grccra1,balearica,
grcdov1,leptotila,
grcdov2,reinwardtoena,
grcfly,myiarchus,
grcfly1,myiozetetes,
grcfly3,humblotia,
grcgre1,podiceps,
grctan1,stilpnia,
grcter1,thalasseus,
grcthr1,turdus,
grcwoo1,colaptes,
grdswi1,cypseloides,
greadj1,leptoptilos,
greaki2,akialoa,
greaki3,akialoa,
greaki4,akialoa,
greama,viridonia,
greani1,crotophaga,
greant1,taraba,
greant2,grallaria,
greara1,pteroglossus,
grearg1,argusianus,
greauk,pinguinus,
grebar1,psilopogon,
grebar2,stactolaema,
grebar3,psilopogon,
grebit1,botaurus,
grebow1,chlamydera,
grebro1,calyptomena,
grebus1,otis,
grecat1,ailuroedus,
grecoc1,cochoa,
grecor,phalacrocorax,
grecor4,phalacrocorax,
grecou1,centropus,
grecro1,sylvietta,
grecur1,crax,
gredov1,leptotila,
greegr,ardea,
greela,myiopagis,
greela1,elaenia,
greere1,eremomela,
grefla1,chrysocolaptes,
grefla2,phoenicopterus,
grefla3,phoenicopterus,
greflo1,diglossa,
grefly1,myiarchus,
grefri,fregata,
gregre1,podiceps,
greher1,phaethornis,
grehon1,chlorophanes,
grehon2,indicator,
grehor1,buceros,
grehyl1,hylia,
greibi1,mesembrinibis,
greind1,vidua,
greior1,aegithina,
greior2,aegithina,
grejac2,jacamerops,
grejer1,neomixis,
grejun1,gallus,
grejun2,gallus,
grekes1,falco,
grekis,pitangus,
grekno,calidris,
grelic1,coccyzus,
gremag1,cissa,
greman1,anthracothorax,
greman2,cryptopipo,
gremel1,melampitta,
grenig1,lyncornis,
greori1,oriolus,
greoro1,psarocolius,
grepar,psittacus,
grepar1,conostoma,
grepea1,pavo,
grepew,contopus,
grepot1,nyctibius,
grepuf1,haplophaedia,
grerhe1,rhea,
greroa,geococcyx,
greros1,carpodacus,
greros2,platycercus,
gresap1,pterophanes,
gresca,aythya,
gresch2,schiffornis,
grescy1,drymotoxeres,
greshe,ardenna,
gresho1,heinrichia,
gresht1,agriornis,
gresku1,stercorarius,
gresni1,gallinago,
