ioc_12_2,ebird2021_issf,comment
asthenes arequipae,crbcan4,asthenes dorbignyi arequipae
asthenes huancavelicae,crbcan5,asthenes dorbignyi huancavelicae
myrmotherula luctuosa,whfant6,myrmotherula axillaris luctuosa
formicivora intermedia,whfant4,formicivora grisea [intermedia group]
melanopareia bitorquata,colcre2,melanopareia torquata bitorquata
phyllomyias zeledoni,roltyr2,phyllomyias burmeisteri zeledoni
elaenia chilensis,whcela4,elaenia albiceps chilensis
phaeomyias tumbezana,moctyr6,phaeomyias murina tumbezana/inflava
zimmerius minimus,goftyr5,zimmerius chrysops minimus/cumanensis
zimmerius flavidifrons,goftyr4,zimmerius viridiflavus flavidifrons
tolmomyias flavotectus,yemfly2,tolmomyias assimilis flavotectus
tolmomyias viridiceps,yebfly4,tolmomyias flaviventris [viridiceps group]
contopus punensis,tropew2,contopus cinereus punensis
pyrocephalus obscurus,verfly7,pyrocephalus rubinus [obscurus group]
pyrocephalus dubius,verfly8,pyrocephalus nanus dubius
ochthoeca nigrita,slbcht1,ochthoeca cinnamomeiventris nigrita
ochthoeca thoracica,slbcht3,ochthoeca cinnamomeiventris thoracica/angustifasciata
phibalura boliviana,swtcot2,phibalura flavirostris boliviana
onychorhynchus mexicanus,royfly2,onychorhynchus coronatus mexicanus/fraterculus
onychorhynchus occidentalis,royfly3,onychorhynchus coronatus occidentalis
onychorhynchus swainsoni,royfly5,onychorhynchus coronatus swainsoni
laniisoma buckleyi,shlcot2,laniisoma elegans [buckleyi group]
pachyramphus xanthogenys,gnbbec2,pachyramphus viridis xanthogenys/peruanus
philemon novaeguineae,helfri3,philemon buceroides novaeguineae
philemon yorki,helfri4,philemon buceroides yorki
sericornis maculatus,whbscr3,sericornis frontalis [maculatus group]
psophodes leucogaster,weswhi4,psophodes nigrogularis leucogaster/lashmari
batis reichenowi,shtbat3,batis mixta reichenowi
edolisoma monacha,cicada4,edolisoma tenuirostre monacha
edolisoma nesiotis,cicada5,edolisoma tenuirostre nesiotis
edolisoma insperatum,cicada3,edolisoma tenuirostre insperatum
pachycephala johni,drawhi3,pachycephala griseonota johni
vireo approximans,thbvir2,vireo pallens approximans
terpsiphone smithii,bkhpaf2,terpsiphone rufiventer smithii
symposiachrus bimaculatus,spemon3,symposiachrus trivirgatus bimaculatus
cyanocorax luxuosus,grnjay1,cyanocorax yncas [luxuosus group]
corvus minutus,cupcro1,corvus palmarum minutus
corvus levaillantii,labcro4,corvus macrorhynchos levaillantii
corvus culminatus,labcro3,corvus macrorhynchos culminatus
parotia helenae,lawpar2,parotia lawesii helenae
melaniparus pallidiventris,rubtit2,melaniparus rufiventris pallidiventris
alaudala athensis,sstlar3,alaudala somalica athensis
pycnonotus somaliensis,combul5,pycnonotus barbatus somaliensis
pycnonotus dodsoni,combul4,pycnonotus barbatus dodsoni
pycnonotus tricolor,combul6,pycnonotus barbatus [tricolor group]
arizelocichla kakamegae,shebul1,arizelocichla masukuensis kakamegae/kungwensis
arizelocichla kikuyuensis,easmog5,arizelocichla nigriceps kikuyuensis
arizelocichla olivaceiceps,stcgre3,arizelocichla milanjensis olivaceiceps
arizelocichla striifacies,stcgre4,arizelocichla milanjensis striifacies
phyllastrephus placidus,cabgre3,phyllastrephus cabanisi placidus
phyllastrephus alfredi,yesgre2,phyllastrephus flavostriatus alfredi
ptyonoprogne obsoleta,rocmar1,ptyonoprogne fuligula [obsoleta group]
cecropis domicella,rerswa3,cecropis daurica domicella
aegithalos bonvaloti,bkbtit4,aegithalos iouschistos bonvaloti/obscuratus
aegithalos sharpei,bkbtit6,aegithalos iouschistos sharpei
phylloscopus nigrorum,mouwar4,phylloscopus trivirgatus [nigrorum group]
cisticola emini,rolcis1,cisticola aberrans [emini group]
cisticola distinctus,waicis2,cisticola lais distinctus
prinia melanops,banpri3,prinia bairdii melanops/obscura
camaroptera brevicaudata,gnbcam2,camaroptera brachyura [brevicaudata group]
scepomycter rubehoensis,mrmwar3,scepomycter winifredae rubehoensis
zosterops dehaani,crtwhe2,zosterops atriceps dehaani
campylorhynchus humilis,runwre3,campylorhynchus rufinucha humilis
campylorhynchus capistratus,runwre4,campylorhynchus rufinucha [capistratus group]
sitta arctica,eurnut6,sitta europaea arctica
aplonis circumscripta,metsta3,aplonis metallica circumscripta
lamprotornis elisabeth,lbegls2,lamprotornis chloropterus elisabeth
turdus daguae,whtthr2,turdus assimilis daguae
copsychus stricklandii,whrsha2,copsychus malabaricus stricklandii/barbouri
muscicapa tyrrhenica,spofly3,muscicapa striata tyrrhenica/balearica
cyornis djampeanus,subfly4,cyornis omissus djampeanus
enicurus borneensis,whcfor3,enicurus leschenaulti borneensis
saxicola sibilla,stonec6,saxicola torquatus sibilla
chloropsis cochinchinensis,buwlea1,chloropsis cochinchinensis [moluccensis group]
chloropsis cochinchinensis,buwlea2,chloropsis cochinchinensis cochinchinensis
dicaeum aeruginosum,thbflo3,dicaeum agile [aeruginosum group]
anthreptes rectirostris,grnsun1,anthreptes rectirostris rectirostris
anthreptes rectirostris,grnsun2,anthreptes rectirostris tephrolaemus
cinnyris whytei,mdcsun2,cinnyris ludovicensis whytei
cinnyris hofmanni,shesun1,cinnyris shelleyi hofmanni
cinnyris abbotti,sousun1,Cinnyris sovimanga abbotti/buchenorum
estrilda ochrogaster,fabwax3,estrilda paludicola ochrogaster
anthus australis,auspip2,anthus novaeseelandiae [australis group]
anthus brevirostris,shbpip3,anthus furcatus brevirostris
rhodopechys alienus,crwfin1,rhodopechys sanguineus alienus
passerella unalaschcensis,foxsp2,passerella iliaca [unalaschcensis group]
passerella schistacea,foxsp3,passerella iliaca [schistacea group]
passerella megarhyncha,foxsp4,passerella iliaca [megarhyncha group]
atlapetes meridae,moubru2,atlapetes albofrenatus meridae
atlapetes crassus,tribrf1,atlapetes tricolor crassus
atlapetes nigrifrons,yebbru1,atlapetes latinuchus nigrifrons
cacicus microrhynchus,scrcac2,cacicus uropygialis microrhynchus
cacicus leucoramphus,moucac2,cacicus chrysonotus leucoramphus/peruvianus
icterus fuertesi,orcori3,icterus spurius fuertesi
