bird_genera,bird_families,comment
brachyramphus,alcidae,
bradornis,muscicapidae,
bradypterus,locustellidae,
branta,anatidae,
brotogeris,psittacidae,
brunhilda,estrildidae,
bubalornis,ploceidae,
bubo,strigidae,
bubulcus,ardeidae,
bucanetes,fringillidae,
buccanodon,lybiidae,
bucco,bucconidae,
bucephala,anatidae,
buceros,bucerotidae,
bucorvus,bucorvidae,
bugeranus,gruidae,
bulweria,procellariidae,
buphagus,buphagidae,
burhinus,burhinidae,
busarellus,accipitridae,
butastur,accipitridae,
buteo,accipitridae,
buteogallus,accipitridae,
buthraupis,thraupidae,
butorides,ardeidae,
bycanistes,bucerotidae,
cacatua,cacatuidae,
cacicus,icteridae,
cacomantis,cuculidae,
cairina,anatidae,
calamanthus,acanthizidae,
calamonastes,cisticolidae,
calamonastides,acrocephalidae,
calamornis,sylviidae,
calamospiza,passerellidae,
calandrella,alaudidae,
calcarius,calcariidae,
calendulauda,alaudidae,
calicalicus,vangidae,
calidris,scolopacidae,
caligavis,meliphagidae,
callacanthis,fringillidae,
callaeas,callaeidae,
calliope,muscicapidae,
callipepla,odontophoridae,
calliphlox,trochilidae,
callocephalon,cacatuidae,
callonetta,anatidae,
calochaetes,thraupidae,
calocitta,corvidae,
caloenas,columbidae,
calonectris,procellariidae,
caloperdix,phasianidae,
caloramphus,megalaimidae,
calothorax,trochilidae,
calypte,trochilidae,
calyptocichla,pycnonotidae,
calyptomena,calyptomenidae,
calyptophilus,calyptophilidae,
calyptorhynchus,cacatuidae,
calyptura,tyrannidae,
camarhynchus,thraupidae,
camaroptera,cisticolidae,
campephaga,campephagidae,
campephilus,picidae,
campethera,picidae,
campicoloides,muscicapidae,
campochaera,campephagidae,
campocolinus,phasianidae,
camptorhynchus,anatidae,
camptostoma,tyrannidae,
campylopterus,trochilidae,
campylorhamphus,furnariidae,
campylorhynchus,troglodytidae,
canachites,phasianidae,
canirallus,rallidae,
cantorchilus,troglodytidae,
capito,capitonidae,
caprimulgus,caprimulgidae,
capsiempis,tyrannidae,
caracara,falconidae,
cardellina,parulidae,
cardinalis,cardinalidae,
carduelis,fringillidae,
cariama,cariamidae,
caridonax,alcedinidae,
carpococcyx,cuculidae,
carpodacus,fringillidae,
carpodectes,cotingidae,
carpornis,cotingidae,
carpospiza,passeridae,
carterornis,monarchidae,
caryothraustes,cardinalidae,
casiornis,tyrannidae,
cassiculus,icteridae,
castanozoster,thraupidae,
casuarius,casuariidae,
catamblyrhynchus,thraupidae,
catamenia,thraupidae,
cataponera,turdidae,
catharopeza,parulidae,
cathartes,cathartidae,
catharus,turdidae,
catherpes,troglodytidae,
catreus,phasianidae,
catriscus,locustellidae,
cecropis,hirundinidae,
celebesia,campephagidae,
celeus,picidae,
centrocercus,phasianidae,
centronyx,passerellidae,
centropus,cuculidae,
cephalopterus,cotingidae,
cephalopyrus,paridae,
cepphus,alcidae,
ceratogymna,bucerotidae,
ceratopipra,pipridae,
cercibis,threskiornithidae,
cercococcyx,cuculidae,
cercomacra,thamnophilidae,
cercomacroides,thamnophilidae,
cercotrichas,muscicapidae,
cereopsis,anatidae,
cerorhinca,alcidae,
certhia,certhiidae,
certhiasomus,furnariidae,
certhiaxis,furnariidae,
certhidea,thraupidae,
certhilauda,alaudidae,
certhionyx,meliphagidae,
ceryle,alcedinidae,
cettia,scotocercidae,
ceuthmochares,cuculidae,
ceyx,alcedinidae,
chaetocercus,trochilidae,
chaetops,chaetopidae,
chaetoptila,mohoidae,
chaetorhynchus,rhipiduridae,
chaetura,apodidae,
chalcomitra,nectariniidae,
chalcoparia,nectariniidae,
chalcophaps,columbidae,
chalcopsitta,psittaculidae,
chalcostigma,trochilidae,
chalcothraupis,thraupidae,
chalybura,trochilidae,
chamaea,sylviidae,
chamaepetes,cracidae,
chamaetylas,muscicapidae,
chamaeza,formicariidae,
charadrius,charadriidae,
charitospiza,thraupidae,
charminetta,psittaculidae,
charmosyna,psittaculidae,
charmosynoides,psittaculidae,
charmosynopsis,psittaculidae,
chasiempis,monarchidae,
chauna,anhimidae,
chelictinia,accipitridae,
chelidoptera,bucconidae,
chelidorhynx,stenostiridae,
chenonetta,anatidae,
chenorhamphus,maluridae,
cheramoeca,hirundinidae,
chersomanes,alaudidae,
chersophilus,alaudidae,
chionis,chionidae,
chionomesa,trochilidae,
chiroxiphia,pipridae,
chlamydera,ptilonorhynchidae,
chlamydochaera,turdidae,
chlamydotis,otididae,
chleuasicus,sylviidae,
chlidonias,laridae,
chloebia,estrildidae,
chloephaga,anatidae,
chlorestes,trochilidae,
chloridops,fringillidae,
chloris,fringillidae,
chloroceryle,alcedinidae,
chlorochrysa,thraupidae,
chlorocichla,pycnonotidae,
chlorodrepanis,fringillidae,
chlorophanes,thraupidae,
chlorophonia,fringillidae,
chloropicus,picidae,
chloropipo,pipridae,
chloropsis,chloropseidae,
chlorornis,thraupidae,
chlorospingus,passerellidae,
chlorostilbon,trochilidae,
chlorothraupis,cardinalidae,
cholornis,sylviidae,
chondestes,passerellidae,
chondrohierax,accipitridae,
chordeiles,caprimulgidae,
chroicocephalus,laridae,
chrysococcyx,cuculidae,
chrysocolaptes,picidae,
chrysocorythus,fringillidae,
chrysolampis,trochilidae,
chrysolophus,phasianidae,
chrysomma,sylviidae,
chrysomus,icteridae,
chrysophlegma,picidae,
chrysothlypis,thraupidae,
chrysuronia,trochilidae,
chunga,cariamidae,
ciccaba,strigidae,
cichladusa,muscicapidae,
cichlocolaptes,furnariidae,
cichlopsis,turdidae,
cicinnurus,paradisaeidae,
ciconia,ciconiidae,
cinclidium,muscicapidae,
cinclocerthia,mimidae,
cinclodes,furnariidae,
cincloramphus,locustellidae,
cinclosoma,cinclosomatidae,
cinclus,cinclidae,
cinnycerthia,troglodytidae,
cinnyricinclus,sturnidae,
cinnyris,nectariniidae,
circaetus,accipitridae,
circus,accipitridae,
ciridops,fringillidae,
cissa,corvidae,
cissomela,meliphagidae,
cissopis,thraupidae,
cisticola,cisticolidae,
cistothorus,troglodytidae,
cittura,alcedinidae,
cladorhynchus,recurvirostridae,
clamator,cuculidae,
clanga,accipitridae,
clangula,anatidae,
claravis,columbidae,
cleptornis,zosteropidae,
clibanornis,furnariidae,
climacteris,climacteridae,
clytoceyx,alcedinidae,
clytoctantes,thamnophilidae,
clytolaema,trochilidae,
clytomyias,maluridae,
clytorhynchus,monarchidae,
clytospiza,estrildidae,
cnemarchus,tyrannidae,
cnemathraupis,thraupidae,
cnemophilus,cnemophilidae,
cnemoscopus,thraupidae,
cnemotriccus,tyrannidae,
cnipodectes,tyrannidae,
coccopygia,estrildidae,
coccothraustes,fringillidae,
coccycua,cuculidae,
coccyzus,cuculidae,
cochlearius,ardeidae,
cochoa,turdidae,
coeligena,trochilidae,
coenocorypha,scolopacidae,
coereba,thraupidae,
colaptes,picidae,
colibri,trochilidae,
colinus,odontophoridae,
colius,coliidae,
collocalia,apodidae,
colluricincla,pachycephalidae,
colonia,tyrannidae,
colorhamphus,tyrannidae,
columba,columbidae,
columbina,columbidae,
compsothraupis,thraupidae,
conioptilon,cotingidae,
conirostrum,thraupidae,
conopias,tyrannidae,
conopophaga,conopophagidae,
conopophila,meliphagidae,
conostoma,sylviidae,
conothraupis,thraupidae,
contopus,tyrannidae,
conuropsis,psittacidae,
copsychus,muscicapidae,
coracias,coraciidae,
coracina,campephagidae,
coracopsis,psittaculidae,
coracornis,pachycephalidae,
coragyps,cathartidae,
corapipo,pipridae,
corcorax,corcoracidae,
cormobates,climacteridae,
corthylio,regulidae,
corvus,corvidae,
corydon,eurylaimidae,
coryphaspiza,thraupidae,
coryphistera,furnariidae,
coryphospingus,thraupidae,
corythaeola,musophagidae,
corythaixoides,musophagidae,
corythopis,tyrannidae,
corythornis,alcedinidae,
coscoroba,anatidae,
cossypha,muscicapidae,
cossyphicula,muscicapidae,
cotinga,cotingidae,
coturnicops,rallidae,
coturnix,phasianidae,
coua,cuculidae,
cracticus,artamidae,
cranioleuca,furnariidae,
crateroscelis,acanthizidae,
crax,cracidae,
creagrus,laridae,
creatophora,sturnidae,
creurgops,thraupidae,
crex,rallidae,
crinifer,musophagidae,
criniger,pycnonotidae,
crithagra,fringillidae,
crossleyia,bernieridae,
crossoptilon,phasianidae,
crotophaga,cuculidae,
crypsirina,corvidae,
cryptillas,macrosphenidae,
cryptoleucopteryx,accipitridae,
cryptopezus,grallariidae,
cryptophaps,columbidae,
cryptopipo,pipridae,
cryptospiza,estrildidae,
cryptosylvicola,bernieridae,
crypturellus,tinamidae,
cuculus,cuculidae,
culicicapa,stenostiridae,
culicivora,tyrannidae,
curaeus,icteridae,
curruca,sylviidae,
cursorius,glareolidae,
cutia,leiothrichidae,
cyanerpes,thraupidae,
cyanicterus,thraupidae,
cyanistes,paridae,
cyanochen,anatidae,
cyanocitta,corvidae,
cyanocompsa,cardinalidae,
cyanocorax,corvidae,
cyanoderma,timaliidae,
cyanograucalus,campephagidae,
cyanolanius,vangidae,
cyanolimnas,rallidae,
cyanoliseus,psittacidae,
cyanoloxia,cardinalidae,
cyanolyca,corvidae,
cyanomitra,nectariniidae,
cyanopica,corvidae,
cyanopsitta,psittacidae,
cyanoptila,muscicapidae,
cyanoramphus,psittaculidae,
cyclarhis,vireonidae,
cyclopsitta,psittaculidae,
cygnus,anatidae,
cymbilaimus,thamnophilidae,
cymbirhynchus,eurylaimidae,
cynanthus,trochilidae,
cyornis,muscicapidae,
cyphorhinus,troglodytidae,
cypseloides,apodidae,
cypsiurus,apodidae,
cypsnagra,thraupidae,
cyrtonyx,odontophoridae,
dacelo,alcedinidae,
dacnis,thraupidae,
dactylortyx,odontophoridae,
daphoenositta,neosittidae,
daption,procellariidae,
daptrius,falconidae,
dasycrotapha,zosteropidae,
dasylophus,cuculidae,
dasyornis,dasyornithidae,
deconychura,furnariidae,
delacourella,estrildidae,
deleornis,nectariniidae,
delichon,hirundinidae,
dendragapus,phasianidae,
dendrexetastes,furnariidae,
dendrocincla,furnariidae,
dendrocitta,corvidae,
dendrocolaptes,furnariidae,
dendrocopos,picidae,
dendrocoptes,picidae,
dendrocygna,anatidae,
dendroma,furnariidae,
dendronanthus,motacillidae,
dendroplex,furnariidae,
dendrortyx,odontophoridae,
deroptyus,psittacidae,
diaphorapteryx,rallidae,
dicaeum,dicaeidae,
dichrozona,thamnophilidae,
dicrurus,dicruridae,
didunculus,columbidae,
diglossa,thraupidae,
dinemellia,ploceidae,
dinopium,picidae,
diomedea,diomedeidae,
diopsittaca,psittacidae,
discosura,trochilidae,
diuca,thraupidae,
dives,icteridae,
dolichonyx,icteridae,
doliornis,cotingidae,
donacobius,donacobiidae,
donacospiza,thraupidae,
doricha,trochilidae,
doryfera,trochilidae,
drepanis,fringillidae,
drepanoptila,columbidae,
drepanorhynchus,nectariniidae,
drepanornis,paradisaeidae,
dreptes,nectariniidae,
dromaius,casuariidae,
dromas,dromadidae,
dromococcyx,cuculidae,
drymocichla,cisticolidae,
drymodes,petroicidae,
drymophila,thamnophilidae,
drymornis,furnariidae,
drymotoxeres,furnariidae,
