bird_genera,bird_families,comment
larus,laridae,
larvivora,muscicapidae,
laterallus,rallidae,
lathamus,psittaculidae,
lathrotriccus,tyrannidae,
laticilla,pellorneidae,
legatus,tyrannidae,
leiopicus,picidae,
leioptila,leiothrichidae,
leiothlypis,parulidae,
leiothrix,leiothrichidae,
leipoa,megapodiidae,
leistes,icteridae,
leonardina,muscicapidae,
lepidocolaptes,furnariidae,
lepidopygia,estrildidae,
lepidothrix,pipridae,
leptasthenura,furnariidae,
leptocoma,nectariniidae,
leptodon,accipitridae,
leptopoecile,aegithalidae,
leptopogon,tyrannidae,
leptopterus,vangidae,
leptoptilos,ciconiidae,
leptosittaca,psittacidae,
leptosomus,leptosomidae,
leptotila,columbidae,
leptotrygon,columbidae,
lerwa,phasianidae,
lesbia,trochilidae,
lessonia,tyrannidae,
leucippus,trochilidae,
leucocarbo,phalacrocoracidae,
leucochloris,trochilidae,
leucogeranus,gruidae,
leucolia,trochilidae,
leucopeza,parulidae,
leucophaeus,laridae,
leucopsar,sturnidae,
leucopternis,accipitridae,
leucosarcia,columbidae,
leucosticte,fringillidae,
lewinia,rallidae,
lichenostomus,meliphagidae,
lichmera,meliphagidae,
limnoctites,furnariidae,
limnodromus,scolopacidae,
limnornis,furnariidae,
limnothlypis,parulidae,
limosa,scolopacidae,
linaria,fringillidae,
linurgus,fringillidae,
liocichla,leiothrichidae,
lioparus,sylviidae,
liosceles,rhinocryptidae,
lipaugus,cotingidae,
lissotis,otididae,
loboparadisea,cnemophilidae,
lobotos,campephagidae,
lochmias,furnariidae,
locustella,locustellidae,
loddigesia,trochilidae,
lonchura,estrildidae,
lophaetus,accipitridae,
lophoceros,bucerotidae,
lophochroa,cacatuidae,
lophodytes,anatidae,
lophoictinia,accipitridae,
lopholaimus,columbidae,
lophonetta,anatidae,
lophophanes,paridae,
lophophorus,phasianidae,
lophopsittacus,psittaculidae,
lophorina,paradisaeidae,
lophornis,trochilidae,
lophospingus,thraupidae,
lophostrix,strigidae,
lophotibis,threskiornithidae,
lophotriccus,tyrannidae,
lophotriorchis,accipitridae,
lophura,phasianidae,
loriculus,psittaculidae,
loriotus,thraupidae,
lorius,psittaculidae,
loxia,fringillidae,
loxigilla,thraupidae,
loxioides,fringillidae,
loxipasser,thraupidae,
loxops,fringillidae,
lullula,alaudidae,
lurocalis,caprimulgidae,
luscinia,muscicapidae,
lybius,lybiidae,
lycocorax,paradisaeidae,
lymnocryptes,scolopacidae,
lyncornis,caprimulgidae,
lyrurus,phasianidae,
macgregoria,meliphagidae,
machaerirhynchus,machaerirhynchidae,
machaeropterus,pipridae,
macheiramphus,accipitridae,
machetornis,tyrannidae,
machlolophus,paridae,
mackenziaena,thamnophilidae,
macroagelaius,icteridae,
macrocephalon,megapodiidae,
macronectes,procellariidae,
macronus,timaliidae,
macronyx,motacillidae,
macropsalis,caprimulgidae,
macropygia,columbidae,
macrosphenus,macrosphenidae,
madanga,motacillidae,
magumma,fringillidae,
malacocincla,pellorneidae,
malaconotus,malaconotidae,
malacopteron,pellorneidae,
malacoptila,bucconidae,
malacorhynchus,anatidae,
malcorus,cisticolidae,
malia,locustellidae,
malimbus,ploceidae,
malindangia,campephagidae,
malurus,maluridae,
manacus,pipridae,
mandingoa,estrildidae,
manorina,meliphagidae,
manucodia,paradisaeidae,
mareca,anatidae,
margarobyas,strigidae,
margaroperdix,phasianidae,
margarops,mimidae,
margarornis,furnariidae,
marmaronetta,anatidae,
mascarinus,psittaculidae,
masius,pipridae,
mayrimunia,estrildidae,
mayrornis,monarchidae,
mazaria,furnariidae,
mearnsia,apodidae,
mecocerculus,tyrannidae,
megabyas,vangidae,
megaceryle,alcedinidae,
megacrex,rallidae,
megadyptes,spheniscidae,
megalurus,locustellidae,
megapodius,megapodiidae,
megarynchus,tyrannidae,
megascops,strigidae,
megastictus,thamnophilidae,
megatriorchis,accipitridae,
megaxenops,furnariidae,
megazosterops,zosteropidae,
meiglyptes,picidae,
melaenornis,muscicapidae,
melampitta,melampittidae,
melamprosops,fringillidae,
melanerpes,picidae,
melaniparus,paridae,
melanitta,anatidae,
melanocharis,melanocharitidae,
melanochlora,paridae,
melanocichla,timaliidae,
melanocorypha,alaudidae,
melanodera,thraupidae,
melanodryas,petroicidae,
melanopareia,melanopareiidae,
melanoperdix,phasianidae,
melanoptila,mimidae,
melanorectes,pachycephalidae,
melanospiza,thraupidae,
melanotis,mimidae,
meleagris,phasianidae,
meliarchus,meliphagidae,
melichneutes,indicatoridae,
melidectes,meliphagidae,
melidora,alcedinidae,
melierax,accipitridae,
melignomon,indicatoridae,
melilestes,meliphagidae,
meliphacator,meliphagidae,
meliphaga,meliphagidae,
melipotes,meliphagidae,
melithreptus,meliphagidae,
melitograis,meliphagidae,
mellisuga,trochilidae,
melocichla,macrosphenidae,
melopsittacus,psittaculidae,
melopyrrha,thraupidae,
melospiza,passerellidae,
melozone,passerellidae,
mentocrex,sarothruridae,
menura,menuridae,
merganetta,anatidae,
mergellus,anatidae,
mergus,anatidae,
meropogon,meropidae,
merops,meropidae,
merulaxis,rhinocryptidae,
mesembrinibis,threskiornithidae,
mesitornis,mesitornithidae,
metabolus,monarchidae,
metallura,trochilidae,
metopidius,jacanidae,
metopothrix,furnariidae,
metriopelia,columbidae,
micrastur,falconidae,
micrathene,strigidae,
microbates,polioptilidae,
microcarbo,phalacrocoracidae,
microcerculus,troglodytidae,
microchera,trochilidae,
microdynamis,cuculidae,
microeca,petroicidae,
microgoura,columbidae,
microhierax,falconidae,
microligea,phaenicophilidae,
micromacronus,cisticolidae,
micromonacha,bucconidae,
micronisus,accipitridae,
microparra,jacanidae,
micropsitta,psittaculidae,
micropternus,picidae,
microptilotis,meliphagidae,
micropygia,rallidae,
microrhopias,thamnophilidae,
microspingus,thraupidae,
microstilbon,trochilidae,
microxenops,furnariidae,
milvago,falconidae,
milvus,accipitridae,
mimus,mimidae,
minla,leiothrichidae,
mino,sturnidae,
mionectes,tyrannidae,
mirafra,alaudidae,
mitrephanes,tyrannidae,
mitrospingus,mitrospingidae,
mitu,cracidae,
mixornis,timaliidae,
mniotilta,parulidae,
modulatrix,modulatricidae,
moho,mohoidae,
mohoua,mohouidae,
molothrus,icteridae,
momotus,momotidae,
monachella,petroicidae,
monarcha,monarchidae,
monasa,bucconidae,
monias,mesitornithidae,
montecincla,leiothrichidae,
monticola,muscicapidae,
montifringilla,passeridae,
morococcyx,cuculidae,
morphnarchus,accipitridae,
morphnus,accipitridae,
morus,sulidae,
motacilla,motacillidae,
moupinia,sylviidae,
mulleripicus,picidae,
mundia,rallidae,
muscicapa,muscicapidae,
muscigralla,tyrannidae,
muscipipra,tyrannidae,
muscisaxicola,tyrannidae,
musophaga,musophagidae,
mustelirallus,rallidae,
myadestes,turdidae,
mycerobas,fringillidae,
mycteria,ciconiidae,
myiagra,monarchidae,
myiarchus,tyrannidae,
myiobius,oxyruncidae,
myioborus,parulidae,
myiodynastes,tyrannidae,
myiomela,muscicapidae,
myiopagis,tyrannidae,
myiophobus,tyrannidae,
myiopsitta,psittacidae,
myiornis,tyrannidae,
myiotheretes,tyrannidae,
myiothlypis,parulidae,
myiotriccus,tyrannidae,
myiozetetes,tyrannidae,
myophonus,muscicapidae,
myornis,rhinocryptidae,
myrmeciza,thamnophilidae,
myrmecocichla,muscicapidae,
myrmelastes,thamnophilidae,
myrmia,trochilidae,
myrmoborus,thamnophilidae,
myrmochanes,thamnophilidae,
myrmoderus,thamnophilidae,
myrmophylax,thamnophilidae,
myrmorchilus,thamnophilidae,
myrmornis,thamnophilidae,
myrmothera,grallariidae,
myrmotherula,thamnophilidae,
myrtis,trochilidae,
mystacornis,vangidae,
myza,meliphagidae,
myzomela,meliphagidae,
myzornis,sylviidae,
nannococcyx,cuculidae,
nannopsittaca,psittacidae,
nannopterum,phalacrocoracidae,
napothera,pellorneidae,
nasica,furnariidae,
neafrapus,apodidae,
necropsar,sturnidae,
necropsittacus,psittaculidae,
necrosyrtes,accipitridae,
nectarinia,nectariniidae,
nemosia,thraupidae,
nengetus,tyrannidae,
neochmia,estrildidae,
neocichla,sturnidae,
neocossyphus,turdidae,
neoctantes,thamnophilidae,
neodrepanis,philepittidae,
neolalage,monarchidae,
neolestes,pycnonotidae,
neomixis,cisticolidae,
neomorphus,cuculidae,
neopelma,pipridae,
neophedina,hirundinidae,
neophema,psittaculidae,
neophron,accipitridae,
neopipo,tyrannidae,
neopsittacus,psittaculidae,
neosuthora,sylviidae,
neothraupis,thraupidae,
neotis,otididae,
neoxolmis,tyrannidae,
nephelomyias,tyrannidae,
nephelornis,thraupidae,
nesillas,acrocephalidae,
nesocharis,estrildidae,
nesoctites,picidae,
nesoenas,columbidae,
nesofregetta,oceanitidae,
nesophlox,trochilidae,
nesopsar,icteridae,
nesoptilotis,meliphagidae,
nesospingus,nesospingidae,
nesospiza,thraupidae,
nesotriccus,tyrannidae,
nestor,strigopidae,
netta,anatidae,
nettapus,anatidae,
newtonia,vangidae,
nicator,nicatoridae,
nigrita,estrildidae,
nilaus,malaconotidae,
niltava,muscicapidae,
ninox,strigidae,
nipponia,threskiornithidae,
nisaetus,accipitridae,
nok,pycnonotidae,
nomonyx,anatidae,
nonnula,bucconidae,
northiella,psittaculidae,
notharchus,bucconidae,
nothocercus,tinamidae,
nothocrax,cracidae,
nothoprocta,tinamidae,
nothura,tinamidae,
notiomystis,notiomystidae,
notopholia,sturnidae,
nucifraga,corvidae,
numenius,scolopacidae,
numida,numididae,
nyctanassa,ardeidae,
nyctibius,nyctibiidae,
nycticorax,ardeidae,
nycticryphes,rostratulidae,
nyctidromus,caprimulgidae,
nyctiphrynus,caprimulgidae,
nyctipolus,caprimulgidae,
nyctiprogne,caprimulgidae,
nyctyornis,meropidae,
nymphicus,cacatuidae,
nystalus,bucconidae,
oceanites,oceanitidae,
ochetorhynchus,furnariidae,
ochthoeca,tyrannidae,
ochthornis,tyrannidae,
ocreatus,trochilidae,
ocyceros,bucerotidae,
ocyphaps,columbidae,
odontophorus,odontophoridae,
odontorchilus,troglodytidae,
oedistoma,melanocharitidae,
oena,columbidae,
oenanthe,muscicapidae,
ognorhynchus,psittacidae,
oncostoma,tyrannidae,
oneillornis,thamnophilidae,
onychognathus,sturnidae,
onychoprion,laridae,
onychorhynchus,oxyruncidae,
ophrysia,phasianidae,
opisthocomus,opisthocomidae,
opisthoprora,trochilidae,
oporornis,parulidae,
orchesticus,thraupidae,
oreocharis,paramythiidae,
oreoica,oreoicidae,
oreolais,cisticolidae,
oreomystis,fringillidae,
oreonympha,trochilidae,
oreophasis,cracidae,
oreophilais,cisticolidae,
oreopholus,charadriidae,
oreopsar,icteridae,
oreopsittacus,psittaculidae,
oreornis,meliphagidae,
oreortyx,odontophoridae,
oreoscoptes,mimidae,
oreoscopus,acanthizidae,
oreostruthus,estrildidae,
oreothlypis,parulidae,
oreothraupis,passerellidae,
oreotrochilus,trochilidae,
oressochen,anatidae,
origma,acanthizidae,
oriolia,vangidae,
oriolus,oriolidae,
oriturus,passerellidae,
ornithion,tyrannidae,
ornorectes,oreoicidae,
orochelidon,hirundinidae,
ortalis,cracidae,
orthogonys,mitrospingidae,
orthonyx,orthonychidae,
orthopsittaca,psittacidae,
orthorhyncus,trochilidae,
orthotomus,cisticolidae,
ortygornis,phasianidae,
ortygospiza,estrildidae,
ortyxelos,turnicidae,
otidiphaps,columbidae,
otis,otididae,
otocichla,turdidae,
otus,strigidae,
oxylabes,bernieridae,
oxypogon,trochilidae,
oxyruncus,oxyruncidae,
oxyura,anatidae,
pachycare,acanthizidae,
pachycephala,pachycephalidae,
pachycephalopsis,petroicidae,
pachycoccyx,cuculidae,
pachyphantes,ploceidae,
pachyptila,procellariidae,
pachyramphus,tityridae,
pachysylvia,vireonidae,
padda,estrildidae,
pagodroma,procellariidae,
pagophila,laridae,
palmeria,fringillidae,
paludipasser,estrildidae,
pampa,trochilidae,
pandion,pandionidae,
panterpe,trochilidae,
panurus,panuridae,
panyptila,apodidae,
papasula,sulidae,
parabuteo,accipitridae,
paraclaravis,columbidae,
paradigalla,paradisaeidae,
paradisaea,paradisaeidae,
paradoxornis,sylviidae,
paragallinula,rallidae,
paramythia,paramythiidae,
parayuhina,zosteropidae,
pardalotus,pardalotidae,
pardirallus,rallidae,
parkerthraustes,thraupidae,
parkesia,parulidae,
parmoptila,estrildidae,
paroaria,thraupidae,
paroreomyza,fringillidae,
parotia,paradisaeidae,
parus,paridae,
parvipsitta,psittaculidae,
passer,passeridae,
passerculus,passerellidae,
passerella,passerellidae,
passerina,cardinalidae,
pastor,sturnidae,
patagioenas,columbidae,
patagona,trochilidae,
pauxi,cracidae,
pavo,phasianidae,
pedionomus,pedionomidae,
pelagodroma,oceanitidae,
pelargopsis,alcedinidae,
pelecanoides,procellariidae,
pelecanus,pelecanidae,
peliperdix,phasianidae,
pellorneum,pellorneidae,
peltohyas,charadriidae,
peltops,artamidae,
penelope,cracidae,
penelopides,bucerotidae,
penelopina,cracidae,
peneothello,petroicidae,
percnostola,thamnophilidae,
perdicula,phasianidae,
perdix,phasianidae,
pericrocotus,campephagidae,
periparus,paridae,
periporphyrus,cardinalidae,
perisoreus,corvidae,
perissocephalus,cotingidae,
pernis,accipitridae,
petrochelidon,hirundinidae,
petroica,petroicidae,
petronia,passeridae,
petrophassa,columbidae,
peucaea,passerellidae,
peucedramus,peucedramidae,
pezopetes,passerellidae,
pezophaps,columbidae,
pezoporus,psittaculidae,
phacellodomus,furnariidae,
phaenicophaeus,cuculidae,
phaenicophilus,phaenicophilidae,
phaenostictus,thamnophilidae,
phaeochroa,trochilidae,
phaeomyias,tyrannidae,
phaeoptila,trochilidae,
phaethon,phaethontidae,
phaethornis,trochilidae,
phaetusa,laridae,
phainopepla,ptiliogonatidae,
phainoptila,ptiliogonatidae,
phalacrocorax,phalacrocoracidae,
phalaenoptilus,caprimulgidae,
phalaropus,scolopacidae,
phalcoboenus,falconidae,
phapitreron,columbidae,
phaps,columbidae,
pharomachrus,trogonidae,
phasianus,phasianidae,
phedina,hirundinidae,
phegornis,charadriidae,
phelpsia,tyrannidae,
pheucticus,cardinalidae,
pheugopedius,troglodytidae,
phibalura,cotingidae,
philemon,meliphagidae,
philentoma,vangidae,
philepitta,philepittidae,
philesturnus,callaeidae,
philetairus,ploceidae,
philodice,trochilidae,
philortyx,odontophoridae,
philydor,furnariidae,
phimosus,threskiornithidae,
phlegopsis,thamnophilidae,
phleocryptes,furnariidae,
phlogophilus,trochilidae,
phodilus,tytonidae,
phoebastria,diomedeidae,
phoebetria,diomedeidae,
phoenicircus,cotingidae,
phoeniconaias,phoenicopteridae,
phoenicoparrus,phoenicopteridae,
phoenicopterus,phoenicopteridae,
phoeniculus,phoeniculidae,
phoenicurus,muscicapidae,
pholia,sturnidae,
pholidornis,macrosphenidae,
phonipara,thraupidae,
phonygammus,paradisaeidae,
phragmacia,cisticolidae,
phrygilus,thraupidae,
phylidonyris,meliphagidae,
phyllastrephus,pycnonotidae,
phyllergates,scotocercidae,
phyllolais,cisticolidae,
phyllomyias,tyrannidae,
phylloscartes,tyrannidae,
phylloscopus,phylloscopidae,
phytotoma,cotingidae,
piaya,cuculidae,
pica,corvidae,
picathartes,picathartidae,
picoides,picidae,
piculus,picidae,
picumnus,picidae,
picus,picidae,
piezorina,thraupidae,
pilherodius,ardeidae,
pinarochroa,muscicapidae,
pinarocorys,alaudidae,
pinaroloxias,thraupidae,
pinarornis,muscicapidae,
pinguinus,alcidae,
pinicola,fringillidae,
pionites,psittacidae,
pionopsitta,psittacidae,
pionus,psittacidae,
pipile,cracidae,
pipilo,passerellidae,
pipra,pipridae,
pipraeidea,thraupidae,
pipreola,cotingidae,
piprites,tyrannidae,
piranga,cardinalidae,
pitangus,tyrannidae,
pithecophaga,accipitridae,
pithys,thamnophilidae,
pitohui,oriolidae,
pitta,pittidae,
pittasoma,conopophagidae,
pityriasis,pityriasidae,
platalea,threskiornithidae,
platycercus,psittaculidae,
platylophus,platylophidae,
platyrinchus,tyrannidae,
platysmurus,corvidae,
platyspiza,thraupidae,
platysteira,platysteiridae,
plectorhyncha,meliphagidae,
plectrophenax,calcariidae,
plectropterus,anatidae,
plegadis,threskiornithidae,
plocepasser,ploceidae,
ploceus,ploceidae,
pluvialis,charadriidae,
pluvianellus,pluvianellidae,
pluvianus,pluvianidae,
pnoepyga,pnoepygidae,
podargus,podargidae,
podica,heliornithidae,
podiceps,podicipedidae,
podilymbus,podicipedidae,
podoces,corvidae,
poecile,paridae,
poecilodryas,petroicidae,
poecilostreptus,thraupidae,
poecilotriccus,tyrannidae,
poeoptera,sturnidae,
poephila,estrildidae,
pogoniulus,lybiidae,
pogonocichla,muscicapidae,
poicephalus,psittacidae,
poikilocarbo,phalacrocoracidae,
polemaetus,accipitridae,
polihierax,falconidae,
poliocephalus,podicipedidae,
poliocrania,thamnophilidae,
poliolais,cisticolidae,
poliolimnas,rallidae,
polioptila,polioptilidae,
polyboroides,accipitridae,
polyerata,trochilidae,
polyonymus,trochilidae,
polyplectron,phasianidae,
polysticta,anatidae,
polystictus,tyrannidae,
polytelis,psittaculidae,
polytmus,trochilidae,
pomarea,monarchidae,
pomatorhinus,timaliidae,
pomatostomus,pomatostomidae,
poodytes,locustellidae,
pooecetes,passerellidae,
poospiza,thraupidae,
poospizopsis,thraupidae,
porphyrio,rallidae,
porphyriops,rallidae,
porphyrolaema,cotingidae,
porzana,rallidae,
premnoplex,furnariidae,
premnornis,furnariidae,
primolius,psittacidae,
prinia,cisticolidae,
prioniturus,psittaculidae,
prionochilus,dicaeidae,
prionops,vangidae,
priotelus,trogonidae,
probosciger,cacatuidae,
procarduelis,fringillidae,
procellaria,procellariidae,
procnias,cotingidae,
prodotiscus,indicatoridae,
progne,hirundinidae,
promerops,promeropidae,
prosobonia,scolopacidae,
prosopeia,psittaculidae,
prosthemadera,meliphagidae,
protonotaria,parulidae,
prunella,prunellidae,
psalidoprocne,hirundinidae,
psaltria,aegithalidae,
psaltriparus,aegithalidae,
psarisomus,eurylaimidae,
psarocolius,icteridae,
psephotus,psittaculidae,
pseudasthenes,furnariidae,
pseudastur,accipitridae,
pseudelaenia,tyrannidae,
pseudeos,psittaculidae,
pseudhirundo,hirundinidae,
pseudibis,threskiornithidae,
pseudobias,vangidae,
pseudobulweria,procellariidae,
pseudocalyptomena,eurylaimidae,
pseudochelidon,hirundinidae,
pseudocolaptes,furnariidae,
pseudocolopteryx,tyrannidae,
pseudoleistes,icteridae,
pseudonestor,fringillidae,
pseudonigrita,ploceidae,
pseudopipra,pipridae,
pseudopodoces,paridae,
pseudorectes,pachycephalidae,
pseudosaltator,thraupidae,
pseudoseisura,furnariidae,
pseudospingus,thraupidae,
pseudotriccus,tyrannidae,
psilopogon,megalaimidae,
psilopsiagon,psittacidae,
psilorhamphus,rhinocryptidae,
psilorhinus,corvidae,
psiloscops,strigidae,
psittacara,psittacidae,
psittacella,psittaculidae,
psittacula,psittaculidae,
psittaculirostris,psittaculidae,
psittacus,psittacidae,
psitteuteles,psittaculidae,
psittinus,psittaculidae,
psittiparus,sylviidae,
psittirostra,fringillidae,
psittrichas,psittaculidae,
psophia,psophiidae,
psophocichla,turdidae,
psophodes,psophodidae,
pteridophora,paradisaeidae,
pternistis,phasianidae,
pterocles,pteroclidae,
pterodroma,procellariidae,
pteroglossus,ramphastidae,
pteronetta,anatidae,
pterophanes,trochilidae,
pteroptochos,rhinocryptidae,
pterorhinus,leiothrichidae,
pteruthius,vireonidae,
ptilinopus,columbidae,
ptiliogonys,ptiliogonatidae,
ptilocichla,pellorneidae,
ptilonorhynchus,ptilonorhynchidae,
ptilopachus,odontophoridae,
ptiloprora,meliphagidae,
ptilopsis,strigidae,
ptiloris,paradisaeidae,
ptilorrhoa,cinclosomatidae,
ptilostomus,corvidae,
ptilotula,meliphagidae,
ptiloxena,icteridae,
ptychoramphus,alcidae,
ptyonoprogne,hirundinidae,
pucrasia,phasianidae,
puffinus,procellariidae,
pulsatrix,strigidae,
purnella,meliphagidae,
purpureicephalus,psittaculidae,
pycnonotus,pycnonotidae,
pycnoptilus,acanthizidae,
pycnopygius,meliphagidae,
pygarrhichas,furnariidae,
pygiptila,thamnophilidae,
pygochelidon,hirundinidae,
pygoscelis,spheniscidae,
pyrenestes,estrildidae,
pyriglena,thamnophilidae,
pyrilia,psittacidae,
pyrocephalus,tyrannidae,
pyroderus,cotingidae,
pyrope,tyrannidae,
pyrrhocorax,corvidae,
pyrrholaemus,acanthizidae,
pyrrhomyias,tyrannidae,
pyrrhoplectes,fringillidae,
pyrrhula,fringillidae,
pyrrhura,psittacidae,
pyrroglaux,strigidae,
pytilia,estrildidae,
quelea,ploceidae,
querula,cotingidae,
quiscalus,icteridae,
radjah,anatidae,
rallina,rallidae,
rallus,rallidae,
ramphastos,ramphastidae,
ramphocaenus,polioptilidae,
ramphocelus,thraupidae,
ramphocinclus,mimidae,
ramphocoris,alaudidae,
ramphodon,trochilidae,
ramphomicron,trochilidae,
ramphotrigon,tyrannidae,
ramsayornis,meliphagidae,
randia,bernieridae,
raphus,columbidae,
rauenia,thraupidae,
recurvirostra,recurvirostridae,
regulus,regulidae,
reinwardtipicus,picidae,
reinwardtoena,columbidae,
remiz,remizidae,
rhabdornis,sturnidae,
rhabdotorrhinus,bucerotidae,
rhagologus,rhagologidae,
rhamphococcyx,cuculidae,
rhaphidura,apodidae,
rhea,rheidae,
rhegmatorhina,thamnophilidae,
rheinardia,phasianidae,
rhinocrypta,rhinocryptidae,
rhinopomastus,phoeniculidae,
rhinoptilus,glareolidae,
rhinortha,cuculidae,
rhipidura,rhipiduridae,
rhizothera,phasianidae,
rhodacanthis,fringillidae,
rhodinocichla,rhodinocichlidae,
rhodonessa,anatidae,
rhodopechys,fringillidae,
rhodophoneus,malaconotidae,
rhodopis,trochilidae,
rhodospingus,thraupidae,
rhodospiza,fringillidae,
rhodostethia,laridae,
rhodothraupis,cardinalidae,
rhopias,thamnophilidae,
rhopophilus,sylviidae,
rhopornis,thamnophilidae,
rhopospina,thraupidae,
rhynchocyclus,tyrannidae,
rhynchophanes,calcariidae,
rhynchopsitta,psittacidae,
rhynchortyx,odontophoridae,
rhynchospiza,passerellidae,
rhynchostruthus,fringillidae,
rhynchotus,tinamidae,
rhynochetos,rhynochetidae,
rhyticeros,bucerotidae,
rhytipterna,tyrannidae,
riccordia,trochilidae,
ridgwayia,turdidae,
rigidipenna,podargidae,
riparia,hirundinidae,
rissa,laridae,
robsonius,locustellidae,
rollandia,podicipedidae,
rollulus,phasianidae,
roraimia,furnariidae,
rostratula,rostratulidae,
rostrhamus,accipitridae,
rougetius,rallidae,
rowettia,thraupidae,
rubigula,pycnonotidae,
rukia,zosteropidae,
rupicola,cotingidae,
rupornis,accipitridae,
ruwenzorornis,musophagidae,
rynchops,laridae,
sagittarius,sagittariidae,
sakesphorus,thamnophilidae,
salpinctes,troglodytidae,
salpornis,certhiidae,
saltator,thraupidae,
saltatricula,thraupidae,
salvadorina,anatidae,
sapayoa,sapayoidae,
sappho,trochilidae,
sarcogyps,accipitridae,
sarcophanops,eurylaimidae,
sarcops,sturnidae,
sarcoramphus,cathartidae,
sarkidiornis,anatidae,
saroglossa,sturnidae,
sarothrura,sarothruridae,
sasia,picidae,
satrapa,tyrannidae,
saucerottia,trochilidae,
saudareos,psittaculidae,
saundersilarus,laridae,
saxicola,muscicapidae,
sayornis,tyrannidae,
sceloglaux,strigidae,
scelorchilus,rhinocryptidae,
scenopoeetes,ptilonorhynchidae,
scepomycter,cisticolidae,
schetba,vangidae,
schiffornis,tityridae,
schistes,trochilidae,
schistochlamys,thraupidae,
schistolais,cisticolidae,
schoenicola,locustellidae,
schoeniophylax,furnariidae,
schoeniparus,pellorneidae,
schoutedenapus,apodidae,
sciaphylax,thamnophilidae,
scissirostrum,sturnidae,
sclateria,thamnophilidae,
scleroptila,phasianidae,
sclerurus,furnariidae,
scolopax,scolopacidae,
scopus,scopidae,
scotocerca,scotocercidae,
scotopelia,strigidae,
scytalopus,rhinocryptidae,
scythrops,cuculidae,
seiurus,parulidae,
selasphorus,trochilidae,
selenidera,ramphastidae,
seleucidis,paradisaeidae,
semioptera,paradisaeidae,
semnornis,semnornithidae,
sephanoides,trochilidae,
sericornis,acanthizidae,
sericossypha,thraupidae,
sericulus,ptilonorhynchidae,
serilophus,eurylaimidae,
serinus,fringillidae,
serpophaga,tyrannidae,
setopagis,caprimulgidae,
setophaga,parulidae,
setornis,pycnonotidae,
sheppardia,muscicapidae,
sholicola,muscicapidae,
sialia,turdidae,
sibirionetta,anatidae,
sicalis,thraupidae,
sinosuthora,sylviidae,
siphonorhis,caprimulgidae,
sipia,thamnophilidae,
sipodotus,maluridae,
siptornis,furnariidae,
sirystes,tyrannidae,
sitta,sittidae,
sittasomus,furnariidae,
sittiparus,paridae,
smicrornis,acanthizidae,
smithornis,calyptomenidae,
smutsornis,glareolidae,
snowornis,cotingidae,
somateria,anatidae,
spartonoica,furnariidae,
spatula,anatidae,
speculanas,anatidae,
speculipastor,sturnidae,
spelaeornis,timaliidae,
spermestes,estrildidae,
spermophaga,estrildidae,
sphecotheres,oriolidae,
spheniscus,spheniscidae,
sphenoeacus,macrosphenidae,
sphenopsis,thraupidae,
sphyrapicus,picidae,
spiloptila,cisticolidae,
spilornis,accipitridae,
spindalis,spindalidae,
spinus,fringillidae,
spiza,cardinalidae,
spizaetus,accipitridae,
spizella,passerellidae,
spizelloides,passerellidae,
spiziapteryx,falconidae,
spizixos,pycnonotidae,
spizocorys,alaudidae,
spodiopsar,sturnidae,
spodiornis,thraupidae,
sporathraupis,thraupidae,
sporophila,thraupidae,
sporopipes,ploceidae,
stachyris,timaliidae,
stactolaema,lybiidae,
stagonopleura,estrildidae,
staphida,zosteropidae,
starnoenas,columbidae,
steatornis,steatornithidae,
stelgidillas,pycnonotidae,
stelgidopteryx,hirundinidae,
stenostira,stenostiridae,
stephanoaetus,accipitridae,
stephanophorus,thraupidae,
stephanoxis,trochilidae,
stercorarius,stercorariidae,
sterna,laridae,
sternoclyta,trochilidae,
sternula,laridae,
sterrhoptilus,zosteropidae,
stictonetta,anatidae,
stigmatura,tyrannidae,
stilpnia,thraupidae,
stiltia,glareolidae,
stiphrornis,muscicapidae,
stipiturus,maluridae,
stizoptera,estrildidae,
stomiopera,meliphagidae,
strepera,artamidae,
streptocitta,sturnidae,
streptopelia,columbidae,
streptoprocne,apodidae,
stresemannia,meliphagidae,
strigops,strigopidae,
strix,strigidae,
struthidea,corcoracidae,
struthio,struthionidae,
sturnella,icteridae,
sturnia,sturnidae,
sturnornis,sturnidae,
sturnus,sturnidae,
sublegatus,tyrannidae,
sugomel,meliphagidae,
suiriri,tyrannidae,
sula,sulidae,
surnia,strigidae,
surniculus,cuculidae,
suthora,sylviidae,
swynnertonia,muscicapidae,
sylvia,sylviidae,
sylvietta,macrosphenidae,
sylviorthorhynchus,furnariidae,
sylviparus,paridae,
syma,alcedinidae,
symposiachrus,monarchidae,
synallaxis,furnariidae,
syndactyla,furnariidae,
synoicus,phasianidae,
synorhacma,psittaculidae,
synthliboramphus,alcidae,
sypheotides,otididae,
syrigma,ardeidae,
syrmaticus,phasianidae,
syrrhaptes,pteroclidae,
syrtidicola,tyrannidae,
systellura,caprimulgidae,
taccocua,cuculidae,
tachornis,apodidae,
tachuris,tyrannidae,
tachybaptus,podicipedidae,
tachycineta,hirundinidae,
tachyeres,anatidae,
tachyphonus,thraupidae,
tadorna,anatidae,
taenioptynx,strigidae,
taeniopygia,estrildidae,
taeniotriccus,tyrannidae,
talaphorus,trochilidae,
talegalla,megapodiidae,
tangara,thraupidae,
tanygnathus,psittaculidae,
tanysiptera,alcedinidae,
