xenocanto_11_2,ebird2022_species,comment
aythya affinis,lessca,Exact match
polysticta stelleri,steeid,Exact match
somateria fischeri,speeid,Exact match
somateria spectabilis,kineid,Exact match
somateria mollissima,comeid,Exact match
histrionicus histrionicus,harduc,Exact match
camptorhynchus labradorius,labduc,Exact match
melanitta perspicillata,sursco,Exact match
melanitta fusca,whwsco3,Exact match
melanitta deglandi,whwsco2,Exact match
melanitta stejnegeri,whwsco1,Exact match
melanitta nigra,blksco1,Exact match
melanitta americana,blksco2,Exact match
clangula hyemalis,lotduc,Exact match
bucephala albeola,buffle,Exact match
bucephala clangula,comgol,Exact match
bucephala islandica,bargol,Exact match
mergellus albellus,smew,Exact match
lophodytes cucullatus,hoomer,Exact match
mergus octosetaceus,bramer1,Exact match
mergus merganser,commer,Exact match
mergus serrator,rebmer,Exact match
mergus squamatus,scsmer1,Exact match
heteronetta atricapilla,blhduc1,Exact match
nomonyx dominicus,masduc,Exact match
oxyura jamaicensis,rudduc,Exact match
oxyura ferruginea,andduc1,Exact match
oxyura vittata,lakduc1,Exact match
oxyura australis,blbduc1,Exact match
oxyura maccoa,macduc1,Exact match
oxyura leucocephala,whhduc1,Exact match
biziura lobata,musduc1,Exact match
alectura lathami,ausbrt1,Exact match
aepypodius arfakianus,watbrt1,Exact match
aepypodius bruijnii,brubrt1,Exact match
talegalla cuvieri,rebbrt1,Exact match
leipoa ocellata,mallee1,Exact match
macrocephalon maleo,maleo1,Exact match
eulipoa wallacei,molscr1,Exact match
megapodius pritchardii,niuscr1,Exact match
megapodius laperouse,micscr1,Exact match
megapodius nicobariensis,nicscr1,Exact match
megapodius cumingii,tabscr1,Exact match
megapodius bernsteinii,sulscr1,Exact match
megapodius tenimberensis,tanscr1,Exact match
megapodius freycinet,dusscr1,Exact match
megapodius eremita,melscr1,Exact match
megapodius layardi,vanscr1,Exact match
ortalis vetula,placha,Exact match
ortalis garrula,chwcha1,Exact match
ortalis ruficauda,ruvcha1,Exact match
ortalis erythroptera,ruhcha1,Exact match
ortalis wagleri,rubcha1,Exact match
ortalis poliocephala,wemcha1,Exact match
ortalis canicollis,chacha1,Exact match
ortalis leucogastra,whbcha1,Exact match
ortalis guttata,specha3,Exact match
ortalis araucuan,specha2,Exact match
ortalis squamata,specha4,Exact match
ortalis columbiana,colcha1,Exact match
ortalis ruficeps,varcha3,Exact match
ortalis superciliaris,bubcha1,Exact match
penelope argyrotis,batgua1,Exact match
penelope barbata,beagua1,Exact match
penelope ortoni,baugua1,Exact match
penelope montagnii,andgua1,Exact match
penelope marail,margua1,Exact match
penelope superciliaris,rumgua1,Exact match
penelope dabbenei,refgua1,Exact match
penelope purpurascens,cregua1,Exact match
penelope perspicax,caugua1,Exact match
penelope albipennis,whwgua1,Exact match
penelope jacquacu,spigua1,Exact match
penelope obscura,dulgua1,Exact match
penelope bridgesi,dulgua3,Exact match
penelope pileata,whcgua1,Exact match
penelope ochrogaster,chbgua1,Exact match
penelope jacucaca,whbgua1,Exact match
aburria aburri,watgua1,Exact match
chamaepetes unicolor,blagua1,Exact match
chamaepetes goudotii,siwgua1,Exact match
penelopina nigra,higgua1,Exact match
oreophasis derbianus,horgua1,Exact match
nothocrax urumutum,noccur1,Exact match
mitu tomentosum,crecur2,Exact match
mitu salvini,salcur1,Exact match
mitu tuberosum,rabcur2,Exact match
mitu mitu,alacur1,Exact match
pauxi pauxi,helcur1,Exact match
pauxi unicornis,horcur3,Exact match
pauxi koepckeae,horcur2,Exact match
crax rubra,grecur1,Exact match
crax alberti,bubcur1,Exact match
crax daubentoni,yekcur1,Exact match
crax alector,blacur1,Exact match
crax globulosa,watcur1,Exact match
crax fasciolata,bafcur1,Exact match
crax blumenbachii,rebcur1,Exact match
agelastes meleagrides,whbgui1,Exact match
agelastes niger,blagui1,Exact match
numida meleagris,helgui,Exact match
guttera plumifera,plugui1,Exact match
acryllium vulturinum,vulgui1,Exact match
ptilopachus petrosus,stopar1,Exact match
ptilopachus nahani,nahfra2,Exact match
oreortyx pictus,mouqua,Exact match
callipepla squamata,scaqua,Exact match
callipepla douglasii,elequa,Exact match
callipepla californica,calqua,Exact match
callipepla gambelii,gamqua,Exact match
philortyx fasciatus,banqua1,Exact match
colinus virginianus,norbob,Exact match
dactylortyx thoracicus,sinqua1,Exact match
cyrtonyx montezumae,monqua,Exact match
