xenocanto_11_2,ebird2022_species,comment
calonectris leucomelas,strshe,Exact match
calonectris edwardsii,cavshe1,Exact match
ardenna pacifica,wetshe,Exact match
ardenna bulleri,bulshe,Exact match
ardenna grisea,sooshe,Exact match
ardenna tenuirostris,shtshe,Exact match
ardenna creatopus,pifshe,Exact match
ardenna carneipes,flfshe,Exact match
ardenna gravis,greshe,Exact match
puffinus nativitatis,chrshe,Exact match
puffinus puffinus,manshe,Exact match
puffinus yelkouan,levshe1,Exact match
puffinus mauretanicus,balshe1,Exact match
puffinus bryani,bryshe1,Exact match
puffinus opisthomelas,bkvshe,Exact match
puffinus auricularis,towshe1,Exact match
puffinus newelli,towshe2,Exact match
puffinus myrtae,towshe3,Exact match
puffinus gavia,flushe1,Exact match
puffinus huttoni,hutshe1,Exact match
puffinus lherminieri,audshe,Exact match
puffinus persicus,pershe1,Exact match
puffinus bailloni,troshe5,Exact match
puffinus subalaris,audshe3,Exact match
puffinus bannermani,troshe4,Exact match
puffinus heinrothi,heishe1,Exact match
puffinus assimilis,litshe8,Exact match
puffinus elegans,litshe4,Exact match
puffinus baroli,litshe1,Exact match
puffinus boydi,litshe2,Exact match
bulweria bulwerii,bulpet,Exact match
bulweria fallax,joupet,Exact match
mycteria americana,woosto,Exact match
mycteria cinerea,milsto1,Exact match
mycteria ibis,yebsto1,Exact match
mycteria leucocephala,paisto1,Exact match
anastomus oscitans,asiope1,Exact match
anastomus lamelligerus,afrope1,Exact match
ciconia nigra,blasto1,Exact match
ciconia abdimii,abdsto1,Exact match
ciconia stormi,stosto1,Exact match
ciconia maguari,magsto1,Exact match
ciconia ciconia,whisto1,Exact match
ciconia boyciana,oristo1,Exact match
ephippiorhynchus asiaticus,blnsto1,Exact match
ephippiorhynchus senegalensis,sabsto1,Exact match
jabiru mycteria,jabiru,Exact match
leptoptilos javanicus,lesadj1,Exact match
leptoptilos dubius,greadj1,Exact match
leptoptilos crumenifer,marsto1,Exact match
fregata aquila,asifri1,Exact match
fregata magnificens,magfri,Exact match
fregata minor,grefri,Exact match
fregata ariel,lesfri,Exact match
morus bassanus,norgan,Exact match
morus capensis,capgan1,Exact match
morus serrator,ausgan1,Exact match
papasula abbotti,abbboo2,Exact match
sula nebouxii,bfoboo,Exact match
sula variegata,perboo1,Exact match
sula dactylatra,masboo,Exact match
sula granti,nazboo1,Exact match
sula sula,refboo,Exact match
sula leucogaster,brnboo,Exact match
anhinga melanogaster,darter2,Exact match
anhinga rufa,darter3,Exact match
anhinga novaehollandiae,darter4,Exact match
anhinga anhinga,anhing,Exact match
microcarbo pygmaeus,pygcor2,Exact match
microcarbo coronatus,crocor1,Exact match
microcarbo niger,litcor1,Exact match
microcarbo melanoleucos,lipcor1,Exact match
poikilocarbo gaimardi,relcor1,Exact match
urile penicillatus,bracor,Exact match
urile urile,refcor,Exact match
urile pelagicus,pelcor,Exact match
phalacrocorax neglectus,bancor1,Exact match
phalacrocorax nigrogularis,soccor1,Exact match
phalacrocorax punctatus,sposha1,Exact match
phalacrocorax fuscescens,blfcor1,Exact match
phalacrocorax sulcirostris,libcor1,Exact match
phalacrocorax fuscicollis,indcor1,Exact match
phalacrocorax capensis,capcor1,Exact match
phalacrocorax capillatus,japcor1,Exact match
gulosus aristotelis,eursha1,Exact match
nannopterum harrisi,flicor1,Exact match
nannopterum brasilianum,neocor,Exact match
nannopterum auritum,doccor,Exact match
leucocarbo bougainvillii,guacor1,Exact match
leucocarbo carunculatus,rofsha1,Exact match
leucocarbo georgianus,sogsha1,Exact match
leucocarbo melanogenis,crosha1,Exact match
leucocarbo bransfieldensis,antsha1,Exact match
leucocarbo verrucosus,kersha1,Exact match
leucocarbo nivalis,heisha1,Exact match
leucocarbo purpurascens,macsha1,Exact match
threskiornis aethiopicus,sacibi2,Exact match
threskiornis bernieri,sacibi3,Exact match
threskiornis solitarius,reusol1,Exact match
threskiornis melanocephalus,blhibi1,Exact match
threskiornis spinicollis,stnibi1,Exact match
pseudibis papillosa,renibi1,Exact match
pseudibis davisoni,whsibi1,Exact match
pseudibis gigantea,giaibi1,Exact match
geronticus eremita,waldra1,Exact match
geronticus calvus,balibi1,Exact match
nipponia nippon,creibi1,Exact match
bostrychia olivacea,oliibi2,Exact match
bostrychia bocagei,oliibi3,Exact match
bostrychia rara,spbibi1,Exact match
bostrychia hagedash,hadibi1,Exact match
bostrychia carunculata,watibi1,Exact match
theristicus caerulescens,pluibi1,Exact match
theristicus caudatus,bunibi1,Exact match
theristicus melanopis,bkfibi1,Exact match
theristicus branickii,bkfibi2,Exact match
cercibis oxycerca,shtibi1,Exact match
mesembrinibis cayennensis,greibi1,Exact match
phimosus infuscatus,bafibi1,Exact match
eudocimus ruber,scaibi,Exact match
plegadis falcinellus,gloibi,Exact match
plegadis chihi,whfibi,Exact match
plegadis ridgwayi,punibi1,Exact match
lophotibis cristata,madibi1,Exact match
platalea leucorodia,eurspo1,Exact match
platalea minor,blfspo1,Exact match
platalea alba,afrspo1,Exact match
platalea regia,royspo1,Exact match
platalea flavipes,yebspo1,Exact match
platalea ajaja,rosspo1,Exact match
zonerodius heliosylus,forbit1,Exact match
agamia agami,agaher1,Exact match
cochlearius cochlearius,bobher1,Exact match
zebrilus undulatus,zigher1,Exact match
botaurus poiciloptilus,ausbit1,Exact match
botaurus lentiginosus,amebit,Exact match
botaurus pinnatus,pinbit1,Exact match
ixobrychus involucris,stbbit1,Exact match
ixobrychus exilis,leabit,Exact match
ixobrychus minutus,litbit1,Exact match
ixobrychus dubius,bkbbit1,Exact match
ixobrychus novaezelandiae,nezbit1,Exact match
ixobrychus sinensis,yelbit,Exact match
ixobrychus cinnamomeus,cinbit1,Exact match
ixobrychus sturmii,dwabit1,Exact match
ixobrychus flavicollis,blabit1,Exact match
butorides virescens,grnher,Exact match
ardeola ralloides,squher1,Exact match
ardeola rufiventris,rubher2,Exact match
ardea herodias,grbher3,Exact match
ardea cocoi,cocher1,Exact match
ardea melanocephala,blhher1,Exact match
ardea humbloti,humher1,Exact match
ardea insignis,whbher2,Exact match
ardea sumatrana,grbher2,Exact match
ardea goliath,golher1,Exact match
ardea purpurea,purher1,Exact match
ardea alba,greegr,Exact match
ardea intermedia,integr,Exact match
pilherodius pileatus,capher1,Exact match
syrigma sibilatrix,whiher1,Exact match
egretta picata,pieher2,Exact match
egretta novaehollandiae,whfher1,Exact match
egretta rufescens,redegr,Exact match
egretta ardesiaca,blaher1,Exact match
egretta vinaceigula,slaegr1,Exact match
egretta tricolor,triher,Exact match
egretta caerulea,libher,Exact match
egretta thula,snoegr,Exact match
egretta eulophotes,chiegr,Exact match
scopus umbretta,hamerk1,Exact match
balaeniceps rex,shoebi1,Exact match
pelecanus onocrotalus,grwpel1,Exact match
pelecanus rufescens,pibpel1,Exact match
pelecanus philippensis,spbpel1,Exact match
pelecanus crispus,dalpel1,Exact match
pelecanus conspicillatus,auspel1,Exact match
pelecanus erythrorhynchos,amwpel,Exact match
pelecanus occidentalis,brnpel,Exact match
pelecanus thagus,perpel1,Exact match
opisthocomus hoazin,hoatzi1,Exact match
gymnogyps californianus,calcon,Exact match
sarcoramphus papa,kinvul1,Exact match
vultur gryphus,andcon1,Exact match
coragyps atratus,blkvul,Exact match
cathartes aura,turvul,Exact match
cathartes burrovianus,lyhvul1,Exact match
cathartes melambrotus,gyhvul1,Exact match
sagittarius serpentarius,secret2,Exact match
elanus caeruleus,bkskit1,Exact match
elanus axillaris,auskit1,Exact match
elanus leucurus,whtkit,Exact match
elanus scriptus,lewkit1,Exact match
gampsonyx swainsonii,peakit1,Exact match
chelictinia riocourii,sctkit1,Exact match
polyboroides typus,afhhaw1,Exact match
polyboroides radiatus,mahhaw1,Exact match
gypohierax angolensis,panvul1,Exact match
gypaetus barbatus,lammer1,Exact match
neophron percnopterus,egyvul1,Exact match
leptodon forbesi,whckit1,Exact match
chondrohierax uncinatus,hobkit,Exact match
chondrohierax wilsonii,hobkit2,Exact match
elanoides forficatus,swtkit,Exact match
lophoictinia isura,sqtkit1,Exact match
aviceda cuculoides,afrcuh1,Exact match
aviceda madagascariensis,madcuh1,Exact match
aviceda jerdoni,jerbaz1,Exact match
aviceda subcristata,pacbaz1,Exact match
aviceda leuphotes,blabaz1,Exact match
necrosyrtes monachus,hoovul1,Exact match
gyps africanus,whbvul1,Exact match
gyps bengalensis,whrvul1,Exact match
gyps indicus,indvul1,Exact match
gyps tenuirostris,slbvul1,Exact match
sarcogyps calvus,rehvul1,Exact match
trigonoceps occipitalis,whhvul1,Exact match
aegypius monachus,cinvul1,Exact match
torgos tracheliotos,lafvul1,Exact match
pithecophaga jefferyi,grpeag1,Exact match
terathopius ecaudatus,batele1,Exact match
macheiramphus alcinus,bathaw1,Exact match
morphnus guianensis,creeag1,Exact match
harpia harpyja,hareag1,Exact match
nisaetus cirrhatus,y00839,Exact match
nisaetus floris,flohae1,Exact match
nisaetus nipalensis,mouhae1,Exact match
nisaetus kelaarti,mouhae2,Exact match
nisaetus alboniger,blyhae1,Exact match
nisaetus bartelsi,javhae1,Exact match
nisaetus lanceolatus,sulhae1,Exact match
nisaetus philippensis,phihae1,Exact match
nisaetus pinskeri,pinhae1,Exact match
nisaetus nanus,walhae1,Exact match
spizaetus tyrannus,blheag1,Exact match
spizaetus melanoleucus,bawhae1,Exact match
spizaetus ornatus,orheag1,Exact match
spizaetus isidori,baceag2,Exact match
stephanoaetus coronatus,crheag1,Exact match
lophotriorchis kienerii,rubeag2,Exact match
polemaetus bellicosus,mareag1,Exact match
lophaetus occipitalis,loceag1,Exact match
ictinaetus malaiensis,blaeag1,Exact match
clanga pomarina,leseag1,Exact match
clanga hastata,inseag1,Exact match
clanga clanga,grseag1,Exact match
hieraaetus wahlbergi,waheag3,Exact match
hieraaetus pennatus,booeag1,Exact match
hieraaetus morphnoides,liteag1,Exact match
hieraaetus weiskei,liteag3,Exact match
hieraaetus ayresii,ayheag1,Exact match
aquila rapax,taweag1,Exact match
aquila nipalensis,steeag1,Exact match
aquila gurneyi,gureag1,Exact match
aquila chrysaetos,goleag,Exact match
aquila audax,weteag1,Exact match
aquila verreauxii,vereag1,Exact match
aquila africana,cashae1,Exact match
aquila fasciata,boneag2,Exact match
aquila spilogaster,afrhae1,Exact match
harpagus bidentatus,dotkit1,Exact match
harpagus diodon,rutkit1,Exact match
kaupifalco monogrammicus,lizbuz1,Exact match
micronisus gabar,gabgos2,Exact match
urotriorchis macrourus,lothaw1,Exact match
erythrotriorchis buergersi,chsgos1,Exact match
erythrotriorchis radiatus,redgos1,Exact match
megatriorchis doriae,dorgos1,Exact match
accipiter trivirgatus,cregos1,Exact match
accipiter griseiceps,sulgos1,Exact match
accipiter castanilius,chfspa1,Exact match
accipiter badius,shikra1,Exact match
accipiter butleri,nicspa1,Exact match
accipiter brevipes,levspa1,Exact match
accipiter soloensis,grfhaw1,Exact match
accipiter francesiae,fragos2,Exact match
accipiter hiogaster,vargos1,Exact match
accipiter fasciatus,brogos1,Exact match
accipiter melanochlamys,blmgos1,Exact match
accipiter albogularis,piegos1,Exact match
accipiter rufitorques,fijgos1,Exact match
accipiter henicogrammus,molgos1,Exact match
accipiter luteoschistaceus,slmgos1,Exact match
accipiter princeps,nebgos1,Exact match
accipiter erythropus,retspa1,Exact match
accipiter minullus,litspa1,Exact match
accipiter gularis,japspa1,Exact match
accipiter virgatus,besra1,Exact match
accipiter erythrauchen,runspa1,Exact match
accipiter cirrocephalus,colspa1,Exact match
accipiter brachyurus,nebspa1,Exact match
accipiter rhodogaster,vibspa1,Exact match
accipiter madagascariensis,madspa1,Exact match
accipiter ovampensis,ovaspa2,Exact match
accipiter nisus,eurspa1,Exact match
accipiter rufiventris,rucspa2,Exact match
accipiter cooperii,coohaw,Exact match
accipiter gundlachi,gunhaw1,Exact match
accipiter bicolor,bichaw1,Exact match
accipiter chilensis,bichaw4,Exact match
accipiter henstii,hengos1,Exact match
accipiter gentilis,norgos,Exact match
accipiter meyerianus,meygos1,Exact match
circus approximans,swahar1,Exact match
circus maillardi,reuhar2,Exact match
circus macrosceles,reuhar3,Exact match
circus buffoni,lowhar1,Exact match
circus assimilis,spohar1,Exact match
circus maurus,blahar1,Exact match
circus cyaneus,norhar1,Exact match
circus hudsonius,norhar2,Exact match
circus cinereus,cinhar1,Exact match
circus macrourus,palhar1,Exact match
circus melanoleucos,piehar1,Exact match
circus pygargus,monhar1,Exact match
milvus milvus,redkit1,Exact match
haliastur sphenurus,whikit1,Exact match
haliastur indus,brakit1,Exact match
haliaeetus albicilla,whteag,Exact match
haliaeetus leucocephalus,baleag,Exact match
butastur rufipennis,grabuz1,Exact match
butastur teesa,whebuz1,Exact match
butastur liventer,ruwbuz1,Exact match
ictinia mississippiensis,miskit,Exact match
ictinia plumbea,plukit1,Exact match
busarellus nigricollis,blchaw1,Exact match
rostrhamus sociabilis,snakit,Exact match
helicolestes hamatus,slbkit1,Exact match
geranospiza caerulescens,crahaw,Exact match
cryptoleucopteryx plumbea,pluhaw,Exact match
buteogallus schistaceus,slchaw2,Exact match
buteogallus anthracinus,comblh1,Exact match
buteogallus gundlachii,cubblh1,Exact match
buteogallus aequinoctialis,ruchaw1,Exact match
buteogallus meridionalis,savhaw1,Exact match
buteogallus lacernulatus,whnhaw2,Exact match
buteogallus urubitinga,grbhaw1,Exact match
buteogallus solitarius,soleag1,Exact match
buteogallus coronatus,croeag1,Exact match
morphnarchus princeps,barhaw1,Exact match
rupornis magnirostris,roahaw,Exact match
parabuteo unicinctus,hrshaw,Exact match
parabuteo leucorrhous,whrhaw1,Exact match
geranoaetus albicaudatus,whthaw,Exact match
geranoaetus polyosoma,rebhaw2,Exact match
geranoaetus melanoleucus,bcbeag1,Exact match
pseudastur polionotus,manhaw2,Exact match
pseudastur albicollis,whihaw1,Exact match
leucopternis semiplumbeus,semhaw,Exact match
leucopternis melanops,blfhaw1,Exact match
leucopternis kuhli,whbhaw2,Exact match
bermuteo avivorus,berhaw1,Exact match
buteo lineatus,reshaw,Exact match
buteo ridgwayi,ridhaw1,Exact match
buteo platypterus,brwhaw,Exact match
buteo albigula,whthaw1,Exact match
buteo brachyurus,shthaw,Exact match
buteo solitarius,hawhaw,Exact match
buteo swainsoni,swahaw,Exact match
buteo galapagoensis,galhaw1,Exact match
buteo albonotatus,zothaw,Exact match
buteo jamaicensis,rethaw,Exact match
buteo ventralis,ruthaw1,Exact match
buteo regalis,ferhaw,Exact match
buteo hemilasius,uplbuz1,Exact match
buteo japonicus,combuz6,Exact match
buteo refectus,combuz9,Exact match
buteo rufinus,lolbuz1,Exact match
buteo socotraensis,socbuz1,Exact match
buteo trizonatus,moubuz3,Exact match
buteo oreophilus,moubuz2,Exact match
buteo auguralis,renbuz1,Exact match
buteo brachypterus,madbuz1,Exact match
buteo rufofuscus,jacbuz1,Exact match
tyto soumagnei,marowl1,Exact match
tyto glaucops,asfowl1,Exact match
ninox albifacies,lauowl1,Exact match
ninox rufa,rufowl2,Exact match
ninox strenua,powowl1,Exact match
ninox connivens,barowl1,Exact match
ninox rudolfi,sumboo1,Exact match
ninox rotiensis,souboo4,Exact match
ninox fusca,souboo5,Exact match
ninox plesseni,souboo6,Exact match
ninox japonica,norboo1,Exact match
ninox randi,choboo1,Exact match
ninox burhani,toghao1,Exact match
ninox ochracea,ocbhao1,Exact match
ninox ios,cinhao1,Exact match
ninox hypogramma,molhao3,Exact match
ninox hantu,hanboo1,Exact match
ninox squamipila,hanboo2,Exact match
ninox forbesi,molhao2,Exact match
ninox meeki,manhao1,Exact match
ninox theomacha,junhao1,Exact match
ninox punctulata,spehao1,Exact match
ninox odiosa,nebhao1,Exact match
margarobyas lawrencii,balowl,Exact match
taenioptynx brodiei,colowl1,Exact match
taenioptynx sylvaticus,colowl3,Exact match
micrathene whitneyi,elfowl,Exact match
xenoglaux loweryi,lowowl1,Exact match
aegolius funereus,borowl,Exact match
aegolius acadicus,nswowl,Exact match
aegolius gradyi,bswowl1,Exact match
aegolius ridgwayi,uswowl1,Exact match
aegolius harrisii,bufowl1,Exact match
athene cunicularia,burowl,Exact match
athene brama,spoowl1,Exact match
athene noctua,litowl1,Exact match
athene superciliaris,whbowl1,Exact match
athene blewitti,forowl1,Exact match
athene jacquinoti,solboo1,Exact match
athene granti,solboo2,Exact match
athene malaitae,solboo3,Exact match
athene roseoaxillaris,solboo4,Exact match
glaucidium perlatum,pesowl1,Exact match
glaucidium tephronotum,recowl1,Exact match
glaucidium cuculoides,asbowl1,Exact match
glaucidium castanopterum,javowl1,Exact match
glaucidium radiatum,junowl1,Exact match
glaucidium castanotum,chbowl1,Exact match
glaucidium capense,afbowl1,Exact match
glaucidium albertinum,albowl1,Exact match
ptilopsis leucotis,nwfowl1,Exact match
ptilopsis granti,swfowl1,Exact match
asio grammicus,jamowl1,Exact match
asio clamator,strowl1,Exact match
asio otus,loeowl,Exact match
asio abyssinicus,aleowl1,Exact match
asio madagascariensis,mleowl1,Exact match
asio stygius,styowl1,Exact match
asio flammeus,sheowl,Exact match
asio capensis,marowl2,Exact match
asio solomonensis,feaowl1,Exact match
jubula lettii,manowl1,Exact match
bubo scandiacus,snoowl1,Exact match
bubo virginianus,grhowl,Exact match
bubo magellanicus,grhowl2,Exact match
bubo bubo,eueowl1,Exact match
bubo ascalaphus,pheowl1,Exact match
bubo capensis,caeowl1,Exact match
bubo milesi,speowl2,Exact match
bubo africanus,spoeao2,Exact match
psiloscops flammeolus,flaowl,Exact match
gymnasio nudipes,prsowl,Exact match
pulsatrix perspicillata,speowl1,Exact match
pulsatrix koeniswaldiana,tabowl1,Exact match
pulsatrix melanota,babowl1,Exact match
lophostrix cristata,creowl1,Exact match
strix aluco,tawowl1,Exact match
strix mauritanica,tawowl3,Exact match
strix nivicolum,himowl1,Exact match
strix hadorami,humowl1,Exact match
strix butleri,omaowl1,Exact match
strix occidentalis,spoowl,Exact match
strix varia,brdowl,Exact match
strix sartorii,barowl13,Exact match
strix fulvescens,fulowl1,Exact match
strix hylophila,rubowl2,Exact match
strix chacoensis,chaowl1,Exact match
strix rufipes,rulowl1,Exact match
strix virgata,motowl,Exact match
strix nigrolineata,bawowl1,Exact match
strix huhula,bkbowl1,Exact match
strix albitarsis,rubowl3,Exact match
colius striatus,spemou2,Exact match
colius leucocephalus,whhmou1,Exact match
colius castanotus,rebmou1,Exact match
colius colius,whbmou1,Exact match
urocolius macrourus,blnmou1,Exact match
urocolius indicus,refmou1,Exact match
euptilotis neoxenus,earque,Exact match
pharomachrus pavoninus,pavque1,Exact match
pharomachrus auriceps,gohque1,Exact match
pharomachrus fulgidus,whtque1,Exact match
pharomachrus mocinno,resque1,Exact match
pharomachrus antisianus,creque1,Exact match
priotelus temnurus,cubtro1,Exact match
priotelus roseigaster,histro1,Exact match
trogon clathratus,lattro1,Exact match
trogon massena,slttro1,Exact match
trogon mesurus,bkttro2,Exact match
trogon melanurus,blttro1,Exact match
trogon melanocephalus,blhtro1,Exact match
trogon citreolus,cittro1,Exact match
trogon chionurus,whttro1,Exact match
trogon bairdii,baitro1,Exact match
trogon viridis,gnbtro1,Exact match
trogon caligatus,gartro1,Exact match
trogon ramonianus,viotro3,Exact match
trogon violaceus,viotro2,Exact match
trogon curucui,blctro1,Exact match
trogon surrucura,surtro1,Exact match
trogon rufus,blttro2,Exact match
trogon elegans,eletro,Exact match
trogon mexicanus,moutro1,Exact match
trogon collaris,coltro1,Exact match
trogon personatus,mastro1,Exact match
apaloderma narina,nartro1,Exact match
apaloderma aequatoriale,bactro1,Exact match
apaloderma vittatum,battro1,Exact match
harpactes fasciatus,maltro1,Exact match
harpactes kasumba,rentro1,Exact match
harpactes diardii,diatro1,Exact match
harpactes ardens,phitro1,Exact match
harpactes whiteheadi,whitro1,Exact match
harpactes orrhophaeus,cirtro1,Exact match
harpactes duvaucelii,scrtro1,Exact match
harpactes oreskios,orbtro2,Exact match
harpactes erythrocephalus,rehtro1,Exact match
harpactes wardi,wartro1,Exact match
upupa marginata,madhoo1,Exact match
upupa antaios,sthhoo1,Exact match
rhinopomastus aterrimus,blsbil1,Exact match
rhinopomastus cyanomelas,cosbil1,Exact match
rhinopomastus minor,absbil1,Exact match
tockus ruahae,trbhor1,Exact match
tockus kempi,wrbhor2,Exact match
tockus damarensis,drbhor1,Exact match
tockus rufirostris,srbhor1,Exact match
tockus erythrorhynchus,rebhor1,Exact match
tockus monteiri,monhor1,Exact match
tockus deckeni,vddhor1,Exact match
tockus jacksoni,jachor1,Exact match
tockus leucomelas,sybhor1,Exact match
tockus flavirostris,eybhor1,Exact match
lophoceros bradfieldi,brahor1,Exact match
lophoceros alboterminatus,crohor1,Exact match
lophoceros fasciatus,afphor1,Exact match
lophoceros hemprichii,hemhor1,Exact match
lophoceros camurus,rbdhor1,Exact match
lophoceros pallidirostris,pabhor1,Exact match
bycanistes fistulator,piphor1,Exact match
bycanistes bucinator,truhor1,Exact match
bycanistes cylindricus,bnchor1,Exact match
bycanistes albotibialis,whthor1,Exact match
bycanistes subcylindricus,bawhor2,Exact match
bycanistes brevis,sichor1,Exact match
ceratogymna atrata,blchor1,Exact match
ceratogymna elata,yechor1,Exact match
horizocerus hartlaubi,bldhor1,Exact match
horizocerus albocristatus,whchor3,Exact match
berenicornis comatus,whchor2,Exact match
buceros rhinoceros,rhihor1,Exact match
buceros bicornis,grehor1,Exact match
buceros hydrocorax,rufhor1,Exact match
anthracoceros marchei,palhor1,Exact match
anthracoceros montani,sulhor2,Exact match
anthracoceros malayanus,blahor1,Exact match
anorrhinus galeritus,buchor1,Exact match
aceros nipalensis,runhor1,Exact match
rhyticeros plicatus,blyhor1,Exact match
rhyticeros narcondami,narhor1,Exact match
rhyticeros undulatus,wrehor1,Exact match
rhyticeros everetti,sumhor1,Exact match
rhyticeros subruficollis,plphor1,Exact match
rhyticeros cassidix,knohor1,Exact match
rhabdotorrhinus leucocephalus,wrihor2,Exact match
rhabdotorrhinus exarhatus,sulhor1,Exact match
rhabdotorrhinus corrugatus,wrihor1,Exact match
penelopides manillae,luzhor1,Exact match
penelopides mindorensis,minhor2,Exact match
penelopides affinis,minhor1,Exact match
penelopides samarensis,samhor1,Exact match
penelopides panini,tarhor1,Exact match
coracias benghalensis,indrol2,Exact match
coracias affinis,indrol3,Exact match
coracias temminckii,puwrol1,Exact match
coracias spatulatus,ratrol2,Exact match
coracias caudatus,librol2,Exact match
coracias abyssinicus,abyrol2,Exact match
coracias garrulus,eurrol1,Exact match
coracias cyanogaster,blbrol1,Exact match
eurystomus gularis,bltrol1,Exact match
eurystomus glaucurus,brbrol1,Exact match
actenoides monachus,grbkin1,Exact match
actenoides princeps,scakin1,Exact match
actenoides bougainvillei,moukin2,Exact match
actenoides concretus,ruckin1,Exact match
melidora macrorrhina,hobkin1,Exact match
lacedo pulchella,bankin1,Exact match
dacelo novaeguineae,laukoo1,Exact match
dacelo leachii,blwkoo1,Exact match
dacelo tyro,spakoo1,Exact match
dacelo gaudichaud,rubkoo1,Exact match
pelargopsis capensis,stbkin1,Exact match
pelargopsis melanorhyncha,blbkin1,Exact match
pelargopsis amauroptera,bnwkin1,Exact match
halcyon coromanda,rudkin1,Exact match
halcyon cyanoventris,javkin1,Exact match
halcyon badia,chbkin2,Exact match
halcyon pileata,blckin1,Exact match
halcyon albiventris,brhkin1,Exact match
halcyon chelicuti,strkin1,Exact match
halcyon malimbica,blbkin4,Exact match
halcyon senegalensis,wookin1,Exact match
halcyon senegaloides,mankin2,Exact match
todiramphus nigrocyaneus,blbkin3,Exact match
todiramphus diops,bawkin1,Exact match
todiramphus lazuli,lazkin1,Exact match
todiramphus macleayii,forkin1,Exact match
todiramphus leucopygius,ultkin1,Exact match
todiramphus farquhari,chbkin1,Exact match
todiramphus funebris,somkin1,Exact match
todiramphus chloris,colkin1,Exact match
todiramphus sordidus,colkin9,Exact match
todiramphus albicilla,colkin2,Exact match
todiramphus tristrami,melkin1,Exact match
todiramphus sacer,packin1,Exact match
todiramphus enigma,talkin1,Exact match
todiramphus cinnamominus,mickin1,Exact match
todiramphus reichenbachii,mickin5,Exact match
todiramphus saurophagus,beakin2,Exact match
todiramphus sanctus,sackin1,Exact match
todiramphus recurvirostris,flbkin1,Exact match
todiramphus australasia,cibkin1,Exact match
todiramphus tutus,chakin2,Exact match
todiramphus ruficollaris,mankin1,Exact match
todiramphus veneratus,tahkin1,Exact match
todiramphus pyrrhopygius,rebkin2,Exact match
syma torotoro,yebkin1,Exact match
syma megarhyncha,moukin1,Exact match
ispidina lecontei,dwakin1,Exact match
ispidina picta,afpkin1,Exact match
corythornis madagascariensis,mapkin1,Exact match
corythornis leucogaster,whbkin1,Exact match
corythornis cristatus,malkin1,Exact match
corythornis vintsioides,malkin2,Exact match
alcedo quadribrachys,shbkin1,Exact match
alcedo meninting,blekin1,Exact match
alcedo atthis,comkin1,Exact match
alcedo semitorquata,hackin1,Exact match
alcedo hercules,blykin1,Exact match
ceyx cyanopectus,inbkin2,Exact match
ceyx azureus,azukin1,Exact match
ceyx websteri,biskin1,Exact match
ceyx pusillus,litkin1,Exact match
chloroceryle amazona,amakin1,Exact match
chloroceryle aenea,ampkin1,Exact match
chloroceryle americana,grnkin,Exact match
chloroceryle inda,garkin1,Exact match
megaceryle lugubris,crekin1,Exact match
megaceryle maxima,giakin3,Exact match
megaceryle torquata,rinkin1,Exact match
megaceryle alcyon,belkin1,Exact match
ceryle rudis,piekin1,Exact match
todus multicolor,cubtod1,Exact match
todus subulatus,brbtod1,Exact match
todus angustirostris,nabtod1,Exact match
todus todus,jamtod1,Exact match
todus mexicanus,purtod1,Exact match
hylomanes momotula,todmot1,Exact match
aspatha gularis,bltmot1,Exact match
momotus mexicanus,rucmot1,Exact match
momotus coeruliceps,bucmot1,Exact match
momotus lessonii,bucmot2,Exact match
momotus subrufescens,bucmot3,Exact match
momotus bahamensis,trimot1,Exact match
momotus momota,bucmot4,Exact match
momotus aequatorialis,higmot1,Exact match
baryphthengus martii,rufmot1,Exact match
baryphthengus ruficapillus,rucmot2,Exact match
electron carinatum,kebmot1,Exact match
electron platyrhynchum,brbmot1,Exact match
eumomota superciliosa,tubmot1,Exact match
nyctyornis amictus,rbbeat1,Exact match
nyctyornis athertoni,bbbeat1,Exact match
meropogon forsteni,pbbeat1,Exact match
merops breweri,bhbeat1,Exact match
merops muelleri,bhbeat2,Exact match
merops mentalis,bumbee1,Exact match
merops gularis,blbeat1,Exact match
merops hirundineus,stbeat1,Exact match
merops pusillus,libeat1,Exact match
merops variegatus,bbbeat2,Exact match
merops lafresnayii,bubbee2,Exact match
merops oreobates,ccbeat1,Exact match
merops bulocki,rtbeat1,Exact match
merops bullockoides,wfbeat1,Exact match
merops revoilii,sobeat1,Exact match
merops albicollis,wtbeat1,Exact match
merops boehmi,bobeat1,Exact match
merops viridissimus,grnbee1,Exact match
merops cyanophrys,grnbee2,Exact match
merops orientalis,grnbee3,Exact match
merops persicus,bcbeat1,Exact match
merops philippinus,btbeat1,Exact match
merops ornatus,rabeat1,Exact match
merops leschenaulti,chbeat1,Exact match
merops apiaster,eubeat1,Exact match
merops malimbicus,robeat1,Exact match
merops nubicus,ncbeat1,Exact match
merops nubicoides,scbeat1,Exact match
galbalcyrhynchus leucotis,whejac1,Exact match
galbalcyrhynchus purusianus,purjac2,Exact match
brachygalba salmoni,dubjac1,Exact match
brachygalba goeringi,pahjac1,Exact match
brachygalba lugubris,brojac2,Exact match
brachygalba albogularis,whtjac1,Exact match
jacamaralcyon tridactyla,thtjac1,Exact match
galbula albirostris,yebjac1,Exact match
galbula ruficauda,rutjac1,Exact match
galbula galbula,grtjac1,Exact match
galbula pastazae,cocjac2,Exact match
galbula tombacea,whcjac1,Exact match
galbula cyanescens,blfjac1,Exact match
