birdnet,ebird2021,comment
Arremonops conirostris,blsspa1,
Arremonops rufivirgatus,olispa,
Artamus fuscus,ashwoo2,
Artamus leucorynchus,whbwoo4,
Artemisiospiza belli,belspa2,
Artemisiospiza nevadensis,sagspa1,
Arundinax aedon,thbwar1,
Asemospiza obscura,ducgra2,
Asio clamator,strowl1,
Asio flammeus,sheowl,
Asio otus,loeowl,
Asthenes modesta,corcan1,
Asthenes pyrrholeuca,shbcan2,
Atalotriccus pilaris,peptyr1,
Athene brama,spoowl1,
Athene cunicularia,burowl,
Athene noctua,litowl1,
Atlapetes albinucha,wnbfin1,
Atlapetes latinuchus,yebbrf1,
Atlapetes pallidinucha,pnbfin1,
Atlapetes pileatus,rcbfin1,
Atlapetes schistaceus,slbfin2,
Atlapetes tricolor,trbfin1,
Attila cinnamomeus,cinatt1,
Attila rufus,gyhatt1,
Attila spadiceus,brratt1,
Aulacorhynchus albivitta,souemt1,
Aulacorhynchus haematopygus,crrtou1,
Aulacorhynchus prasinus,noremt1,
Auriparus flaviceps,verdin,
Automolus leucophthalmus,wefgle1,
Automolus ochrolaemus,btfgle1,
Aythya affinis,lessca,
Aythya collaris,rinduc,
Aythya ferina,compoc,
Aythya fuligula,tufduc,
Aythya marila,gresca,
Aythya valisineria,canvas,
Baeolophus atricristatus,blctit4,
Baeolophus bicolor,tuftit,
Baeolophus inornatus,oaktit,
Baeolophus ridgwayi,juntit1,
Baeolophus wollweberi,britit,
Bartramia longicauda,uplsan,
Baryphthengus martii,rufmot1,
Baryphthengus ruficapillus,rucmot2,
Basileuterus belli,gobwar1,
Basileuterus culicivorus,gcrwar,
Basileuterus delattrii,rucwar4,
Basileuterus rufifrons,rucwar,
Basileuterus tristriatus,thswar1,
Basilinna leucotis,whehum,
Batis capensis,capbat1,
Batis molitor,chibat1,
Blythipicus pyrrhotis,baywoo1,
Bolborhynchus lineola,barpar1,
Bombycilla cedrorum,cedwax,
Bombycilla garrulus,bohwax,
Bonasa umbellus,rufgro,
Bostrychia hagedash,hadibi1,
Botaurus lentiginosus,amebit,
Botaurus stellaris,grebit1,
Brachypodius priocephalus,gyhbul1,
Brachypteryx leucophris,lessho1,
Brachyramphus marmoratus,marmur,
Branta bernicla,brant,
Branta canadensis,cangoo,
Branta hutchinsii,cacgoo1,
