ioc_12_2,ebird2021,comment
abeillia abeillei,emchum1,
abroscopus albogularis,rufwar1,
abroscopus schisticeps,blfwar1,
abroscopus superciliaris,yebwar1,
aburria aburri,watgua1,
acanthagenys rufogularis,spchon1,
acanthidops bairdi,pebfin1,
acanthis cabaret,lesred1,
acanthis flammea,comred,
acanthis hornemanni,hoared,
acanthisitta chloris,riflem1,
acanthiza apicalis,inltho1,
acanthiza chrysorrhoa,yertho1,
acanthiza cinerea,mouger1,
acanthiza ewingii,tastho1,
acanthiza inornata,westho1,
acanthiza iredalei,slbtho2,
acanthiza katherina,moutho1,
acanthiza lineata,strtho1,
acanthiza murina,paptho1,
acanthiza nana,yeltho1,
acanthiza pusilla,brotho1,
acanthiza reguloides,burtho1,
acanthiza robustirostris,slbtho1,
acanthiza uropygialis,chrtho1,
acanthorhynchus superciliosus,wesspi1,
acanthorhynchus tenuirostris,easspi1,
acanthornis magna,scrubt2,
accipiter albogularis,piegos1,
accipiter badius,shikra1,
accipiter bicolor,bichaw1,
accipiter brachyurus,nebspa1,
accipiter brevipes,levspa1,
accipiter butleri,nicspa1,
accipiter castanilius,chfspa1,
accipiter chilensis,bichaw1,
accipiter chionogaster,shshaw,
accipiter cirrocephalus,colspa1,
accipiter cooperii,coohaw,
accipiter erythrauchen,runspa1,
accipiter erythronemius,shshaw,
accipiter erythropus,retspa1,
accipiter fasciatus,brogos1,
accipiter francesiae,fragos2,
accipiter gentilis,norgos,
accipiter griseiceps,sulgos1,
accipiter gularis,japspa1,
accipiter gundlachi,gunhaw1,
accipiter haplochrous,necgos1,
accipiter henicogrammus,molgos1,
accipiter henstii,hengos1,
accipiter hiogaster,vargos1,
accipiter imitator,imispa1,
accipiter luteoschistaceus,slmgos1,
accipiter madagascariensis,madspa1,
accipiter melanochlamys,blmgos1,
accipiter melanoleucus,blagos1,
accipiter meyerianus,meygos1,
accipiter minullus,litspa1,
accipiter nanus,smaspa1,
accipiter nisus,eurspa1,
accipiter novaehollandiae,grygos1,
accipiter ovampensis,ovaspa2,
accipiter poliocephalus,gyhgos1,
accipiter poliogaster,gybhaw1,
accipiter princeps,nebgos1,
accipiter rhodogaster,vibspa1,
accipiter rufitorques,fijgos1,
accipiter rufiventris,rucspa2,
accipiter soloensis,grfhaw1,
accipiter striatus,shshaw,
accipiter tachiro,afrgos1,
accipiter toussenelii,recgos1,
accipiter trinotatus,sptgos1,
accipiter trivirgatus,cregos1,
accipiter ventralis,shshaw,
accipiter virgatus,besra1,
aceros nipalensis,runhor1,
achaetops pycnopygius,damroc1,
acridotheres albocinctus,colmyn1,
acridotheres burmannicus,vibsta3,
acridotheres cinereus,pabmyn1,
acridotheres cristatellus,cremyn,
acridotheres fuscus,junmyn1,
acridotheres ginginianus,banmyn1,
acridotheres grandis,whvmyn1,
acridotheres javanicus,whvmyn,
acridotheres melanopterus,bkwsta1,
acridotheres tristis,commyn,
acritillas indica,yebbul3,
acrobatornis fonsecai,pilgra1,
acrocephalus aequinoctialis,chiwar1,
acrocephalus agricola,padwar1,
acrocephalus arundinaceus,grrwar1,
acrocephalus astrolabii,manrew2,
acrocephalus atyphus,turwar1,
acrocephalus australis,aurwar1,
acrocephalus baeticatus,afrwar1,
acrocephalus bistrigiceps,bbrwar1,
acrocephalus brevipennis,cvswar1,
acrocephalus caffer,tahrew1,
acrocephalus concinens,blwwar1,
acrocephalus dumetorum,blrwar1,
acrocephalus familiaris,miller,
acrocephalus gracilirostris,leswar1,
acrocephalus griseldis,barwar2,
acrocephalus hiwae,sairew1,
acrocephalus kerearako,cirwar2,
acrocephalus longirostris,moorew1,
acrocephalus luscinius,nigrew1,
acrocephalus melanopogon,mouwar1,
acrocephalus mendanae,marwar2,
acrocephalus musae,soirew1,
acrocephalus newtoni,maswar1,
acrocephalus nijoi,agurew1,
acrocephalus orientalis,orrwar1,
acrocephalus orinus,labrew1,
acrocephalus paludicola,aquwar1,
acrocephalus palustris,marwar3,
acrocephalus percernis,marrew2,
acrocephalus rehsei,narwar1,
acrocephalus rimitarae,rimrew1,
acrocephalus rodericanus,rodbrw1,
acrocephalus rufescens,grswar2,
acrocephalus schoenobaenus,sedwar1,
acrocephalus scirpaceus,eurwar1,
acrocephalus sechellensis,sebwar1,
acrocephalus sorghophilus,strwar1,
acrocephalus stentoreus,clrwar1,
acrocephalus syrinx,carrew1,
acrocephalus taiti,hirwar1,
acrocephalus tangorum,manrew1,
acrocephalus vaughani,pirwar2,
acrocephalus yamashinae,pagrew1,
acropternis orthonyx,ocetap1,
acryllium vulturinum,vulgui1,
actenoides bougainvillei,moukin2,
actenoides concretus,ruckin1,
actenoides hombroni,blckin2,
actenoides lindsayi,spokin1,
actenoides monachus,grbkin1,
actenoides princeps,scakin1,
actinodura cyanouroptera,blwmin1,
actinodura egertoni,rufbar1,
actinodura morrisoniana,taibar1,
actinodura nipalensis,hotbar1,
actinodura ramsayi,spebar1,
actinodura sodangorum,bkcbar1,
actinodura souliei,strbar1,
actinodura strigula,chtmin1,
actinodura waldeni,sttbar1,
actitis hypoleucos,comsan,
actitis macularius,sposan,
actophilornis africanus,afrjac1,
actophilornis albinucha,madjac1,
adelomyia melanogenys,spehum1,
aechmophorus clarkii,clagre,
aechmophorus occidentalis,wesgre,
aegithalos bonvaloti,bkbtit3,
aegithalos caudatus,lottit1,
