ioc_12_2,clements
anas erythrorhyncha,anas erythrorhyncha
anas georgica,anas georgica
anas eatoni,anas eatoni
anas acuta,anas acuta
anas crecca,anas crecca
anas carolinensis,unknown
anas flavirostris,anas flavirostris
anas andium,anas andium
anas gibberifrons,anas gibberifrons
anas albogularis,anas albogularis
anas theodori,anas theodori
anas gracilis,anas gracilis
anas castanea,anas castanea
anas bernieri,anas bernieri
anas chlorotis,anas chlorotis
anas aucklandica,anas aucklandica
anas nesiotis,anas nesiotis
marmaronetta angustirostris,marmaronetta angustirostris
rhodonessa caryophyllacea,rhodonessa caryophyllacea
netta rufina,netta rufina
netta peposaca,netta peposaca
netta erythrophthalma,netta erythrophthalma
aythya valisineria,aythya valisineria
aythya americana,aythya americana
aythya ferina,aythya ferina
aythya australis,aythya australis
aythya innotata,aythya innotata
aythya baeri,aythya baeri
aythya nyroca,aythya nyroca
aythya novaeseelandiae,aythya novaeseelandiae
aythya collaris,aythya collaris
aythya fuligula,aythya fuligula
aythya marila,aythya marila
aythya affinis,aythya affinis
polysticta stelleri,polysticta stelleri
somateria fischeri,somateria fischeri
somateria spectabilis,somateria spectabilis
somateria mollissima,somateria mollissima
histrionicus histrionicus,histrionicus histrionicus
camptorhynchus labradorius,camptorhynchus labradorius
melanitta perspicillata,melanitta perspicillata
melanitta fusca,melanitta fusca
melanitta deglandi,melanitta deglandi
melanitta stejnegeri,melanitta stejnegeri
melanitta nigra,melanitta nigra
melanitta americana,melanitta americana
clangula hyemalis,clangula hyemalis
bucephala albeola,bucephala albeola
bucephala clangula,bucephala clangula
bucephala islandica,bucephala islandica
mergellus albellus,mergellus albellus
lophodytes cucullatus,lophodytes cucullatus
mergus australis,mergus australis
mergus octosetaceus,mergus octosetaceus
mergus merganser,mergus merganser
mergus serrator,mergus serrator
mergus squamatus,mergus squamatus
heteronetta atricapilla,heteronetta atricapilla
nomonyx dominicus,nomonyx dominicus
oxyura jamaicensis,oxyura jamaicensis
oxyura ferruginea,oxyura ferruginea
oxyura vittata,oxyura vittata
oxyura australis,oxyura australis
oxyura maccoa,oxyura maccoa
oxyura leucocephala,oxyura leucocephala
biziura lobata,biziura lobata
alectura lathami,alectura lathami
aepypodius arfakianus,aepypodius arfakianus
aepypodius bruijnii,aepypodius bruijnii
talegalla cuvieri,talegalla cuvieri
talegalla fuscirostris,talegalla fuscirostris
talegalla jobiensis,talegalla jobiensis
leipoa ocellata,leipoa ocellata
macrocephalon maleo,macrocephalon maleo
eulipoa wallacei,eulipoa wallacei
megapodius pritchardii,megapodius pritchardii
megapodius laperouse,megapodius laperouse
megapodius nicobariensis,megapodius nicobariensis
megapodius cumingii,megapodius cumingii
megapodius bernsteinii,megapodius bernsteinii
megapodius tenimberensis,megapodius tenimberensis
