ioc_12_2,clements
gymnocrex talaudensis,gymnocrex talaudensis
gymnocrex plumbeiventris,gymnocrex plumbeiventris
himantornis haematopus,himantornis haematopus
megacrex inepta,megacrex inepta
poliolimnas cinereus,poliolimnas cinereus
aenigmatolimnas marginalis,amaurornis marginalis
gallicrex cinerea,gallicrex cinerea
amaurornis phoenicurus,amaurornis phoenicurus
amaurornis olivacea,amaurornis olivacea
amaurornis magnirostris,amaurornis magnirostris
amaurornis isabellina,amaurornis isabellina
amaurornis moluccana,amaurornis moluccana
aphanapteryx bonasia,aphanapteryx bonasia
erythromachus leguati,erythromachus leguati
psophia crepitans,psophia crepitans
psophia leucoptera,psophia leucoptera
psophia viridis,psophia viridis
balearica regulorum,balearica regulorum
balearica pavonina,balearica pavonina
leucogeranus leucogeranus,leucogeranus leucogeranus
antigone canadensis,antigone canadensis
antigone vipio,antigone vipio
antigone antigone,antigone antigone
antigone rubicunda,antigone rubicunda
grus carunculata,bugeranus carunculatus
grus paradisea,anthropoides paradiseus
grus virgo,anthropoides virgo
grus japonensis,grus japonensis
grus americana,grus americana
grus grus,grus grus
grus monacha,grus monacha
grus nigricollis,grus nigricollis
aramus guarauna,aramus guarauna
tachybaptus rufolavatus,tachybaptus rufolavatus
tachybaptus ruficollis,tachybaptus ruficollis
tachybaptus tricolor,unknown
tachybaptus novaehollandiae,tachybaptus novaehollandiae
tachybaptus pelzelnii,tachybaptus pelzelnii
tachybaptus dominicus,tachybaptus dominicus
podilymbus podiceps,podilymbus podiceps
podilymbus gigas,podilymbus gigas
rollandia rolland,rollandia rolland
rollandia microptera,rollandia microptera
poliocephalus poliocephalus,poliocephalus poliocephalus
poliocephalus rufopectus,poliocephalus rufopectus
podiceps major,podiceps major
podiceps grisegena,podiceps grisegena
podiceps cristatus,podiceps cristatus
podiceps auritus,podiceps auritus
podiceps nigricollis,podiceps nigricollis
podiceps andinus,podiceps andinus
podiceps occipitalis,podiceps occipitalis
podiceps taczanowskii,podiceps taczanowskii
podiceps gallardoi,podiceps gallardoi
aechmophorus occidentalis,aechmophorus occidentalis
aechmophorus clarkii,aechmophorus clarkii
phoenicopterus roseus,phoenicopterus roseus
phoenicopterus ruber,phoenicopterus ruber
phoenicopterus chilensis,phoenicopterus chilensis
phoeniconaias minor,phoeniconaias minor
phoenicoparrus andinus,phoenicoparrus andinus
phoenicoparrus jamesi,phoenicoparrus jamesi
turnix sylvaticus,turnix sylvaticus
turnix maculosus,turnix maculosus
turnix hottentottus,turnix hottentottus
turnix nanus,turnix nanus
turnix tanki,turnix tanki
turnix ocellatus,turnix ocellatus
turnix suscitator,turnix suscitator
turnix nigricollis,turnix nigricollis
turnix melanogaster,turnix melanogaster
turnix castanotus,turnix castanotus
turnix olivii,turnix olivii
turnix varius,turnix varius
turnix novaecaledoniae,unknown
turnix worcesteri,turnix worcesteri
turnix everetti,turnix everetti
turnix pyrrhothorax,turnix pyrrhothorax
turnix velox,turnix velox
ortyxelos meiffrenii,ortyxelos meiffrenii
burhinus oedicnemus,burhinus oedicnemus
burhinus indicus,burhinus indicus
burhinus senegalensis,burhinus senegalensis
burhinus vermiculatus,burhinus vermiculatus
burhinus capensis,burhinus capensis
burhinus bistriatus,burhinus bistriatus
burhinus superciliaris,burhinus superciliaris
burhinus grallarius,burhinus grallarius
esacus recurvirostris,esacus recurvirostris
esacus magnirostris,esacus magnirostris
chionis albus,chionis albus
chionis minor,chionis minor
pluvianellus socialis,pluvianellus socialis
haematopus leucopodus,haematopus leucopodus
haematopus ater,haematopus ater
haematopus bachmani,haematopus bachmani
haematopus palliatus,haematopus palliatus
haematopus meadewaldoi,haematopus meadewaldoi
haematopus moquini,haematopus moquini
haematopus ostralegus,haematopus ostralegus
haematopus finschi,haematopus finschi
haematopus longirostris,haematopus longirostris
haematopus unicolor,haematopus unicolor
haematopus chathamensis,haematopus chathamensis
haematopus fuliginosus,haematopus fuliginosus
ibidorhyncha struthersii,ibidorhyncha struthersii
himantopus himantopus,himantopus himantopus
himantopus leucocephalus,himantopus leucocephalus
himantopus mexicanus,himantopus mexicanus
himantopus melanurus,unknown
himantopus novaezelandiae,himantopus novaezelandiae
cladorhynchus leucocephalus,cladorhynchus leucocephalus
recurvirostra avosetta,recurvirostra avosetta
recurvirostra americana,recurvirostra americana
recurvirostra novaehollandiae,recurvirostra novaehollandiae
recurvirostra andina,recurvirostra andina
vanellus vanellus,vanellus vanellus
vanellus crassirostris,vanellus crassirostris
vanellus armatus,vanellus armatus
vanellus spinosus,vanellus spinosus
vanellus duvaucelii,vanellus duvaucelii
vanellus tectus,vanellus tectus
vanellus malabaricus,vanellus malabaricus
vanellus albiceps,vanellus albiceps
vanellus lugubris,vanellus lugubris
vanellus melanopterus,vanellus melanopterus
vanellus coronatus,vanellus coronatus
vanellus senegallus,vanellus senegallus
vanellus melanocephalus,vanellus melanocephalus
vanellus superciliosus,vanellus superciliosus
vanellus cinereus,vanellus cinereus
vanellus indicus,vanellus indicus
vanellus macropterus,vanellus macropterus
vanellus tricolor,vanellus tricolor
vanellus miles,vanellus miles
vanellus gregarius,vanellus gregarius
vanellus leucurus,vanellus leucurus
vanellus chilensis,vanellus chilensis
vanellus resplendens,vanellus resplendens
erythrogonys cinctus,erythrogonys cinctus
peltohyas australis,peltohyas australis
anarhynchus frontalis,anarhynchus frontalis
pluvialis apricaria,pluvialis apricaria
pluvialis fulva,pluvialis fulva
pluvialis dominica,pluvialis dominica
pluvialis squatarola,pluvialis squatarola
charadrius obscurus,charadrius obscurus
charadrius hiaticula,charadrius hiaticula
charadrius semipalmatus,charadrius semipalmatus
charadrius placidus,charadrius placidus
charadrius dubius,charadrius dubius
charadrius wilsonia,charadrius wilsonia
charadrius vociferus,charadrius vociferus
charadrius melodus,charadrius melodus
charadrius thoracicus,charadrius thoracicus
charadrius pecuarius,charadrius pecuarius
charadrius sanctaehelenae,charadrius sanctaehelenae
charadrius tricollaris,charadrius tricollaris
charadrius forbesi,charadrius forbesi
charadrius marginatus,charadrius marginatus
charadrius alexandrinus,charadrius alexandrinus
charadrius dealbatus,charadrius dealbatus
charadrius nivosus,charadrius nivosus
charadrius javanicus,charadrius javanicus
charadrius ruficapillus,charadrius ruficapillus
charadrius peronii,charadrius peronii
charadrius pallidus,charadrius pallidus
charadrius collaris,charadrius collaris
charadrius alticola,charadrius alticola
charadrius falklandicus,charadrius falklandicus
charadrius bicinctus,charadrius bicinctus
charadrius mongolus,charadrius mongolus
charadrius leschenaultii,charadrius leschenaultii
charadrius asiaticus,charadrius asiaticus
charadrius veredus,charadrius veredus
charadrius morinellus,charadrius morinellus
charadrius modestus,charadrius modestus
charadrius montanus,charadrius montanus
thinornis cucullatus,thinornis cucullatus
thinornis novaeseelandiae,thinornis novaeseelandiae
elseyornis melanops,elseyornis melanops
oreopholus ruficollis,oreopholus ruficollis
phegornis mitchellii,phegornis mitchellii
hoploxypterus cayanus,vanellus cayanus
pluvianus aegyptius,pluvianus aegyptius
rostratula benghalensis,rostratula benghalensis
rostratula australis,rostratula australis
nycticryphes semicollaris,nycticryphes semicollaris
microparra capensis,microparra capensis
actophilornis africanus,actophilornis africanus
actophilornis albinucha,actophilornis albinucha
irediparra gallinacea,irediparra gallinacea
hydrophasianus chirurgus,hydrophasianus chirurgus
metopidius indicus,metopidius indicus
jacana spinosa,jacana spinosa
jacana jacana,jacana jacana
pedionomus torquatus,pedionomus torquatus
attagis gayi,attagis gayi
attagis malouinus,attagis malouinus
thinocorus orbignyianus,thinocorus orbignyianus
thinocorus rumicivorus,thinocorus rumicivorus
bartramia longicauda,bartramia longicauda
numenius tahitiensis,numenius tahitiensis
numenius phaeopus,numenius phaeopus
numenius hudsonicus,unknown
numenius minutus,numenius minutus
numenius borealis,numenius borealis
numenius americanus,numenius americanus
numenius madagascariensis,numenius madagascariensis
numenius tenuirostris,numenius tenuirostris
numenius arquata,numenius arquata
limosa lapponica,limosa lapponica
limosa limosa,limosa limosa
limosa haemastica,limosa haemastica
limosa fedoa,limosa fedoa
arenaria interpres,arenaria interpres
arenaria melanocephala,arenaria melanocephala
prosobonia parvirostris,prosobonia parvirostris
prosobonia cancellata,prosobonia cancellata
prosobonia leucoptera,prosobonia leucoptera
prosobonia ellisi,prosobonia ellisi
calidris tenuirostris,calidris tenuirostris
calidris canutus,calidris canutus
calidris virgata,calidris virgata
calidris pugnax,calidris pugnax
calidris falcinellus,calidris falcinellus
calidris acuminata,calidris acuminata
calidris himantopus,calidris himantopus
calidris ferruginea,calidris ferruginea
calidris temminckii,calidris temminckii
calidris subminuta,calidris subminuta
calidris pygmaea,calidris pygmaea
calidris ruficollis,calidris ruficollis
calidris alba,calidris alba
calidris alpina,calidris alpina
calidris ptilocnemis,calidris ptilocnemis
calidris maritima,calidris maritima
calidris bairdii,calidris bairdii
calidris minuta,calidris minuta
calidris minutilla,calidris minutilla
calidris fuscicollis,calidris fuscicollis
calidris subruficollis,calidris subruficollis
calidris melanotos,calidris melanotos
calidris pusilla,calidris pusilla
calidris mauri,calidris mauri
limnodromus semipalmatus,limnodromus semipalmatus
limnodromus scolopaceus,limnodromus scolopaceus
limnodromus griseus,limnodromus griseus
scolopax rusticola,scolopax rusticola
scolopax mira,scolopax mira
scolopax saturata,scolopax saturata
scolopax rosenbergii,scolopax rosenbergii
scolopax bukidnonensis,scolopax bukidnonensis
scolopax celebensis,scolopax celebensis
scolopax rochussenii,scolopax rochussenii
scolopax minor,scolopax minor
coenocorypha pusilla,coenocorypha pusilla
coenocorypha barrierensis,coenocorypha barrierensis
coenocorypha iredalei,coenocorypha iredalei
coenocorypha huegeli,coenocorypha huegeli
coenocorypha aucklandica,coenocorypha aucklandica
lymnocryptes minimus,lymnocryptes minimus
gallinago solitaria,gallinago solitaria
gallinago hardwickii,gallinago hardwickii
gallinago nemoricola,gallinago nemoricola
gallinago stenura,gallinago stenura
gallinago megala,gallinago megala
gallinago nigripennis,gallinago nigripennis
gallinago macrodactyla,gallinago macrodactyla
gallinago media,gallinago media
gallinago gallinago,gallinago gallinago
gallinago delicata,gallinago delicata
gallinago paraguaiae,gallinago paraguaiae
gallinago magellanica,gallinago magellanica
gallinago andina,gallinago andina
gallinago nobilis,gallinago nobilis
gallinago undulata,gallinago undulata
gallinago stricklandii,gallinago stricklandii
gallinago jamesoni,gallinago jamesoni
gallinago imperialis,gallinago imperialis
xenus cinereus,xenus cinereus
phalaropus tricolor,phalaropus tricolor
phalaropus lobatus,phalaropus lobatus
phalaropus fulicarius,phalaropus fulicarius
actitis hypoleucos,actitis hypoleucos
actitis macularius,actitis macularius
tringa ochropus,tringa ochropus
tringa solitaria,tringa solitaria
tringa incana,tringa incana
tringa brevipes,tringa brevipes
tringa flavipes,tringa flavipes
tringa semipalmata,tringa semipalmata
tringa totanus,tringa totanus
tringa stagnatilis,tringa stagnatilis
tringa glareola,tringa glareola
tringa erythropus,tringa erythropus
tringa nebularia,tringa nebularia
tringa guttifer,tringa guttifer
tringa melanoleuca,tringa melanoleuca
dromas ardeola,dromas ardeola
cursorius cursor,cursorius cursor
cursorius somalensis,cursorius somalensis
cursorius rufus,cursorius rufus
cursorius temminckii,cursorius temminckii
cursorius coromandelicus,cursorius coromandelicus
rhinoptilus africanus,smutsornis africanus
rhinoptilus cinctus,rhinoptilus cinctus
rhinoptilus chalcopterus,rhinoptilus chalcopterus
rhinoptilus bitorquatus,rhinoptilus bitorquatus
stiltia isabella,stiltia isabella
glareola pratincola,glareola pratincola
glareola maldivarum,glareola maldivarum
glareola nordmanni,glareola nordmanni
glareola ocularis,glareola ocularis
glareola nuchalis,glareola nuchalis
glareola cinerea,glareola cinerea
glareola lactea,glareola lactea
anous stolidus,anous stolidus
anous tenuirostris,anous tenuirostris
anous minutus,anous minutus
anous ceruleus,anous ceruleus
anous albivitta,anous albivitta
gygis alba,gygis alba
rynchops niger,rynchops niger
rynchops flavirostris,rynchops flavirostris
rynchops albicollis,rynchops albicollis
creagrus furcatus,creagrus furcatus
rissa tridactyla,rissa tridactyla
rissa brevirostris,rissa brevirostris
pagophila eburnea,pagophila eburnea
xema sabini,xema sabini
chroicocephalus genei,chroicocephalus genei
chroicocephalus philadelphia,chroicocephalus philadelphia
chroicocephalus novaehollandiae,chroicocephalus novaehollandiae
chroicocephalus bulleri,chroicocephalus bulleri
chroicocephalus serranus,chroicocephalus serranus
chroicocephalus brunnicephalus,chroicocephalus brunnicephalus
chroicocephalus maculipennis,chroicocephalus maculipennis
chroicocephalus ridibundus,chroicocephalus ridibundus
chroicocephalus cirrocephalus,chroicocephalus cirrocephalus
chroicocephalus hartlaubii,chroicocephalus hartlaubii
chroicocephalus saundersi,saundersilarus saundersi
hydrocoloeus minutus,hydrocoloeus minutus
rhodostethia rosea,rhodostethia rosea
leucophaeus scoresbii,leucophaeus scoresbii
leucophaeus fuliginosus,leucophaeus fuliginosus
leucophaeus atricilla,leucophaeus atricilla
leucophaeus pipixcan,leucophaeus pipixcan
leucophaeus modestus,leucophaeus modestus
ichthyaetus relictus,ichthyaetus relictus
ichthyaetus audouinii,ichthyaetus audouinii
ichthyaetus melanocephalus,ichthyaetus melanocephalus
ichthyaetus ichthyaetus,ichthyaetus ichthyaetus
ichthyaetus leucophthalmus,ichthyaetus leucophthalmus
ichthyaetus hemprichii,ichthyaetus hemprichii
larus pacificus,larus pacificus
larus belcheri,larus belcheri
larus atlanticus,larus atlanticus
larus crassirostris,larus crassirostris
larus heermanni,larus heermanni
larus canus,larus canus
larus brachyrhynchus,larus brachyrhynchus
larus delawarensis,larus delawarensis
larus californicus,larus californicus
larus marinus,larus marinus
larus dominicanus,larus dominicanus
larus glaucescens,larus glaucescens
larus occidentalis,larus occidentalis
larus livens,larus livens
larus hyperboreus,larus hyperboreus
larus glaucoides,larus glaucoides
larus argentatus,larus argentatus
larus smithsonianus,unknown
larus vegae,unknown
larus cachinnans,larus cachinnans
larus michahellis,larus michahellis
larus armenicus,larus armenicus
larus schistisagus,larus schistisagus
larus fuscus,larus fuscus
gelochelidon nilotica,gelochelidon nilotica
gelochelidon macrotarsa,unknown
hydroprogne caspia,hydroprogne caspia
thalasseus maximus,thalasseus maximus
thalasseus bergii,thalasseus bergii
thalasseus bengalensis,thalasseus bengalensis
thalasseus albididorsalis,thalasseus albididorsalis
thalasseus bernsteini,thalasseus bernsteini
thalasseus sandvicensis,thalasseus sandvicensis
thalasseus acuflavidus,unknown
thalasseus elegans,thalasseus elegans
sternula albifrons,sternula albifrons
sternula saundersi,sternula saundersi
sternula antillarum,sternula antillarum
sternula superciliaris,sternula superciliaris
sternula lorata,sternula lorata
sternula nereis,sternula nereis
sternula balaenarum,sternula balaenarum
onychoprion aleuticus,onychoprion aleuticus
onychoprion lunatus,onychoprion lunatus
onychoprion anaethetus,onychoprion anaethetus
onychoprion fuscatus,onychoprion fuscatus
sterna aurantia,sterna aurantia
sterna dougallii,sterna dougallii
sterna striata,sterna striata
sterna sumatrana,sterna sumatrana
sterna hirundinacea,sterna hirundinacea
sterna hirundo,sterna hirundo
sterna repressa,sterna repressa
sterna paradisaea,sterna paradisaea
sterna vittata,sterna vittata
sterna virgata,sterna virgata
sterna forsteri,sterna forsteri
sterna trudeaui,sterna trudeaui
sterna acuticauda,sterna acuticauda
chlidonias albostriatus,chlidonias albostriatus
chlidonias hybrida,chlidonias hybrida
chlidonias leucopterus,chlidonias leucopterus
chlidonias niger,chlidonias niger
phaetusa simplex,phaetusa simplex
larosterna inca,larosterna inca
stercorarius chilensis,stercorarius chilensis
stercorarius maccormicki,stercorarius maccormicki
stercorarius antarcticus,stercorarius antarcticus
stercorarius skua,stercorarius skua
stercorarius pomarinus,stercorarius pomarinus
stercorarius parasiticus,stercorarius parasiticus
stercorarius longicaudus,stercorarius longicaudus
alle alle,alle alle
uria lomvia,uria lomvia
uria aalge,uria aalge
alca torda,alca torda
pinguinus impennis,pinguinus impennis
cepphus grylle,cepphus grylle
cepphus columba,cepphus columba
cepphus carbo,cepphus carbo
brachyramphus marmoratus,brachyramphus marmoratus
brachyramphus perdix,brachyramphus perdix
brachyramphus brevirostris,brachyramphus brevirostris
synthliboramphus hypoleucus,synthliboramphus hypoleucus
synthliboramphus scrippsi,synthliboramphus scrippsi
synthliboramphus craveri,synthliboramphus craveri
synthliboramphus antiquus,synthliboramphus antiquus
synthliboramphus wumizusume,synthliboramphus wumizusume
ptychoramphus aleuticus,ptychoramphus aleuticus
aethia psittacula,aethia psittacula
aethia pusilla,aethia pusilla
aethia pygmaea,aethia pygmaea
aethia cristatella,aethia cristatella
cerorhinca monocerata,cerorhinca monocerata
fratercula arctica,fratercula arctica
fratercula corniculata,fratercula corniculata
fratercula cirrhata,fratercula cirrhata
rhynochetos jubatus,rhynochetos jubatus
eurypyga helias,eurypyga helias
phaethon aethereus,phaethon aethereus
phaethon rubricauda,phaethon rubricauda
phaethon lepturus,phaethon lepturus
gavia stellata,gavia stellata
gavia arctica,gavia arctica
gavia pacifica,gavia pacifica
gavia immer,gavia immer
gavia adamsii,gavia adamsii
aptenodytes patagonicus,aptenodytes patagonicus
aptenodytes forsteri,aptenodytes forsteri
pygoscelis adeliae,pygoscelis adeliae
pygoscelis antarcticus,pygoscelis antarcticus
pygoscelis papua,pygoscelis papua
eudyptula minor,eudyptula minor
spheniscus mendiculus,spheniscus mendiculus
spheniscus humboldti,spheniscus humboldti
spheniscus magellanicus,spheniscus magellanicus
spheniscus demersus,spheniscus demersus
megadyptes antipodes,megadyptes antipodes
eudyptes chrysolophus,eudyptes chrysolophus
eudyptes schlegeli,eudyptes schlegeli
eudyptes moseleyi,eudyptes moseleyi
eudyptes chrysocome,eudyptes chrysocome
eudyptes pachyrhynchus,eudyptes pachyrhynchus
eudyptes robustus,eudyptes robustus
eudyptes sclateri,eudyptes sclateri
oceanites oceanicus,oceanites oceanicus
oceanites gracilis,oceanites gracilis
oceanites pincoyae,oceanites pincoyae
garrodia nereis,garrodia nereis
pelagodroma marina,pelagodroma marina
fregetta grallaria,fregetta grallaria
fregetta tropica,fregetta tropica
fregetta lineata,unknown
fregetta maoriana,fregetta maoriana
nesofregetta fuliginosa,nesofregetta fuliginosa
phoebastria immutabilis,phoebastria immutabilis
phoebastria nigripes,phoebastria nigripes
phoebastria irrorata,phoebastria irrorata
phoebastria albatrus,phoebastria albatrus
diomedea exulans,diomedea exulans
diomedea antipodensis,unknown
diomedea amsterdamensis,unknown
diomedea dabbenena,unknown
diomedea epomophora,diomedea epomophora
diomedea sanfordi,unknown
phoebetria fusca,phoebetria fusca
phoebetria palpebrata,phoebetria palpebrata
thalassarche melanophris,thalassarche melanophris
thalassarche impavida,unknown
thalassarche cauta,thalassarche cauta
thalassarche eremita,thalassarche eremita
thalassarche salvini,thalassarche salvini
thalassarche chrysostoma,thalassarche chrysostoma
thalassarche chlororhynchos,thalassarche chlororhynchos
thalassarche carteri,unknown
thalassarche bulleri,thalassarche bulleri
hydrobates pelagicus,hydrobates pelagicus
hydrobates furcatus,hydrobates furcatus
hydrobates hornbyi,hydrobates hornbyi
hydrobates monorhis,hydrobates monorhis
hydrobates matsudairae,hydrobates matsudairae
hydrobates leucorhous,hydrobates leucorhous
hydrobates socorroensis,hydrobates socorroensis
hydrobates cheimomnestes,hydrobates cheimomnestes
hydrobates homochroa,hydrobates homochroa
hydrobates castro,hydrobates castro
hydrobates monteiroi,hydrobates monteiroi
hydrobates jabejabe,hydrobates jabejabe
hydrobates tethys,hydrobates tethys
hydrobates melania,hydrobates melania
hydrobates macrodactylus,hydrobates macrodactyla
hydrobates markhami,hydrobates markhami
hydrobates tristrami,hydrobates tristrami
hydrobates microsoma,hydrobates microsoma
macronectes giganteus,macronectes giganteus
macronectes halli,macronectes halli
fulmarus glacialis,fulmarus glacialis
fulmarus glacialoides,fulmarus glacialoides
thalassoica antarctica,thalassoica antarctica
daption capense,daption capense
pagodroma nivea,pagodroma nivea
halobaena caerulea,halobaena caerulea
pachyptila vittata,pachyptila vittata
pachyptila salvini,pachyptila salvini
pachyptila macgillivrayi,unknown
pachyptila desolata,pachyptila desolata
pachyptila belcheri,pachyptila belcheri
pachyptila turtur,pachyptila turtur
pachyptila crassirostris,pachyptila crassirostris
aphrodroma brevirostris,aphrodroma brevirostris
pterodroma macroptera,pterodroma macroptera
pterodroma lessonii,pterodroma lessonii
pterodroma gouldi,pterodroma gouldi
pterodroma incerta,pterodroma incerta
pterodroma solandri,pterodroma solandri
pterodroma magentae,pterodroma magentae
pterodroma ultima,pterodroma ultima
pterodroma mollis,pterodroma mollis
pterodroma madeira,pterodroma madeira
pterodroma feae,pterodroma feae
pterodroma deserta,unknown
pterodroma cahow,pterodroma cahow
pterodroma hasitata,pterodroma hasitata
pterodroma caribbaea,unknown
pterodroma externa,pterodroma externa
pterodroma occulta,pterodroma occulta
pterodroma neglecta,pterodroma neglecta
pterodroma heraldica,pterodroma heraldica
pterodroma arminjoniana,pterodroma arminjoniana
pterodroma atrata,pterodroma atrata
pterodroma alba,pterodroma alba
pterodroma baraui,pterodroma baraui
pterodroma sandwichensis,pterodroma sandwichensis
pterodroma phaeopygia,pterodroma phaeopygia
pterodroma inexpectata,pterodroma inexpectata
pterodroma cervicalis,pterodroma cervicalis
pterodroma nigripennis,pterodroma nigripennis
pterodroma axillaris,pterodroma axillaris
pterodroma hypoleuca,pterodroma hypoleuca
pterodroma leucoptera,pterodroma leucoptera
pterodroma brevipes,pterodroma brevipes
pterodroma cookii,pterodroma cookii
pterodroma defilippiana,pterodroma defilippiana
pterodroma longirostris,pterodroma longirostris
pterodroma pycrofti,pterodroma pycrofti
pseudobulweria aterrima,pseudobulweria aterrima
pseudobulweria rupinarum,pterodroma rupinarum
pseudobulweria rostrata,pseudobulweria rostrata
pseudobulweria becki,pseudobulweria becki
pseudobulweria macgillivrayi,pseudobulweria macgillivrayi
procellaria cinerea,procellaria cinerea
procellaria aequinoctialis,procellaria aequinoctialis
procellaria conspicillata,procellaria conspicillata
procellaria parkinsoni,procellaria parkinsoni
procellaria westlandica,procellaria westlandica
calonectris leucomelas,calonectris leucomelas
calonectris diomedea,calonectris diomedea
calonectris borealis,unknown
calonectris edwardsii,calonectris edwardsii
ardenna pacifica,ardenna pacifica
ardenna bulleri,ardenna bulleri
ardenna grisea,ardenna grisea
ardenna tenuirostris,ardenna tenuirostris
ardenna creatopus,ardenna creatopus
ardenna carneipes,ardenna carneipes
ardenna gravis,ardenna gravis
puffinus nativitatis,puffinus nativitatis
puffinus puffinus,puffinus puffinus
puffinus yelkouan,puffinus yelkouan
puffinus mauretanicus,puffinus mauretanicus
puffinus bryani,puffinus bryani
puffinus opisthomelas,puffinus opisthomelas
puffinus auricularis,puffinus auricularis
puffinus newelli,puffinus newelli
puffinus myrtae,puffinus myrtae
puffinus gavia,puffinus gavia
puffinus huttoni,puffinus huttoni
puffinus lherminieri,puffinus lherminieri
puffinus persicus,puffinus persicus
puffinus bailloni,puffinus bailloni
puffinus subalaris,puffinus subalaris
puffinus bannermani,puffinus bannermani
puffinus heinrothi,puffinus heinrothi
puffinus assimilis,puffinus assimilis
puffinus elegans,puffinus elegans
puffinus baroli,puffinus baroli
puffinus boydi,puffinus boydi
pelecanoides garnotii,pelecanoides garnotii
pelecanoides magellani,pelecanoides magellani
pelecanoides georgicus,pelecanoides georgicus
pelecanoides urinatrix,pelecanoides urinatrix
bulweria bulwerii,bulweria bulwerii
bulweria bifax,bulweria bifax
bulweria fallax,bulweria fallax
mycteria americana,mycteria americana
mycteria cinerea,mycteria cinerea
mycteria ibis,mycteria ibis
mycteria leucocephala,mycteria leucocephala
anastomus oscitans,anastomus oscitans
anastomus lamelligerus,anastomus lamelligerus
ciconia nigra,ciconia nigra
ciconia abdimii,ciconia abdimii
ciconia episcopus,ciconia episcopus
ciconia stormi,ciconia stormi
ciconia maguari,ciconia maguari
ciconia ciconia,ciconia ciconia
ciconia boyciana,ciconia boyciana
ephippiorhynchus asiaticus,ephippiorhynchus asiaticus
ephippiorhynchus senegalensis,ephippiorhynchus senegalensis
jabiru mycteria,jabiru mycteria
leptoptilos javanicus,leptoptilos javanicus
leptoptilos dubius,leptoptilos dubius
leptoptilos crumenifer,leptoptilos crumenifer
fregata aquila,fregata aquila
fregata andrewsi,fregata andrewsi
fregata magnificens,fregata magnificens
fregata minor,fregata minor
fregata ariel,fregata ariel
morus bassanus,morus bassanus
morus capensis,morus capensis
morus serrator,morus serrator
papasula abbotti,papasula abbotti
sula nebouxii,sula nebouxii
sula variegata,sula variegata
sula dactylatra,sula dactylatra
sula granti,sula granti
sula sula,sula sula
sula leucogaster,sula leucogaster
anhinga melanogaster,anhinga melanogaster
anhinga rufa,anhinga rufa
anhinga novaehollandiae,anhinga novaehollandiae
anhinga anhinga,anhinga anhinga
microcarbo pygmaeus,microcarbo pygmaeus
microcarbo africanus,microcarbo africanus
microcarbo coronatus,microcarbo coronatus
microcarbo niger,microcarbo niger
microcarbo melanoleucos,microcarbo melanoleucos
poikilocarbo gaimardi,poikilocarbo gaimardi
urile penicillatus,urile penicillatus
urile urile,urile urile
urile pelagicus,urile pelagicus
urile perspicillatus,urile perspicillatus
phalacrocorax neglectus,phalacrocorax neglectus
phalacrocorax nigrogularis,phalacrocorax nigrogularis
phalacrocorax featherstoni,phalacrocorax featherstoni
phalacrocorax punctatus,phalacrocorax punctatus
phalacrocorax fuscescens,phalacrocorax fuscescens
phalacrocorax varius,phalacrocorax varius
phalacrocorax sulcirostris,phalacrocorax sulcirostris
phalacrocorax fuscicollis,phalacrocorax fuscicollis
phalacrocorax capensis,phalacrocorax capensis
phalacrocorax capillatus,phalacrocorax capillatus
phalacrocorax lucidus,unknown
phalacrocorax carbo,phalacrocorax carbo
gulosus aristotelis,gulosus aristotelis
nannopterum harrisi,nannopterum harrisi
nannopterum brasilianum,nannopterum brasilianum
nannopterum auritum,nannopterum auritum
leucocarbo magellanicus,leucocarbo magellanicus
leucocarbo bougainvillii,leucocarbo bougainvillii
leucocarbo ranfurlyi,leucocarbo ranfurlyi
leucocarbo carunculatus,leucocarbo carunculatus
leucocarbo onslowi,leucocarbo onslowi
leucocarbo chalconotus,leucocarbo chalconotus
leucocarbo stewarti,unknown
leucocarbo colensoi,leucocarbo colensoi
leucocarbo campbelli,leucocarbo campbelli
leucocarbo atriceps,leucocarbo atriceps
leucocarbo georgianus,leucocarbo georgianus
leucocarbo melanogenis,leucocarbo melanogenis
leucocarbo bransfieldensis,leucocarbo bransfieldensis
leucocarbo verrucosus,leucocarbo verrucosus
leucocarbo nivalis,leucocarbo nivalis
leucocarbo purpurascens,leucocarbo purpurascens
threskiornis aethiopicus,threskiornis aethiopicus
threskiornis bernieri,threskiornis bernieri
threskiornis solitarius,threskiornis solitarius
threskiornis melanocephalus,threskiornis melanocephalus
threskiornis molucca,threskiornis molucca
threskiornis spinicollis,threskiornis spinicollis
pseudibis papillosa,pseudibis papillosa
pseudibis davisoni,pseudibis davisoni
pseudibis gigantea,pseudibis gigantea
geronticus eremita,geronticus eremita
geronticus calvus,geronticus calvus
nipponia nippon,nipponia nippon
bostrychia olivacea,bostrychia olivacea
bostrychia bocagei,bostrychia bocagei
bostrychia rara,bostrychia rara
bostrychia hagedash,bostrychia hagedash
bostrychia carunculata,bostrychia carunculata
theristicus caerulescens,theristicus caerulescens
theristicus caudatus,theristicus caudatus
theristicus melanopis,theristicus melanopis
theristicus branickii,theristicus branickii
cercibis oxycerca,cercibis oxycerca
mesembrinibis cayennensis,mesembrinibis cayennensis
phimosus infuscatus,phimosus infuscatus
eudocimus albus,eudocimus albus
eudocimus ruber,eudocimus ruber
plegadis falcinellus,plegadis falcinellus
plegadis chihi,plegadis chihi
plegadis ridgwayi,plegadis ridgwayi
lophotibis cristata,lophotibis cristata
