ebird2021,bird_families,comment
deasof1,furnariidae,
debflo1,thraupidae,
defpar1,psittaculidae,
delpig1,columbidae,
demcra1,gruidae,
demwir1,furnariidae,
derpar1,psittaculidae,
descha1,meliphagidae,
descis1,cisticolidae,
desfin2,fringillidae,
deslar1,alaudidae,
desspa1,passeridae,
desspa3,passeridae,
desspa4,passeridae,
deswhe1,muscicapidae,
dhbfin1,passerellidae,
diadov1,columbidae,
diafir1,estrildidae,
dianig1,caprimulgidae,
diaplo1,charadriidae,
diatan1,thraupidae,
diatap1,rhinocryptidae,
diatap2,rhinocryptidae,
diatro1,trogonidae,
dickci,cardinalidae,
dickes1,falconidae,
didcuc1,cuculidae,
dierai1,rallidae,
dimfan1,rhipiduridae,
dindor2,tyrannidae,
djifra1,phasianidae,
dltcuc1,cuculidae,
dobant2,thamnophilidae,
dobcou2,glareolidae,
dobfin1,estrildidae,
dobgra1,furnariidae,
dobplo1,charadriidae,
dobsan1,pteroclidae,
doccor,phalacrocoracidae,
docsee1,thraupidae,
dodo1,columbidae,
doecoq1,trochilidae,
dofwoo1,picidae,
dohbus1,malaconotidae,
dohthb1,sylviidae,
dolgul2,laridae,
dollar1,coraciidae,
dorcht1,tyrannidae,
dorcis1,cisticolidae,
dorgos1,accipitridae,
dosfra2,phasianidae,
dosnig1,caprimulgidae,
dotbar1,lybiidae,
dotkit1,accipitridae,
dottan1,thraupidae,
doveki,alcidae,
dovpri1,procellariidae,
dowant1,thamnophilidae,
dowcra1,rallidae,
dowwoo,picidae,
drahem1,thraupidae,
drapri1,cisticolidae,
drasee1,thraupidae,
drasis2,fringillidae,
draswi1,apodidae,
drawhi1,pachycephalidae,
drawhi3,pachycephalidae,
drbhor1,bucerotidae,
drbpyt1,tyrannidae,
drwtyr1,tyrannidae,
dsswea1,ploceidae,
dstkne,burhinidae,
dubfly2,muscicapidae,
dubfly3,muscicapidae,
dubjac1,galbulidae,
dubpar1,psittacidae,
dubsee1,thraupidae,
dubtan1,passerellidae,
ducatt1,tyrannidae,
duccoc1,cacatuidae,
ducdov1,columbidae,
ducfly,tyrannidae,
ducfly1,stenostiridae,
ducfly2,tyrannidae,
ducfog1,furnariidae,
ducgra2,thraupidae,
ducgre1,vireonidae,
duclor1,psittaculidae,
ducwin1,estrildidae,
duegih1,meliphagidae,
dueowl1,strigidae,
duftan1,mitrospingidae,
dugant1,thamnophilidae,
dugfin1,thraupidae,
dugoro1,icteridae,
duhpar,psittacidae,
dulfly1,monarchidae,
dulfro1,podargidae,
dulgua1,cracidae,
dumant1,thamnophilidae,
dumant3,thamnophilidae,
dunlar2,alaudidae,
dunlar3,alaudidae,
dunlin,scolopacidae,
dunnoc1,prunellidae,
duplar1,alaudidae,
dusant1,thamnophilidae,
dusbab2,leiothrichidae,
dusbro1,eurylaimidae,
duscrm1,hirundinidae,
dusfan1,rhipiduridae,
dusfly,tyrannidae,
dusfri1,meliphagidae,
dusful1,pellorneidae,
dusger1,acanthizidae,
dusgra1,maluridae,
dusgro,phasianidae,
dushum1,trochilidae,
duslar1,alaudidae,
duslor1,psittaculidae,
dusmoo1,rallidae,
dusmun1,estrildidae,
dusmyz1,meliphagidae,
dusnig1,caprimulgidae,
duspar1,psittacidae,
duspig2,columbidae,
duspih1,cotingidae,
duspur1,tityridae,
dusrob1,petroicidae,
dusscr2,megapodiidae,
dusscr3,megapodiidae,
dusspi1,furnariidae,
dussta1,trochilidae,
dussun2,nectariniidae,
dustap1,rhinocryptidae,
dustet1,bernieridae,
dusthr1,turdidae,
dusthr2,turdidae,
dustit2,paridae,
dustwi1,estrildidae,
duswar,phylloscopidae,
duswoo1,artamidae,
duswoo3,scolopacidae,
duswoo4,scolopacidae,
dutant1,thamnophilidae,
dutant2,thamnophilidae,
dutcan1,furnariidae,
dutdov1,columbidae,
dutfla1,tyrannidae,
duther1,trochilidae,
duweye1,zosteropidae,
dwabit1,ardeidae,
dwacas1,casuariidae,
dwacuc1,cuculidae,
dwafrd1,columbidae,
dwahon1,indicatoridae,
dwahon2,melanocharitidae,
dwajay1,corvidae,
dwakin1,alcedinidae,
dwakoe1,cuculidae,
dwatin1,tinamidae,
dwavir1,vireonidae,
dwawhi1,acanthizidae,
dwtman1,pipridae,
dybtwi1,estrildidae,
eaafie1,thamnophilidae,
eabwar1,phylloscopidae,
eacaka1,muscicapidae,
eacgos1,accipitridae,
eaclar1,alaudidae,
eacsun1,nectariniidae,
eactan1,calyptophilidae,
eacwar1,phylloscopidae,
eamhar1,accipitridae,
eaosun1,nectariniidae,
eaowar1,acrocephalidae,
eaowar2,sylviidae,
eaptyr1,tyrannidae,
eapwhy1,viduidae,
eardov1,columbidae,
eargre,podicipedidae,
earpit1,pittidae,
earpoo1,caprimulgidae,
earque,trogonidae,
easbeg1,pycnonotidae,
easblu,turdidae,
easbri1,dasyornithidae,
easkin,tyrannidae,
easmah2,accipitridae,
easmea,icteridae,
easmog1,pycnonotidae,
easmog3,pycnonotidae,
easmog4,pycnonotidae,
easmog5,pycnonotidae,
easmog6,pycnonotidae,
easnic1,nicatoridae,
easowl1,strigidae,
easpho,tyrannidae,
easple1,musophagidae,
easros1,psittaculidae,
easspi1,meliphagidae,
eastow,passerellidae,
easwah1,meliphagidae,
easwhi1,psophodidae,
easwpw1,caprimulgidae,
eatpin1,anatidae,
eawpew,tyrannidae,
eaywag,motacillidae,
eaywag1,motacillidae,
ebomyz1,meliphagidae,
ebopar1,paradisaeidae,
ecgdov1,columbidae,
eclpar,psittaculidae,
ecucac1,icteridae,
ecuhil1,trochilidae,
ecupic1,picidae,
ecupie1,trochilidae,
ecutap1,rhinocryptidae,
ecuthr1,turdidae,
ecutyr1,tyrannidae,
edcsun1,nectariniidae,
edcsun3,nectariniidae,
edcsun4,nectariniidae,
edfpar1,psittaculidae,
ednswi1,apodidae,
edwphe1,phasianidae,
egwtea1,anatidae,
egygoo,anatidae,
egynig1,caprimulgidae,
egyplo1,pluvianidae,
egyvul1,accipitridae,
eiamon1,monarchidae,
elblar1,alaudidae,
elctin1,tinamidae,
elecre1,melanopareiidae,
eleeup1,fringillidae,
elefal1,falconidae,
elepai,monarchidae,
elepai4,monarchidae,
elepai5,monarchidae,
elepar1,psittaculidae,
elepit7,pittidae,
elequa,odontophoridae,
elesun1,nectariniidae,
eleter1,laridae,
eletit2,paridae,
eletro,trogonidae,
elewoo1,furnariidae,
elfowl,strigidae,
elipig1,columbidae,
elllau1,leiothrichidae,
ellphe1,phasianidae,
ellwoo1,picidae,
elopar1,psittacidae,
eluant1,grallariidae,
elwwar1,parulidae,
embpuf1,trochilidae,
emchum1,trochilidae,
emedov2,columbidae,
emedov3,columbidae,
emesta1,sturnidae,
emetan1,thraupidae,
emetou3,ramphastidae,
emetou4,ramphastidae,
emetou8,ramphastidae,
emishr1,laniidae,
emlwar1,phylloscopidae,
empbri1,trochilidae,
empfai1,maluridae,
empgoo,anatidae,
emppen1,spheniscidae,
emu1,casuariidae,
engcud1,columbidae,
engmyn1,sturnidae,
engthr1,turdidae,
ensowl1,strigidae,
epaori1,icteridae,
epaori4,icteridae,
equaka1,muscicapidae,
equant1,grallariidae,
equgra1,furnariidae,
ercfra,phasianidae,
erttyr1,tyrannidae,
eskcur,scolopacidae,
esmant1,thamnophilidae,
esmwoo2,trochilidae,
eswdov1,columbidae,
ethswa1,hirundinidae,
ettwoo1,picidae,
eubeat1,meropidae,
eucdov,columbidae,
eueowl1,strigidae,
eugori2,oriolidae,
eugplo,charadriidae,
euhbuz1,accipitridae,
eulfly1,tyrannidae,
eunhon1,meliphagidae,
eupfly1,muscicapidae,
eupowl1,strigidae,
euptit1,remizidae,
eurbla,turdidae,
eurbla2,turdidae,
eurbul,fringillidae,
eurbul1,fringillidae,
eurcoo,rallidae,
eurcrm1,hirundinidae,
eurcur,scolopacidae,
eurdot,charadriidae,
eurgol,fringillidae,
eurgre1,fringillidae,
eurgri1,accipitridae,
eurhob,falconidae,
eurhoo2,upupidae,
eurjac,corvidae,
eurjay1,corvidae,
eurkes,falconidae,
eurkes1,falconidae,
eurlin1,fringillidae,
eurmag1,corvidae,
eurmag3,corvidae,
eurmag5,corvidae,
eurmag6,corvidae,
eurnig1,caprimulgidae,
eurnut1,corvidae,
eurnut2,sittidae,
eurnut6,sittidae,
euroys1,haematopodidae,
eurrob1,muscicapidae,
eurrol1,coraciidae,
eursco1,strigidae,
eursco3,strigidae,
eurser1,fringillidae,
eursha1,phalacrocoracidae,
eursis,fringillidae,
eurspa1,accipitridae,
eurspo1,threskiornithidae,
eursta,sturnidae,
eurtre1,certhiidae,
eurtre3,certhiidae,
eurwar1,acrocephalidae,
eurwar2,locustellidae,
eurwig,anatidae,
eurwoo,scolopacidae,
eurwry,picidae,
eutdov,columbidae,
eutkne1,burhinidae,
eutspa,passeridae,
evegro,fringillidae,
evesco1,strigidae,
evethr1,turdidae,
evweye1,zosteropidae,
eybhor1,bucerotidae,
eyethr,turdidae,
eyjfly1,muscicapidae,
eyrfla1,tyrannidae,
eyrgra1,maluridae,
eyrthi1,furnariidae,
eywbab1,pellorneidae,
fabbow1,ptilonorhynchidae,
fabbri1,trochilidae,
fabtan1,thraupidae,
fabthr1,turdidae,
fabwax1,estrildidae,
fabwax3,estrildidae,
fabwhi1,pachycephalidae,
fabwre1,troglodytidae,
faclar2,alaudidae,
faecur,scolopacidae,
faifly1,stenostiridae,
faiger1,acanthizidae,
failor1,psittaculidae,
faimar2,hirundinidae,
faipit1,pittidae,
faipri1,procellariidae,
faiter2,laridae,
falduc,anatidae,
falstd1,anatidae,
famcha1,muscicapidae,
fansaw1,hirundinidae,
fasant1,thamnophilidae,
faseag1,accipitridae,
faswre1,troglodytidae,
fatber1,melanocharitidae,
fatcuc1,cuculidae,
fatger1,acanthizidae,
fatgra1,locustellidae,
father1,ardeidae,
fatmon1,monarchidae,
fatrav1,corvidae,
fatwar,parulidae,
fatwid1,ploceidae,
fawbab1,pellorneidae,
fbfdov1,columbidae,
fbfeye1,thamnophilidae,
fbtbab1,timaliidae,
feaowl1,strigidae,
feapet1,procellariidae,
feapet2,procellariidae,
febant1,thamnophilidae,
feonig1,aegothelidae,
fepbat1,platysteiridae,
fepoli1,estrildidae,
fepowl,strigidae,
fepspe1,zosteropidae,
ferant1,thamnophilidae,
ferbab1,pellorneidae,
ferduc,anatidae,
ferfli1,picidae,
ferfly1,muscicapidae,
ferhaw,accipitridae,
ferlar2,alaudidae,
fernbi1,locustellidae,
fernwr1,acanthizidae,
ferpar2,phasianidae,
fescoq2,trochilidae,
fescoq3,trochilidae,
fespar1,psittacidae,
fhbfin1,passerellidae,
fibara1,ramphastidae,
fibbus1,malaconotidae,
fibflo2,dicaeidae,
fibmyn1,sturnidae,
fibmyn2,sturnidae,
fibpic1,picidae,
fibwar1,scotocercidae,
fibwoo1,picidae,
ficale2,muscicapidae,
ficale3,muscicapidae,
ficbar1,capitonidae,
ficman1,pipridae,
ficmun1,estrildidae,
fictit1,paridae,
fiediu1,tyrannidae,
fieldf,turdidae,
fiemin1,campephagidae,
fiespa,passerellidae,
fietop1,trochilidae,
fifbis1,ploceidae,
fifser1,fringillidae,
fifthr1,turdidae,
fiipig1,columbidae,
fijgos1,accipitridae,
fijpar1,estrildidae,
fijpet1,procellariidae,
fijshr1,monarchidae,
fijwhi2,pachycephalidae,
fijwoo1,artamidae,
fimbow1,ptilonorhynchidae,
finbul1,pycnonotidae,
fineup1,fringillidae,
finfra2,phasianidae,
finnig1,caprimulgidae,
finwhe1,muscicapidae,
fiopen1,spheniscidae,
fippar1,psittaculidae,
firecr1,regulidae,
firecr3,regulidae,
fireth1,muscicapidae,
firgat1,furnariidae,
fiscro,corvidae,
fisfly1,muscicapidae,
fisgre1,pycnonotidae,
fislar1,alaudidae,
fislov1,psittaculidae,
fispar1,psittacidae,
fisspa,passerellidae,
fissta1,sturnidae,
fistur1,musophagidae,
fiswoo1,picidae,
fitawl1,trochilidae,
fitbar1,megalaimidae,
fitfru1,cotingidae,
fithum1,trochilidae,
fitmet1,trochilidae,
fitmyz1,sylviidae,
fitsun1,nectariniidae,
flabow2,ptilonorhynchidae,
flabow3,ptilonorhynchidae,
flabul1,pycnonotidae,
flafly1,tyrannidae,
flafly2,tyrannidae,
flalar1,alaudidae,
flamec1,regulidae,
flaowl,strigidae,
flapyt1,tyrannidae,
flarob1,petroicidae,
flasun1,nectariniidae,
flatre1,furnariidae,
flawar1,parulidae,
flbflo2,dicaeidae,
flbflo3,dicaeidae,
flbkin1,alcedinidae,
flbsun2,nectariniidae,
flbvir1,vireonidae,
flcflo1,dicaeidae,
flcman2,pipridae,
flctan,cardinalidae,
flctan1,thraupidae,
flfbar1,megalaimidae,
flfshe,procellariidae,
flftan1,thraupidae,
flgpig1,columbidae,
flicor1,phalacrocoracidae,
flistd1,anatidae,
flobro1,columbidae,
flocro1,corvidae,
flohae1,accipitridae,
flojuf1,muscicapidae,
flomin1,campephagidae,
flomon1,monarchidae,
flowhe1,zosteropidae,
flrgra1,locustellidae,
flrtan1,thraupidae,
flrtan3,thraupidae,
flsjay,corvidae,
flsowl1,strigidae,
fltbab1,zosteropidae,
fltwar1,parulidae,
flushe1,procellariidae,
fluwre1,troglodytidae,
flystd1,anatidae,
fobsan1,pteroclidae,
focbus2,malaconotidae,
fooant1,thamnophilidae,
fooela1,tyrannidae,
foosco1,strigidae,
foptit1,remizidae,
forbit1,ardeidae,
forbla1,icteridae,
forcan1,fringillidae,
forela1,tyrannidae,
forfod1,ploceidae,
forfra2,phasianidae,
forhon1,meliphagidae,
forkin1,alcedinidae,
formag1,corvidae,
forowl1,strigidae,
forplo1,charadriidae,
forrai1,rallidae,
forrav1,corvidae,
forrob1,muscicapidae,
forrot2,muscicapidae,
forswa2,hirundinidae,
forter,laridae,
forthr1,turdidae,
forwag1,motacillidae,
forwea1,ploceidae,
forwoo1,phoeniculidae,
fospar1,pardalotidae,
fosrob1,muscicapidae,
fotdro1,dicruridae,
fotdro4,dicruridae,
fotfly,tyrannidae,
fotpyt1,tyrannidae,
fotsun1,nectariniidae,
fotswi,apodidae,
fotwoo1,trochilidae,
fowswi1,apodidae,
fowthr1,muscicapidae,
foxcis1,cisticolidae,
foxkes1,falconidae,
foxlar1,alaudidae,
foxsp2,passerellidae,
foxsp3,passerellidae,
foxsp4,passerellidae,
foxspa,passerellidae,
foxwea1,ploceidae,
fragos2,accipitridae,
fragul,laridae,
frbtho1,furnariidae,
frbwar1,locustellidae,
frbwoo1,picidae,
freduc1,anatidae,
frenig1,caprimulgidae,
freowl1,strigidae,
frgdov1,columbidae,
fricoq1,trochilidae,
frifan1,rhipiduridae,
frilar1,alaudidae,
frimon1,monarchidae,
frnmon1,monarchidae,
fruith1,turdidae,
ftpswi1,apodidae,
ftspet,hydrobatidae,
fubfla1,tyrannidae,
fubwoo2,picidae,
fucjuf1,muscicapidae,
fucnun1,bucconidae,
fuctan1,thraupidae,
fudtre1,furnariidae,
fuebou1,malaconotidae,
fuelon2,motacillidae,
fuesni1,scolopacidae,
fuhtan1,thraupidae,
fujnil1,muscicapidae,
fulant1,thamnophilidae,
fulcha1,leiothrichidae,
fulowl1,strigidae,
fulpar1,sylviidae,
fulpri1,procellariidae,
fulwre1,troglodytidae,
furfly1,muscicapidae,
fusfly1,tyrannidae,
fusfly2,tyrannidae,
fushon1,meliphagidae,
fustan1,thraupidae,
fuveup1,fringillidae,
fuwduc,anatidae,
gabaka1,muscicapidae,
gabbou1,malaconotidae,
gabbus1,malaconotidae,
gabcou1,cuculidae,
gabfru1,cotingidae,
gabgos2,accipitridae,
gabwoo1,picidae,
gabwoo3,picidae,
gadwal,anatidae,
gagcoc1,cacatuidae,
gagtan1,thraupidae,
gagtan2,thraupidae,
gagwar2,parulidae,
galah,cacatuidae,
galdov1,columbidae,
galfly1,tyrannidae,
galhaw1,accipitridae,
galmar1,hirundinidae,
galmoc1,mimidae,
galpen1,spheniscidae,
galpet,procellariidae,
galrai1,rallidae,
gamfly1,muscicapidae,
gamqua,odontophoridae,
ganlew1,phylloscopidae,
gareme1,trochilidae,
gargan,anatidae,
garkin1,alcedinidae,
garpit1,pittidae,
garrob1,petroicidae,
gartro1,trogonidae,
garwar1,sylviidae,
gathum1,trochilidae,
gaweye1,zosteropidae,
gawhum1,trochilidae,
gawtyr2,tyrannidae,
gbbgul,laridae,
gbesta1,sturnidae,
gbhgul2,laridae,
gbmgem1,trochilidae,
gbmtan1,thraupidae,
gbopar1,paradisaeidae,
gbopar2,paradisaeidae,
gbsfin1,thraupidae,
gbwwre1,troglodytidae,
gcbwar1,acrocephalidae,
gchwar,parulidae,
gcoroc1,cotingidae,
gcptan1,phaenicophilidae,
gcrfin,fringillidae,
gcrwar,parulidae,
gdcsun2,nectariniidae,
gencaf1,thraupidae,
genpen1,spheniscidae,
geomal1,turdidae,
geppar1,psittaculidae,
gepphe1,phasianidae,
gerswi1,apodidae,
gfhpar1,psittaculidae,
gfqdov,columbidae,
ghacus1,campephagidae,
giaant1,grallariidae,
giaant2,thamnophilidae,
giabab1,leiothrichidae,
giacon1,thraupidae,
giacoo1,rallidae,
giacou1,cuculidae,
giacow,icteridae,
giahum1,trochilidae,
giaibi1,threskiornithidae,
giakin1,tyrannidae,
giakin3,alcedinidae,
gialau1,leiothrichidae,
gianut1,sittidae,
giapit1,pittidae,
giasni1,scolopacidae,
giawea1,ploceidae,
giawre1,troglodytidae,
gietan1,thraupidae,
gilbar1,capitonidae,
gilfli,picidae,
gilhum1,trochilidae,
gillar1,alaudidae,
gilwhi1,pachycephalidae,
gilwoo,picidae,
giweye1,zosteropidae,
giwrai1,rallidae,
glagul,laridae,
glamac1,psittacidae,
glatan1,thraupidae,
glbbec1,tityridae,
glbcoc1,cacatuidae,
glbeme1,trochilidae,
glbgro1,cardinalidae,
glbthr1,turdidae,
glgtan1,thraupidae,
glmman2,paradisaeidae,
gloant1,thamnophilidae,
gloflo1,thraupidae,
gloibi,threskiornithidae,
glopuf2,trochilidae,
gloswi1,apodidae,
glteme1,trochilidae,
glthum1,trochilidae,
glwgul,laridae,
gmrtai1,psittaculidae,
gnbbec2,tityridae,
gnbcam2,cisticolidae,
gnbcam3,cisticolidae,
gnbger1,acanthizidae,
gnbhel1,trochilidae,
gnbman,trochilidae,
gnbtai1,cisticolidae,
gnbtro1,trogonidae,
gnbwhe1,zosteropidae,
gncpar,psittacidae,
gnfhum2,trochilidae,
gnhsun1,nectariniidae,
gnlthr,leiothrichidae,
gnspig1,columbidae,
gntbri1,pycnonotidae,
gnteup1,fringillidae,
gntsun1,nectariniidae,
gnttan1,thraupidae,
gnttow,passerellidae,
gnwtea,anatidae,
gobbis1,ploceidae,
gobbun1,emberizidae,
gobchl1,fringillidae,
gobcht1,tyrannidae,
gobeup1,fringillidae,
gobfly1,tyrannidae,
gobfly2,petroicidae,
gobfru1,cotingidae,
gobful1,sylviidae,
gobger1,acanthizidae,
gobgro1,cardinalidae,
gobmag1,corvidae,
gobpuf1,trochilidae,
gobrob1,muscicapidae,
gobsal1,thraupidae,
gobsta1,trochilidae,
gobsta5,sturnidae,
gobwar1,parulidae,
gobwar2,parulidae,
gobwar4,parulidae,
gobwea1,ploceidae,
gobwhi1,pachycephalidae,
gocbab1,zosteropidae,
goceme1,trochilidae,
gocfly1,tyrannidae,
gochon2,thraupidae,
gockin,regulidae,
gocman1,pipridae,
gocman2,pipridae,
gocmyn1,sturnidae,
gocpar2,psittacidae,
gocspa,passerellidae,
gocspa1,tyrannidae,
goctan1,thraupidae,
goctan2,thraupidae,
goctan3,thraupidae,
goctan4,thraupidae,
goctou1,ramphastidae,
gocwoo1,picidae,
gocwoo2,picidae,
gocwoo3,picidae,
godbun1,emberizidae,
goeant1,thamnophilidae,
goetan1,thraupidae,
gofbow1,ptilonorhynchidae,
gofful2,pellorneidae,
gofgre1,vireonidae,
goflea1,chloropseidae,
gofred1,parulidae,
goftyr1,tyrannidae,
goftyr4,tyrannidae,
goftyr5,tyrannidae,
gofwoo,picidae,
gofwoo2,picidae,
gogwoo1,picidae,
gohcis1,cisticolidae,
gohman1,pipridae,
gohque1,trogonidae,
gohtan1,thraupidae,
goifin1,thraupidae,
golbab1,timaliidae,
golbow1,ptilonorhynchidae,
golbul3,pycnonotidae,
golbul4,pycnonotidae,
golcou1,cuculidae,
golcus1,campephagidae,
goldcr1,regulidae,
goldov1,columbidae,
goleag,accipitridae,
golgre1,pycnonotidae,
golher1,ardeidae,
gollor1,psittaculidae,
golmon1,monarchidae,
golmyn1,sturnidae,
golnig1,caprimulgidae,
golpar2,sylviidae,
golpar3,psittacidae,
golphe,phasianidae,
golpip1,motacillidae,
golswa1,hirundinidae,
goltan1,thraupidae,
golvir1,vireonidae,
golwhi1,pachycephalidae,
golwhi2,pachycephalidae,
gonbar1,megalaimidae,
gonfin1,fringillidae,
gontan1,thraupidae,
gonwea1,ploceidae,
gonwoo1,picidae,
goowoo1,picidae,
goowoo3,picidae,
goppar1,psittacidae,
gopwea1,ploceidae,
goreup1,fringillidae,
gorflo1,dicaeidae,
gorpuf1,trochilidae,
gorsun1,trochilidae,
gortan1,thraupidae,
gorwoo2,trochilidae,
gosapa1,cisticolidae,
gosbun1,emberizidae,
goseup1,fringillidae,
gospar1,psittaculidae,
gospic1,picidae,
gospic3,picidae,
goswar1,phylloscopidae,
gotbar2,megalaimidae,
gotbar3,megalaimidae,
gotgra1,icteridae,
gotpar2,psittacidae,
gotsap1,trochilidae,
gotwoo1,picidae,
goufin3,estrildidae,
goufro1,podargidae,
goujew1,trochilidae,
goupet1,procellariidae,
gousho1,muscicapidae,
gousun1,nectariniidae,
goutou1,ramphastidae,
gowbar1,megalaimidae,
gowcac1,icteridae,
goweye1,zosteropidae,
gowgro2,fringillidae,
gowgro3,fringillidae,
gowlau1,leiothrichidae,
gowman1,pipridae,
gowpar2,psittacidae,
gowqua1,odontophoridae,
gowspa1,passerellidae,
gowsun2,nectariniidae,
gowtof1,tyrannidae,
gowwar,parulidae,
grablu1,estrildidae,
grabro1,eurylaimidae,
grabul1,thraupidae,
grabuz1,accipitridae,
gracus1,campephagidae,
graeao1,strigidae,
graela1,tyrannidae,
graela2,tyrannidae,
gragoo,anatidae,
gragra1,icteridae,
graher1,ardeidae,
grahon2,meliphagidae,
grahon3,meliphagidae,
grahon5,meliphagidae,
gralar2,alaudidae,
gramal1,ploceidae,
gramin1,furnariidae,
gramou1,tyrannidae,
gramun1,estrildidae,
granda1,turdidae,
granig1,caprimulgidae,
granig3,caprimulgidae,
graori1,icteridae,
graori2,icteridae,
graori3,icteridae,
graori4,icteridae,
grapet,procellariidae,
grapic1,picidae,
grapri1,cisticolidae,
grasal2,thraupidae,
grasal3,thraupidae,
grasal4,thraupidae,
graspa,passerellidae,
graspa1,passerellidae,
grathr1,mimidae,
gratre1,mimidae,
grawar,parulidae,
grawar1,macrosphenidae,
grbani,cuculidae,
grbbec1,tityridae,
grbbus1,malaconotidae,
grbcam1,cisticolidae,
grbcou1,cuculidae,
grbcou2,cuculidae,
grbcra1,rallidae,
grbeat1,meropidae,
grbere1,cisticolidae,
grbfir1,trochilidae,
grbhaw1,accipitridae,
grbher1,trochilidae,
grbher2,ardeidae,
grbher3,ardeidae,
grbhon1,meliphagidae,
grbhon2,indicatoridae,
grbhum1,trochilidae,
grbkin1,alcedinidae,
grbmal1,cuculidae,
grbpar1,psittaculidae,
grbpit1,pittidae,
grbrob1,petroicidae,
grbspa1,passerellidae,
grbtit1,paridae,
grbtou1,ramphastidae,
grbtur1,musophagidae,
grbtwi1,estrildidae,
grbwhi1,pachycephalidae,
grbwoo1,picidae,
grbwoo2,picidae,
grbwoo3,picidae,
grbwre1,troglodytidae,
grcbec1,tityridae,
grcbri1,trochilidae,
grccra1,gruidae,
grcdov1,columbidae,
grcdov2,columbidae,
grcfly,tyrannidae,
grcfly1,tyrannidae,
grcfly3,muscicapidae,
grcgre1,podicipedidae,
grctan1,thraupidae,
grcter1,laridae,
grcthr1,turdidae,
grcwoo1,picidae,
grdswi1,apodidae,
greadj1,ciconiidae,
greaki2,fringillidae,
greaki3,fringillidae,
greaki4,fringillidae,
greama,fringillidae,
greani1,cuculidae,
greant1,thamnophilidae,
greant2,grallariidae,
greara1,ramphastidae,
grearg1,phasianidae,
greauk,alcidae,
grebar1,megalaimidae,
grebar2,lybiidae,
grebar3,megalaimidae,
grebit1,ardeidae,
grebow1,ptilonorhynchidae,
grebro1,calyptomenidae,
grebus1,otididae,
grecat1,ptilonorhynchidae,
grecoc1,turdidae,
grecor,phalacrocoracidae,
grecor4,phalacrocoracidae,
grecou1,cuculidae,
grecro1,macrosphenidae,
grecur1,cracidae,
gredov1,columbidae,
greegr,ardeidae,
greela,tyrannidae,
greela1,tyrannidae,
greere1,cisticolidae,
grefla1,picidae,
grefla2,phoenicopteridae,
grefla3,phoenicopteridae,
greflo1,thraupidae,
grefly1,tyrannidae,
grefri,fregatidae,
gregre1,podicipedidae,
greher1,trochilidae,
grehon1,thraupidae,
grehon2,indicatoridae,
grehor1,bucerotidae,
grehyl1,macrosphenidae,
greibi1,threskiornithidae,
greind1,viduidae,
greior1,aegithinidae,
greior2,aegithinidae,
grejac2,galbulidae,
grejer1,cisticolidae,
grejun1,phasianidae,
grejun2,phasianidae,
grekes1,falconidae,
grekis,tyrannidae,
grekno,scolopacidae,
grelic1,cuculidae,
gremag1,corvidae,
greman1,trochilidae,
greman2,pipridae,
gremel1,melampittidae,
grenig1,caprimulgidae,
greori1,oriolidae,
greoro1,icteridae,
grepar,psittacidae,
grepar1,sylviidae,
grepea1,phasianidae,
grepew,tyrannidae,
grepot1,nyctibiidae,
grepuf1,trochilidae,
grerhe1,rheidae,
greroa,cuculidae,
greros1,fringillidae,
greros2,psittaculidae,
gresap1,trochilidae,
gresca,anatidae,
gresch2,tityridae,
grescy1,furnariidae,
greshe,procellariidae,
gresho1,muscicapidae,
gresht1,tyrannidae,
gresku1,stercorariidae,
gresni1,scolopacidae,
grespi2,furnariidae,
grests1,hirundinidae,
gresun1,nectariniidae,
gretea1,anatidae,
gretho1,trochilidae,
gretho2,furnariidae,
grethr1,turdidae,
gretin1,tinamidae,
gretin2,lybiidae,
gretit1,paridae,
gretit2,paridae,
gretit4,paridae,
gretyr1,tyrannidae,
grewar2,phylloscopidae,
grewar3,phylloscopidae,
grewhi1,sylviidae,
grewoo1,artamidae,
grewoo2,phoeniculidae,
grexen1,furnariidae,
greyel,scolopacidae,
greyel1,picidae,
grfdov1,columbidae,
grfhaw1,accipitridae,
grfhum1,trochilidae,
grflan1,trochilidae,
grfpar1,estrildidae,
grglea1,chloropseidae,
grgmac,psittacidae,
grgowl,strigidae,
grgrob1,petroicidae,
grgtan1,thraupidae,
grgwar1,locustellidae,
grhcha1,cracidae,
grhgul,laridae,
grhkit1,accipitridae,
grhlar1,alaudidae,
grhori1,oriolidae,
grhowl,strigidae,
grhowl2,strigidae,
grhpip1,tyrannidae,
grhtan1,thraupidae,
grhtan2,thraupidae,
grifin1,thraupidae,
grilon1,motacillidae,
gripig1,columbidae,
grkfin,fringillidae,
grkwhe1,zosteropidae,
grnava1,estrildidae,
grnfig1,oriolidae,
grnher,ardeidae,
grnimp2,columbidae,
grnjay,corvidae,
grnjay1,corvidae,
grnjay2,corvidae,
grnkin,alcedinidae,
grnlon1,cisticolidae,
grnpar,psittacidae,
grnpar2,psittacidae,
grnpar3,psittacidae,
grnpyg1,anatidae,
grnsan,scolopacidae,
grntan1,thraupidae,
grnvie1,trochilidae,
grnwar1,phylloscopidae,
grnwoo1,picidae,
grnwoo3,picidae,
grocus1,campephagidae,
gropar1,psittaculidae,
gropar2,psittaculidae,
grothr1,turdidae,
grotit1,paridae,
growea1,ploceidae,
