ebird2021,bird_families,comment
bawori1,icteridae,
bawowl1,strigidae,
bawpri1,cisticolidae,
bawrai1,rallidae,
bawsee1,thraupidae,
bawswa1,hirundinidae,
bawtan1,thraupidae,
bawtri1,campephagidae,
bawtyr1,tyrannidae,
bawwar,parulidae,
bawwar1,cisticolidae,
bawwea1,ploceidae,
bayant1,grallariidae,
baybro1,eurylaimidae,
baycou1,cuculidae,
bayfly1,ptiliogonatidae,
baygro1,fringillidae,
baymac,psittacidae,
baymar1,icteridae,
baytan2,thraupidae,
baytan3,thraupidae,
baywea1,ploceidae,
baywoo1,picidae,
baywre1,troglodytidae,
bbbeat1,meropidae,
bbbeat2,meropidae,
bbbtan1,thraupidae,
bbbtyr1,tyrannidae,
bbcdov1,columbidae,
bbctyr1,tyrannidae,
bbfdov1,columbidae,
bbfdov2,columbidae,
bbfgle1,furnariidae,
bbgsta1,sturnidae,
bbifin1,thraupidae,
bbmtan1,thraupidae,
bbmtou1,ramphastidae,
bbnthr1,turdidae,
bbopar1,paradisaeidae,
bbrwar1,acrocephalidae,
bbsfin1,thraupidae,
bbspet1,oceanitidae,
bbsrob1,muscicapidae,
bbttyr1,tyrannidae,
bbttyr2,tyrannidae,
bbwdov1,columbidae,
bbwduc,anatidae,
bbwqua1,odontophoridae,
bbwtyr1,tyrannidae,
bcatan1,cardinalidae,
bcbeag1,accipitridae,
bcbeat1,meropidae,
bcbfin1,passerellidae,
bcfdov1,columbidae,
bcfdov2,columbidae,
bcfgle1,furnariidae,
bchpar1,psittaculidae,
bcmtan1,thraupidae,
bcmtan2,thraupidae,
bcnher,ardeidae,
bcptan1,phaenicophilidae,
bcptyr1,tyrannidae,
bcrfin,fringillidae,
bcrtai1,psittaculidae,
bcrthr1,muscicapidae,
bcslar1,alaudidae,
bcswea1,ploceidae,
bctspi1,furnariidae,
bcweye2,zosteropidae,
bcwfin1,thraupidae,
bcwfin2,thraupidae,
bcwpar1,odontophoridae,
bcwspi1,furnariidae,
bcwwar1,phylloscopidae,
beabar1,lybiidae,
beabel1,cotingidae,
beafir1,estrildidae,
beagua1,cracidae,
beahum1,trochilidae,
beajay1,corvidae,
beakin2,alcedinidae,
beamou1,trochilidae,
beanut1,sittidae,
bearee1,panuridae,
bearos1,fringillidae,
beasib1,leiothrichidae,
beasne1,accipitridae,
beasun2,nectariniidae,
beatac1,tyrannidae,
beathk1,burhinidae,
beatre1,furnariidae,
beawoo1,picidae,
beawoo2,picidae,
becpet1,procellariidae,
becscr1,acanthizidae,
beehum1,trochilidae,
beelar1,alaudidae,
befdov1,columbidae,
begdov1,columbidae,
begdov2,columbidae,
beibab1,sylviidae,
belfly1,tyrannidae,
belgul,laridae,
belkin1,alcedinidae,
belmel1,meliphagidae,
belmin1,meliphagidae,
belspa2,passerellidae,
belvir,vireonidae,
belyel1,parulidae,
benbus1,alaudidae,
benbuw1,locustellidae,
benflo2,otididae,
benlar1,alaudidae,
benthr,mimidae,
benwea1,ploceidae,
benwoo1,picidae,
bepfly1,monarchidae,
berant1,thamnophilidae,
bercan1,furnariidae,
berfli1,picidae,
berhaw1,accipitridae,
berhum,trochilidae,
bernih1,ardeidae,
berpet,procellariidae,
berpip1,motacillidae,
bertea1,anatidae,
bertin1,tinamidae,
bertow1,passerellidae,
bervan1,vangidae,
berwea2,ploceidae,
besbab1,vireonidae,
beslar1,alaudidae,
besowl,strigidae,
besra1,accipitridae,
besrob1,muscicapidae,
bestan1,thraupidae,
beweye1,zosteropidae,
bewpar1,odontophoridae,
bewqua1,odontophoridae,
bewwre,troglodytidae,
bfbwar1,scotocercidae,
bffgle,furnariidae,
bfgbir1,musophagidae,
bfgdov1,columbidae,
bfgtyr1,tyrannidae,
bfoboo,sulidae,
bfpgua1,cracidae,
bfppar1,psittaculidae,
bfqdov1,columbidae,
bfweye1,zosteropidae,
bfwqua1,odontophoridae,
bhbeat1,meropidae,
bhbeat2,meropidae,
bhcfly1,monarchidae,
bhmfin1,fringillidae,
bhnthr1,turdidae,
bhpfly1,monarchidae,
bhpkin1,alcedinidae,
bhptit1,remizidae,
bhqdov1,columbidae,
bhrtai1,psittaculidae,
bhsbab1,vireonidae,
bhsfin1,thraupidae,
bhtfly1,tyrannidae,
bhulau1,leiothrichidae,
bhwdov1,columbidae,
bhweye1,zosteropidae,
biacou1,cuculidae,
biafly1,monarchidae,
biager1,acanthizidae,
biamon1,monarchidae,
biasco1,strigidae,
biawar1,phylloscopidae,
biawhi1,pachycephalidae,
bicant2,thamnophilidae,
bicant3,grallariidae,
bicant4,thamnophilidae,
biccon1,thraupidae,
bicflo1,dicaeidae,
bichaw1,accipitridae,
bichaw4,accipitridae,
bicpen1,spheniscidae,
bicthr,turdidae,
bicwre1,troglodytidae,
bielau1,leiothrichidae,
biipig1,columbidae,
bimlar1,alaudidae,
bimwar1,acanthizidae,
bipkin1,alcedinidae,
bisfan1,rhipiduridae,
bisfly1,petroicidae,
bishao1,strigidae,
biskin1,alcedinidae,
bismel1,meliphagidae,
bismun1,estrildidae,
bisoo,mohoidae,
bisswi1,apodidae,
bisthi1,locustellidae,
biswhi1,pachycephalidae,
biswoo1,artamidae,
biweye1,zosteropidae,
bkbalb,diomedeidae,
bkbalb2,diomedeidae,
bkbbit1,ardeidae,
bkbbrt1,megapodiidae,
bkbbus1,otididae,
bkbcuc,cuculidae,
bkbcus1,campephagidae,
bkbcus2,campephagidae,
bkbful1,leiothrichidae,
bkbkin1,alcedinidae,
bkbkit1,accipitridae,
bkbkoe1,cuculidae,
bkbmag1,corvidae,
bkbmyz1,meliphagidae,
bkbowl1,strigidae,
bkbplo,charadriidae,
bkbsht1,tyrannidae,
bkbsne1,accipitridae,
bkbsun1,nectariniidae,
bkbtan1,thraupidae,
bkbtho1,trochilidae,
bkbthr3,turdidae,
bkbthr4,turdidae,
bkbtit1,paridae,
bkbtit2,paridae,
bkbtit3,aegithalidae,
bkbtit4,aegithalidae,
bkbtit6,aegithalidae,
bkbtof1,tyrannidae,
bkbwar,parulidae,
bkbwoo,picidae,
bkcbar1,leiothrichidae,
bkcbul1,pycnonotidae,
bkcbul2,pycnonotidae,
bkcbul3,pycnonotidae,
bkcbul4,pycnonotidae,
bkccat1,ptilonorhynchidae,
bkcchi,paridae,
bkcdon,donacobiidae,
bkcful1,pellorneidae,
bkcgna,polioptilidae,
bkchem2,thraupidae,
bkchum,trochilidae,
bkclau1,leiothrichidae,
bkclau2,leiothrichidae,
bkcmon1,tyrannidae,
bkcmot1,thraupidae,
bkcori,icteridae,
bkcpet,procellariidae,
bkcpet2,procellariidae,
bkcpip1,tyrannidae,
bkcruw1,cisticolidae,
bkcsco1,strigidae,
bkcspa,passerellidae,
bkcsta1,sturnidae,
bkctch1,malaconotidae,
bkctit1,tyrannidae,
bkcvir1,vireonidae,
bkcwea1,ploceidae,
bkcwhe1,zosteropidae,
bkcwhi1,pachycephalidae,
bkefai1,trochilidae,
bkegrt1,turdidae,
bkehem1,thraupidae,
bkehem3,thraupidae,
bkewhe2,muscicapidae,
bkfalb,diomedeidae,
bkfant2,formicariidae,
bkfbab1,leiothrichidae,
bkfbrf1,passerellidae,
bkfcus1,campephagidae,
bkfdac1,thraupidae,
bkffir1,estrildidae,
bkffri1,meliphagidae,
bkffri2,meliphagidae,
bkfgra,thraupidae,
bkfibi2,threskiornithidae,
bkfqua1,estrildidae,
bkfruw1,cisticolidae,
bkhbat1,platysteiridae,
bkhber1,cotingidae,
bkhcan1,fringillidae,
bkhcus1,campephagidae,
bkhgre1,fringillidae,
