ebird2021,bird_orders,comment
aakspa1,passeriformes,
abbbab1,passeriformes,
abbboo2,suliformes,
abbsta2,passeriformes,
abbwar1,passeriformes,
abcwin1,passeriformes,
abdsto1,ciconiiformes,
abecis1,passeriformes,
abethr1,passeriformes,
abetow,passeriformes,
abgthr1,passeriformes,
abhori1,passeriformes,
absbil1,bucerotiformes,
absfin1,passeriformes,
abttyr1,passeriformes,
abycat1,passeriformes,
abylon1,passeriformes,
abynig1,caprimulgiformes,
abyrol2,coraciiformes,
abysis1,passeriformes,
abyslf1,passeriformes,
abythr1,passeriformes,
abywhe1,passeriformes,
abywoo1,piciformes,
acafly,passeriformes,
acowoo,piciformes,
acrant1,passeriformes,
acrtot1,passeriformes,
adepen1,sphenisciformes,
adewar1,passeriformes,
adtdov1,columbiformes,
afbduc1,anseriformes,
afbfly1,passeriformes,
afbowl1,strigiformes,
afbtit2,passeriformes,
afbwar1,passeriformes,
afcdov1,columbiformes,
afcfly1,passeriformes,
afdfly1,passeriformes,
afdwar1,passeriformes,
afecuc1,cuculiformes,
afepig1,columbiformes,
affeag1,accipitriformes,
afffin,passeriformes,
afffly1,passeriformes,
afgfly1,passeriformes,
afghor1,bucerotiformes,
afgori2,passeriformes,
afgowl1,strigiformes,
afgsno1,passeriformes,
afgwea1,passeriformes,
afhbab1,passeriformes,
afhbab3,passeriformes,
afhhaw1,accipitriformes,
afmdov1,columbiformes,
afmhar1,accipitriformes,
afmwea,passeriformes,
afpfly1,passeriformes,
afphor1,bucerotiformes,
afpkin1,coraciiformes,
afpsta1,passeriformes,
afpswi1,caprimulgiformes,
afptit1,passeriformes,
afpwag1,passeriformes,
afrbro1,passeriformes,
afrcit1,passeriformes,
afrcra1,gruiformes,
afrcuc1,cuculiformes,
afrcuh1,accipitriformes,
afrfin1,gruiformes,
afrgos1,accipitriformes,
afrgrp1,columbiformes,
afrhae1,accipitriformes,
afrhob1,falconiformes,
afrjac1,charadriiformes,
afrmar2,passeriformes,
afrope1,ciconiiformes,
afroys1,charadriiformes,
afrpic1,piciformes,
afrpip1,passeriformes,
afrpit1,passeriformes,
afrpyg1,anseriformes,
afrrai1,gruiformes,
afrsco2,strigiformes,
afrshf1,passeriformes,
afrsil1,passeriformes,
afrski1,charadriiformes,
afrsni1,charadriiformes,
afrspo1,pelecaniformes,
afrsto1,passeriformes,
afrswi1,caprimulgiformes,
afrswi2,caprimulgiformes,
afrtai2,passeriformes,
afrthr1,passeriformes,
afrwar1,passeriformes,
afsowl1,strigiformes,
afswar1,passeriformes,
afwowl1,strigiformes,
afywar1,passeriformes,
afywhe1,passeriformes,
afywhe2,passeriformes,
afywhe3,passeriformes,
afywhe4,passeriformes,
agaher1,pelecaniformes,
agitit1,passeriformes,
agular1,passeriformes,
agurew1,passeriformes,
agwtea1,anseriformes,
ahafra2,galliformes,
ajpant1,passeriformes,
akekee,passeriformes,
akeowl1,strigiformes,
akepa1,passeriformes,
akepa2,passeriformes,
akepa3,passeriformes,
akiapo,passeriformes,
akikik,passeriformes,
alaant1,passeriformes,
alacur1,galliformes,
alagre1,podicipediformes,
alatyr1,passeriformes,
alblyr1,passeriformes,
albowl1,strigiformes,
albwar1,passeriformes,
alddro1,passeriformes,
aldfly,passeriformes,
aldwhe1,passeriformes,
aleowl1,strigiformes,
alepar1,psittaciformes,
alepar2,psittaciformes,
aleswi1,caprimulgiformes,
aleter1,charadriiformes,
alfant1,passeriformes,
alfgle1,passeriformes,
algnut1,passeriformes,
allant1,passeriformes,
allgal1,gruiformes,
allhum,caprimulgiformes,
alomyz1,passeriformes,
alpacc1,passeriformes,
alplew1,passeriformes,
alpmun1,passeriformes,
alppip1,passeriformes,
alprob1,passeriformes,
alpswi1,caprimulgiformes,
alptap1,passeriformes,
alpthr1,passeriformes,
alsred1,passeriformes,
altori,passeriformes,
altsno1,galliformes,
altyel1,passeriformes,
amaant1,passeriformes,
amaant2,passeriformes,
amabaw1,passeriformes,
amahum1,caprimulgiformes,
amakin1,coraciiformes,
amapar1,psittaciformes,
amapyo1,strigiformes,
amasta1,passeriformes,
amasun2,passeriformes,
amatyr1,passeriformes,
amaumb1,passeriformes,
amawoo1,charadriiformes,
ambduc,anseriformes,
ambtyr1,passeriformes,
ambwhe1,passeriformes,
ameavo,charadriiformes,
amebit,pelecaniformes,
amecro,passeriformes,
amedip,passeriformes,
amedov1,columbiformes,
amegfi,passeriformes,
amekes,falconiformes,
ameoys,charadriiformes,
amepip,passeriformes,
amered,passeriformes,
amerob,passeriformes,
amesun2,passeriformes,
amewig,anseriformes,
amewoo,charadriiformes,
amewoo1,caprimulgiformes,
amgplo,charadriiformes,
amhgul1,charadriiformes,
ampkin1,coraciiformes,
amptap1,passeriformes,
amsduc1,anseriformes,
amsfly1,passeriformes,
amthum1,caprimulgiformes,
amtspa,passeriformes,
amtsun1,caprimulgiformes,
amtsun2,caprimulgiformes,
amtsun4,caprimulgiformes,
amufal1,falconiformes,
amupaf1,passeriformes,
amwpel,pelecaniformes,
anawax1,passeriformes,
anbtyr1,passeriformes,
anbwar1,passeriformes,
ancant1,passeriformes,
ancbar1,piciformes,
anccha1,passeriformes,
ancdov1,columbiformes,
anchum1,caprimulgiformes,
ancmur,charadriiformes,
ancsun1,passeriformes,
anctap1,passeriformes,
andavo1,charadriiformes,
andbul1,passeriformes,
andcon1,cathartiformes,
andcot1,passeriformes,
andcou1,cuculiformes,
andcra1,gruiformes,
andcus1,passeriformes,
anddro1,passeriformes,
andduc1,anseriformes,
andeme1,caprimulgiformes,
andfla2,phoenicopteriformes,
andfli1,piciformes,
andflo1,passeriformes,
andgoo1,anseriformes,
andgua1,galliformes,
andgul1,charadriiformes,
andhao1,strigiformes,
andhil2,caprimulgiformes,
andhil3,caprimulgiformes,
andlap1,charadriiformes,
andneg1,passeriformes,
andnig1,caprimulgiformes,
andpar1,psittaciformes,
andpot1,caprimulgiformes,
andsha1,passeriformes,
andsis1,passeriformes,
andsni1,charadriiformes,
andsol1,passeriformes,
andswa2,passeriformes,
andswi1,caprimulgiformes,
andtea1,anseriformes,
andtin1,tinamiformes,
andtre1,passeriformes,
andtyr2,passeriformes,
andtyr3,passeriformes,
andwoo1,piciformes,
angbat1,passeriformes,
anghel1,passeriformes,
anglar1,passeriformes,
angpet1,procellariiformes,
angslf1,passeriformes,
angswa1,passeriformes,
anhing,suliformes,
aniani,passeriformes,
anjsun2,passeriformes,
ankser2,passeriformes,
annhum,caprimulgiformes,
anpowl1,strigiformes,
anpswi,caprimulgiformes,
anseag1,accipitriformes,
ansgre1,passeriformes,
ansowl1,strigiformes,
ansowl2,strigiformes,
antant1,passeriformes,
antbrf1,passeriformes,
anteup1,passeriformes,
antman1,caprimulgiformes,
antnig,caprimulgiformes,
antpar1,psittaciformes,
antpet1,procellariiformes,
antpic1,piciformes,
antsha1,suliformes,
antsis1,passeriformes,
antspi1,passeriformes,
antter1,charadriiformes,
antwre2,passeriformes,
anweye1,passeriformes,
anwpig1,columbiformes,
apapan,passeriformes,
apapan2,passeriformes,
apbsun2,passeriformes,
apifly1,passeriformes,
aplfal,falconiformes,
apomyn2,passeriformes,
apostl1,passeriformes,
apowre1,passeriformes,
apptet1,passeriformes,
apubrf1,passeriformes,
apuspi1,passeriformes,
aquwar1,passeriformes,
arabab1,passeriformes,
arabus1,otidiformes,
arafan1,passeriformes,
araman1,passeriformes,
arapar1,galliformes,
arasco1,strigiformes,
arawax1,passeriformes,
arawoo1,piciformes,
arcbow1,passeriformes,
arcbuz1,accipitriformes,
arcloo,gaviiformes,
arcnew1,passeriformes,
arcnig1,caprimulgiformes,
arcter,charadriiformes,
arcwar1,passeriformes,
arcwar2,passeriformes,
arcwar3,passeriformes,
arfast1,passeriformes,
arfcat1,passeriformes,
arfhon1,passeriformes,
argspa2,passeriformes,
ariwoo,piciformes,
armbab1,passeriformes,
armgul1,charadriiformes,
arrcha1,passeriformes,
arrpic1,piciformes,
arrwar1,passeriformes,
artspi1,passeriformes,
asbant1,passeriformes,
asbfly,passeriformes,
asbfly1,passeriformes,
asbowl1,strigiformes,
asbspi1,passeriformes,
asbwhe1,passeriformes,
asccra1,gruiformes,
asccuc1,cuculiformes,
ascspl1,passeriformes,
asctap1,passeriformes,
asdwar1,passeriformes,
asecuc1,cuculiformes,
asfblu1,passeriformes,
asfbul1,passeriformes,
asfowl1,strigiformes,
asgsta1,passeriformes,
asgwea2,passeriformes,
ashant1,passeriformes,
ashbab1,passeriformes,
ashbul1,passeriformes,
ashcis1,passeriformes,
ashcus2,passeriformes,
ashcus3,passeriformes,
ashdro1,passeriformes,
ashflo1,passeriformes,
ashfly1,passeriformes,
ashgoo1,anseriformes,
ashgre1,passeriformes,
ashlar1,passeriformes,
ashlau1,passeriformes,
ashmar1,passeriformes,
ashmin1,passeriformes,
ashmyz1,passeriformes,
ashpri1,passeriformes,
ashsta2,passeriformes,
ashtai1,passeriformes,
ashthr1,passeriformes,
ashtit2,passeriformes,
ashtyr1,passeriformes,
ashwoo1,piciformes,
ashwoo2,passeriformes,
asidow1,charadriiformes,
asidrc2,cuculiformes,
asidrc3,cuculiformes,
asidrc4,cuculiformes,
asifri1,suliformes,
asikoe2,cuculiformes,
asikoe3,cuculiformes,
asiope1,ciconiiformes,
asistu1,passeriformes,
aspfly1,passeriformes,
aspsta2,passeriformes,
aspswi1,caprimulgiformes,
asrfin1,passeriformes,
asslau1,passeriformes,
asspet,procellariiformes,
astant1,passeriformes,
astcas2,passeriformes,
astcra1,gruiformes,
astfly,passeriformes,
astgna1,passeriformes,
astpar1,passeriformes,
astwar2,passeriformes,
aswant1,passeriformes,
aswpig1,columbiformes,
atbtan1,passeriformes,
atfdov1,columbiformes,
athscr1,passeriformes,
atigre1,podicipediformes,
atiswi1,caprimulgiformes,
atlfly1,passeriformes,
atlpet1,procellariiformes,
atlpuf,charadriiformes,
atosta1,passeriformes,
attwoo1,piciformes,
audgul1,charadriiformes,
audori,passeriformes,
audshe,procellariiformes,
audshe3,procellariiformes,
audwar,passeriformes,
augbuz1,accipitriformes,
auimer1,anseriformes,
auirai1,gruiformes,
auisha1,suliformes,
auitea1,anseriformes,
aukpar1,psittaciformes,
aumowl1,strigiformes,
auonig1,caprimulgiformes,
aupowl1,strigiformes,
aurwar1,passeriformes,
ausbit1,pelecaniformes,
ausbla1,passeriformes,
ausbrt1,galliformes,
ausbus1,otidiformes,
ausbus2,passeriformes,
auscan1,passeriformes,
auscra1,gruiformes,
ausfig1,passeriformes,
ausgan1,suliformes,
ausgre1,podicipediformes,
ausgro1,strigiformes,
aushob1,falconiformes,
ausibi1,pelecaniformes,
auskes1,falconiformes,
auskit1,accipitriformes,
ausmag2,passeriformes,
ausneg1,passeriformes,
auspar1,psittaciformes,
auspas1,charadriiformes,
auspel1,pelecaniformes,
auspip1,passeriformes,
auspip2,passeriformes,
auspra1,charadriiformes,
ausrai1,gruiformes,
ausrav1,passeriformes,
ausshe1,anseriformes,
aussho1,anseriformes,
ausswi1,caprimulgiformes,
austhr1,passeriformes,
ayebul1,passeriformes,
ayheag1,accipitriformes,
ayweye3,passeriformes,
azaspi1,passeriformes,
azbpit1,passeriformes,
azchum1,caprimulgiformes,
azhjay1,passeriformes,
aznjay1,passeriformes,
azrpar1,psittaciformes,
azrtan1,passeriformes,
azstan1,passeriformes,
aztthr,passeriformes,
azugal1,gruiformes,
azujay1,passeriformes,
azukin1,coraciiformes,
azutit2,passeriformes,
azwmag2,passeriformes,
azwmag3,passeriformes,
babcra1,gruiformes,
babcuc2,cuculiformes,
babcuc4,cuculiformes,
babcus1,passeriformes,
babfir1,passeriformes,
babhon1,passeriformes,
babowl1,strigiformes,
babpar1,galliformes,
babpic1,piciformes,
babpit1,passeriformes,
babshr1,passeriformes,
babsta1,passeriformes,
babtan1,passeriformes,
babwar,passeriformes,
babwoo1,passeriformes,
babwoo2,piciformes,
babwoo3,piciformes,
babwre1,passeriformes,
bacant1,passeriformes,
bacant2,passeriformes,
bacbab1,passeriformes,
bacdov1,columbiformes,
baceag2,accipitriformes,
bacfan1,passeriformes,
bacori1,passeriformes,
bacspa,passeriformes,
bactro1,trogoniformes,
bacwar,passeriformes,
baeant1,passeriformes,
baemyn1,passeriformes,
baeowl1,strigiformes,
baepig2,columbiformes,
baepoc1,anseriformes,
baerai1,gruiformes,
baerob1,passeriformes,
bafbul1,passeriformes,
bafcur1,galliformes,
baffal1,falconiformes,
bafibi1,pelecaniformes,
bafrai2,gruiformes,
bagbab2,passeriformes,
bagcot1,passeriformes,
bagcuc1,cuculiformes,
bagtan1,passeriformes,
bagtan2,passeriformes,
bagwea1,passeriformes,
bahant1,passeriformes,
bahgoo,anseriformes,
bahlau1,passeriformes,
bahmoc,passeriformes,
bahnig1,caprimulgiformes,
bahspi1,passeriformes,
bahswa,passeriformes,
bahtan1,passeriformes,
bahtap1,passeriformes,
bahtre1,passeriformes,
bahtyr1,passeriformes,
bahwoo,caprimulgiformes,
bahyel1,passeriformes,
baicra1,gruiformes,
baifly1,passeriformes,
baipig1,columbiformes,
baisan,charadriiformes,
baispa,passeriformes,
baitea,anseriformes,
baitro1,trogoniformes,
bakind1,passeriformes,
baleag,accipitriformes,
balibi1,pelecaniformes,
balica1,passeriformes,
balmal2,passeriformes,
balmyn1,passeriformes,
balori,passeriformes,
balowl,strigiformes,
balpar1,psittaciformes,
balshe1,procellariiformes,
balspi1,caprimulgiformes,
balswi1,caprimulgiformes,
balwar1,passeriformes,
bamant1,passeriformes,
bamapa1,passeriformes,
bamwoo1,piciformes,
banana,passeriformes,
banant1,passeriformes,
banant2,passeriformes,
banbar1,piciformes,
banbro1,passeriformes,
bancor1,suliformes,
bancot1,passeriformes,
bancro1,passeriformes,
banfru1,passeriformes,
banhon1,passeriformes,
banjuf1,passeriformes,
bankes1,falconiformes,
bankin1,coraciiformes,
banlap1,charadriiformes,
banmar1,passeriformes,
banmyn1,passeriformes,
banmyz1,passeriformes,
banpit2,passeriformes,
banpit3,passeriformes,
banpit4,passeriformes,
banpri1,passeriformes,
banpri3,passeriformes,
banqua1,galliformes,
banscw1,passeriformes,
bansti1,charadriiformes,
bansun1,passeriformes,
bansun3,passeriformes,
banswa,passeriformes,
bantur1,musophagiformes,
banumb1,passeriformes,
banwar2,passeriformes,
banwea1,passeriformes,
banwhi1,passeriformes,
banwoo2,piciformes,
banwre1,passeriformes,
barant1,passeriformes,
barant2,passeriformes,
barbec1,passeriformes,
barbro1,passeriformes,
barbul1,passeriformes,
barbut1,charadriiformes,
barcud1,columbiformes,
bardov2,columbiformes,
barfin1,passeriformes,
barfly1,passeriformes,
barfru1,passeriformes,
bargol,anseriformes,
bargoo,anseriformes,
barhaw1,accipitriformes,
barhob1,accipitriformes,
barhob2,accipitriformes,
barhon2,passeriformes,
barlar1,passeriformes,
barlau1,passeriformes,
barowl1,strigiformes,
barowl13,strigiformes,
barowl28,strigiformes,
barowl5,strigiformes,
barowl7,strigiformes,
barown1,caprimulgiformes,
barown2,caprimulgiformes,
barpar1,psittaciformes,
barpar2,galliformes,
barpet,procellariiformes,
barpet1,procellariiformes,
barpuf1,galbuliformes,
barrai1,gruiformes,
barswa,passeriformes,
barswa1,passeriformes,
barswi,caprimulgiformes,
bartin1,tinamiformes,
bartin2,tinamiformes,
bartyr1,passeriformes,
barwaf2,passeriformes,
barwar,passeriformes,
barwar1,passeriformes,
barwar2,passeriformes,
basdov1,columbiformes,
baseag1,accipitriformes,
basowl,strigiformes,
baswar1,passeriformes,
batant1,passeriformes,
batant2,passeriformes,
batant3,passeriformes,
batapa2,passeriformes,
batapa3,passeriformes,
batapa4,passeriformes,
batapa5,passeriformes,
batbar1,caprimulgiformes,
batbel1,passeriformes,
batear1,passeriformes,
batele1,accipitriformes,
batfal1,falconiformes,
batfru1,passeriformes,
batgod,charadriiformes,
batgua1,galliformes,
bathaw1,accipitriformes,
batlar1,passeriformes,
batman1,passeriformes,
batnig1,caprimulgiformes,
batnig2,caprimulgiformes,
batoro1,passeriformes,
batpaf1,passeriformes,
batpig1,columbiformes,
batsee1,passeriformes,
batsee2,passeriformes,
batsun2,passeriformes,
batswi1,caprimulgiformes,
battre1,passeriformes,
battro1,trogoniformes,
batwea1,passeriformes,
batwhi1,passeriformes,
baugre1,passeriformes,
baugua1,galliformes,
bauoro2,passeriformes,
bavcot1,passeriformes,
bawant1,passeriformes,
bawbec1,passeriformes,
bawbul2,passeriformes,
bawcow3,passeriformes,
bawcow4,passeriformes,
baweye1,passeriformes,
baweye2,passeriformes,
bawfly1,passeriformes,
bawfly2,passeriformes,
bawhae1,accipitriformes,
bawhor2,bucerotiformes,
bawkin1,coraciiformes,
bawman1,passeriformes,
bawman3,passeriformes,
bawmoc1,passeriformes,
bawmon1,passeriformes,
bawmon3,passeriformes,
bawnig1,caprimulgiformes,
bawnig3,caprimulgiformes,
bawori1,passeriformes,
bawowl1,strigiformes,
bawpri1,passeriformes,
bawrai1,gruiformes,
bawsee1,passeriformes,
bawswa1,passeriformes,
bawtan1,passeriformes,
bawtri1,passeriformes,
bawtyr1,passeriformes,
bawwar,passeriformes,
bawwar1,passeriformes,
bawwea1,passeriformes,
bayant1,passeriformes,
baybro1,passeriformes,
baycou1,cuculiformes,
bayfly1,passeriformes,
baygro1,passeriformes,
baymac,psittaciformes,
baymar1,passeriformes,
baytan2,passeriformes,
baytan3,passeriformes,
baywea1,passeriformes,
baywoo1,piciformes,
baywre1,passeriformes,
bbbeat1,coraciiformes,
bbbeat2,coraciiformes,
bbbtan1,passeriformes,
bbbtyr1,passeriformes,
bbcdov1,columbiformes,
bbctyr1,passeriformes,
bbfdov1,columbiformes,
bbfdov2,columbiformes,
bbfgle1,passeriformes,
bbgsta1,passeriformes,
bbifin1,passeriformes,
bbmtan1,passeriformes,
bbmtou1,piciformes,
bbnthr1,passeriformes,
bbopar1,passeriformes,
bbrwar1,passeriformes,
bbsfin1,passeriformes,
bbspet1,procellariiformes,
bbsrob1,passeriformes,
bbttyr1,passeriformes,
bbttyr2,passeriformes,
bbwdov1,columbiformes,
bbwduc,anseriformes,
bbwqua1,galliformes,
bbwtyr1,passeriformes,
bcatan1,passeriformes,
bcbeag1,accipitriformes,
bcbeat1,coraciiformes,
bcbfin1,passeriformes,
bcfdov1,columbiformes,
bcfdov2,columbiformes,
bcfgle1,passeriformes,
bchpar1,psittaciformes,
bcmtan1,passeriformes,
bcmtan2,passeriformes,
bcnher,pelecaniformes,
bcptan1,passeriformes,
bcptyr1,passeriformes,
bcrfin,passeriformes,
bcrtai1,psittaciformes,
bcrthr1,passeriformes,
bcslar1,passeriformes,
bcswea1,passeriformes,
bctspi1,passeriformes,
bcweye2,passeriformes,
bcwfin1,passeriformes,
bcwfin2,passeriformes,
bcwpar1,galliformes,
bcwspi1,passeriformes,
bcwwar1,passeriformes,
beabar1,piciformes,
beabel1,passeriformes,
beafir1,passeriformes,
beagua1,galliformes,
beahum1,caprimulgiformes,
beajay1,passeriformes,
beakin2,coraciiformes,
beamou1,caprimulgiformes,
beanut1,passeriformes,
bearee1,passeriformes,
bearos1,passeriformes,
beasib1,passeriformes,
beasne1,accipitriformes,
beasun2,passeriformes,
beatac1,passeriformes,
beathk1,charadriiformes,
beatre1,passeriformes,
beawoo1,piciformes,
beawoo2,piciformes,
becpet1,procellariiformes,
becscr1,passeriformes,
beehum1,caprimulgiformes,
beelar1,passeriformes,
befdov1,columbiformes,
begdov1,columbiformes,
begdov2,columbiformes,
beibab1,passeriformes,
belfly1,passeriformes,
belgul,charadriiformes,
belkin1,coraciiformes,
belmel1,passeriformes,
belmin1,passeriformes,
belspa2,passeriformes,
belvir,passeriformes,
belyel1,passeriformes,
benbus1,passeriformes,
benbuw1,passeriformes,
benflo2,otidiformes,
benlar1,passeriformes,
benthr,passeriformes,
benwea1,passeriformes,
benwoo1,piciformes,
bepfly1,passeriformes,
berant1,passeriformes,
bercan1,passeriformes,
berfli1,piciformes,
berhaw1,accipitriformes,
berhum,caprimulgiformes,
bernih1,pelecaniformes,
berpet,procellariiformes,
berpip1,passeriformes,
bertea1,anseriformes,
bertin1,tinamiformes,
bertow1,passeriformes,
bervan1,passeriformes,
berwea2,passeriformes,
besbab1,passeriformes,
beslar1,passeriformes,
besowl,strigiformes,
besra1,accipitriformes,
besrob1,passeriformes,
bestan1,passeriformes,
beweye1,passeriformes,
bewpar1,galliformes,
bewqua1,galliformes,
bewwre,passeriformes,
bfbwar1,passeriformes,
bffgle,passeriformes,
bfgbir1,musophagiformes,
bfgdov1,columbiformes,
bfgtyr1,passeriformes,
bfoboo,suliformes,
bfpgua1,galliformes,
bfppar1,psittaciformes,
bfqdov1,columbiformes,
bfweye1,passeriformes,
bfwqua1,galliformes,
bhbeat1,coraciiformes,
bhbeat2,coraciiformes,
bhcfly1,passeriformes,
bhmfin1,passeriformes,
bhnthr1,passeriformes,
bhpfly1,passeriformes,
bhpkin1,coraciiformes,
bhptit1,passeriformes,
bhqdov1,columbiformes,
bhrtai1,psittaciformes,
bhsbab1,passeriformes,
bhsfin1,passeriformes,
bhtfly1,passeriformes,
bhulau1,passeriformes,
bhwdov1,columbiformes,
bhweye1,passeriformes,
biacou1,cuculiformes,
biafly1,passeriformes,
biager1,passeriformes,
biamon1,passeriformes,
biasco1,strigiformes,
biawar1,passeriformes,
biawhi1,passeriformes,
bicant2,passeriformes,
bicant3,passeriformes,
bicant4,passeriformes,
biccon1,passeriformes,
bicflo1,passeriformes,
bichaw1,accipitriformes,
bichaw4,accipitriformes,
bicpen1,sphenisciformes,
bicthr,passeriformes,
bicwre1,passeriformes,
bielau1,passeriformes,
biipig1,columbiformes,
bimlar1,passeriformes,
bimwar1,passeriformes,
bipkin1,coraciiformes,
bisfan1,passeriformes,
bisfly1,passeriformes,
bishao1,strigiformes,
biskin1,coraciiformes,
bismel1,passeriformes,
bismun1,passeriformes,
bisoo,passeriformes,
bisswi1,caprimulgiformes,
bisthi1,passeriformes,
biswhi1,passeriformes,
biswoo1,passeriformes,
biweye1,passeriformes,
bkbalb,procellariiformes,
bkbalb2,procellariiformes,
bkbbit1,pelecaniformes,
bkbbrt1,galliformes,
bkbbus1,otidiformes,
bkbcuc,cuculiformes,
bkbcus1,passeriformes,
bkbcus2,passeriformes,
bkbful1,passeriformes,
bkbkin1,coraciiformes,
bkbkit1,accipitriformes,
bkbkoe1,cuculiformes,
bkbmag1,passeriformes,
bkbmyz1,passeriformes,
bkbowl1,strigiformes,
bkbplo,charadriiformes,
bkbsht1,passeriformes,
bkbsne1,accipitriformes,
bkbsun1,passeriformes,
bkbtan1,passeriformes,
bkbtho1,caprimulgiformes,
bkbthr3,passeriformes,
bkbthr4,passeriformes,
bkbtit1,passeriformes,
bkbtit2,passeriformes,
bkbtit3,passeriformes,
bkbtit4,passeriformes,
bkbtit6,passeriformes,
bkbtof1,passeriformes,
bkbwar,passeriformes,
bkbwoo,piciformes,
bkcbar1,passeriformes,
bkcbul1,passeriformes,
bkcbul2,passeriformes,
bkcbul3,passeriformes,
bkcbul4,passeriformes,
bkccat1,passeriformes,
bkcchi,passeriformes,
bkcdon,passeriformes,
bkcful1,passeriformes,
bkcgna,passeriformes,
bkchem2,passeriformes,
bkchum,caprimulgiformes,
bkclau1,passeriformes,
bkclau2,passeriformes,
bkcmon1,passeriformes,
bkcmot1,passeriformes,
bkcori,passeriformes,
bkcpet,procellariiformes,
bkcpet2,procellariiformes,
bkcpip1,passeriformes,
bkcruw1,passeriformes,
bkcsco1,strigiformes,
bkcspa,passeriformes,
bkcsta1,passeriformes,
bkctch1,passeriformes,
bkctit1,passeriformes,
bkcvir1,passeriformes,
bkcwea1,passeriformes,
bkcwhe1,passeriformes,
bkcwhi1,passeriformes,
bkefai1,caprimulgiformes,
bkegrt1,passeriformes,
bkehem1,passeriformes,
bkehem3,passeriformes,
bkewhe2,passeriformes,
bkfalb,procellariiformes,
bkfant2,passeriformes,
bkfbab1,passeriformes,
bkfbrf1,passeriformes,
bkfcus1,passeriformes,
bkfdac1,passeriformes,
bkffir1,passeriformes,
bkffri1,passeriformes,
bkffri2,passeriformes,
bkfgra,passeriformes,
bkfibi2,pelecaniformes,
bkfqua1,passeriformes,
bkfruw1,passeriformes,
bkhbat1,passeriformes,
bkhber1,passeriformes,
bkhcan1,passeriformes,
bkhcus1,passeriformes,
bkhgre1,passeriformes,
bkhgro,passeriformes,
bkhgul,charadriiformes,
bkhpaf2,passeriformes,
bkhpar,psittaciformes,
bkhpar1,passeriformes,
bkhpit1,passeriformes,
bklbab1,passeriformes,
bklkit,charadriiformes,
bkmtou1,piciformes,
bknfrd1,columbiformes,
bknsti,charadriiformes,
bknsti2,charadriiformes,
bkpwar,passeriformes,
bkrfin,passeriformes,
bkrfla2,piciformes,
bkrwax,passeriformes,
bkrwhe1,passeriformes,
bksbrf1,passeriformes,
bkskit1,accipitriformes,
bksnig1,caprimulgiformes,
bkspet,procellariiformes,
bksscb1,passeriformes,
bktflo1,passeriformes,
bktgna,passeriformes,
bktgod,charadriiformes,
bktgul,charadriiformes,
bkther1,caprimulgiformes,
bktshr1,passeriformes,
bktshr2,passeriformes,
bktspa,passeriformes,
bkttre1,passeriformes,
bkttro2,trogoniformes,
bkvori,passeriformes,
bkvshe,procellariiformes,
bkwcus1,passeriformes,
bkwpet,procellariiformes,
bkwsta1,passeriformes,
bkwsti,charadriiformes,
bkwvir,passeriformes,
blaant1,passeriformes,
blaant2,passeriformes,
blaant4,passeriformes,
blaant5,passeriformes,
blabab2,passeriformes,
blabaz1,accipitriformes,
blaber1,passeriformes,
blabis1,passeriformes,
blabit1,pelecaniformes,
blabul1,passeriformes,
blabus1,passeriformes,
blabus3,otidiformes,
blabut1,passeriformes,
blacar1,falconiformes,
blacat1,passeriformes,
blacin1,passeriformes,
blackc1,passeriformes,
blacks1,passeriformes,
blacou1,cuculiformes,
blacra1,gruiformes,
blacuc1,cuculiformes,
blacur1,galliformes,
blacur2,passeriformes,
blacus1,passeriformes,
bladro1,passeriformes,
blaeag1,accipitriformes,
blafal1,falconiformes,
blafan1,passeriformes,
blagos1,accipitriformes,
blagra1,passeriformes,
blagro1,galliformes,
blagua1,galliformes,
blagui1,galliformes,
blahar1,accipitriformes,
blaher1,pelecaniformes,
blahon1,passeriformes,
blahor1,bucerotiformes,
blaill1,passeriformes,
blainc1,caprimulgiformes,
blakit1,accipitriformes,
blalar1,passeriformes,
blalar2,passeriformes,
blalar4,passeriformes,
blalau1,passeriformes,
blalor1,psittaciformes,
blamag1,passeriformes,
blaman1,passeriformes,
blamet1,caprimulgiformes,
blamon1,passeriformes,
blamun1,passeriformes,
blamyz1,passeriformes,
blanig1,caprimulgiformes,
blanun1,galbuliformes,
blaori1,passeriformes,
blaoro1,passeriformes,
blaoys1,charadriiformes,
blapar1,psittaciformes,
blapar2,galliformes,
blapew1,passeriformes,
blapit1,passeriformes,
blaplo1,charadriiformes,
blarai1,gruiformes,
blared1,passeriformes,
blarob1,passeriformes,
blaros1,passeriformes,
blasha1,passeriformes,
blasic1,passeriformes,
blasis1,passeriformes,
blasno1,passeriformes,
blasol1,passeriformes,
blaspi1,caprimulgiformes,
blasti1,charadriiformes,
blasto1,ciconiiformes,
blatap1,passeriformes,
blatin1,tinamiformes,
blawhe1,passeriformes,
blawoo1,piciformes,
blbant1,passeriformes,
blbant2,passeriformes,
blbbab1,passeriformes,
blbbar1,piciformes,
blbbar2,piciformes,
blbbar3,piciformes,
blbbar4,piciformes,
blbbar5,piciformes,
blbboa1,passeriformes,
blbbut1,passeriformes,
blbbut2,charadriiformes,
blbcap1,galliformes,
blbcon1,passeriformes,
blbcra1,gruiformes,
blbcuc1,cuculiformes,
blbduc1,anseriformes,
blbeat1,coraciiformes,
