ebird2021,comment
amedip,
amekes,
amepip,
amerob,
annhum,
batpig1,
belkin1,
bkbwoo,
bkhgro,
blkpho,
brebla,
brespa,
brncre,
btywar,
buffle,
bushti,
calhum,
cangoo,
casfin,
casvir,
chispa,
clanut,
commer,
comnig,
comrav,
cowscj1,
daejun,
dusfly,
evegro,
flaowl,
foxspa,
gadwal,
gcrfin,
gnttow,
gockin,
grhowl,
haiwoo,
hamfly,
herthr,
herwar,
houwre,
lazbun,
lesgol,
linspa,
macwar,
mallar3,
moublu,
mouchi,
mouqua,
naswar,
nopowl,
norfli,
norgos,
nswowl,
olsfly,
pacwre1,
pasfly,
pilwoo,
pinsis,
purfin,
rebnut,
rebsap,
redcro,
rethaw,
rocwre,
rufhum,
shshaw,
sonspa,
soogro1,
spoowl,
sposan,
spotow,
stejay,
swathr,
towsol,
treswa,
turvul,
vigswa,
warvir,
westan,
wewpew,
whbnut,
whcspa,
whhwoo,
whtpta1,
whtswi,
wilsap,
wlswar,
yerwar,
