ebird2021,comment
amedip,
amekes,
amerob,
annhum,
batpig1,
belkin1,
bkbwoo,
bkhgro,
blkpho,
brebla,
brncre,
btywar,
buffle,
bushti,
calhum,
cangoo,
casfin,
casvir,
chispa,
clanut,
comnig,
comrav,
cowscj1,
daejun,
dusfly,
evegro,
flaowl,
foxspa,
gadwal,
gnttow,
gockin,
grhowl,
haiwoo,
hamfly,
herthr,
herwar,
houwre,
lazbun,
lesgol,
linspa,
macwar,
moublu,
mouchi,
mouqua,
naswar,
nopowl,
norfli,
norgos,
nswowl,
olsfly,
pacwre1,
pasfly,
pilwoo,
pinsis,
purfin,
rebnut,
rebsap,
redcro,
rethaw,
rufhum,
shshaw,
sonspa,
soogro1,
spoowl,
spotow,
stejay,
swathr,
towsol,
treswa,
turvul,
warvir,
westan,
wewpew,
whbnut,
whhwoo,
whtswi,
wilsap,
wlswar,
yerwar,
