hawaii_dataset,comment
Akeake,
Alawi,
Apapane,
Black francolin,
California quail,
Chukar,
Erckels francolin,
Eurasian skylark,
Hawaii akepa,
Hawaii amakihi,
Hawaii elepaio,
House Finch,
Iiwi,
Io,
Japanese bush warbler,
Kalij pheasant,
Melodious laughing thrush,
Nene,
Northern cardinal,
Omao,
Palila,
Red-billed leiothrix,
Uau,
Warbling white-eye,
Wild turkey,
Wing flutter,
Yellow-fronted canary,
