TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
5175,issf,clarai5,Ridgway's Rail (Yuma),Rallus obsoletus yumanensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",ridrai1
5176,species,kinrai2,Aztec Rail,Rallus tenuirostris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5177,species,manrai1,Mangrove Rail,Rallus longirostris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5178,issf,manrai2,Mangrove Rail (Fonseca),Rallus longirostris berryorum,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",manrai1
5179,issf,clarai10,Mangrove Rail (Ecuadorian),Rallus longirostris cypereti,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",manrai1
5180,issf,clarai8,Mangrove Rail (Atlantic),Rallus longirostris [longirostris Group],Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",manrai1
5187,species,kinrai4,King Rail,Rallus elegans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5188,issf,kinrai1,King Rail (Northern),Rallus elegans elegans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",kinrai4
5189,issf,kinrai3,King Rail (Cuban),Rallus elegans ramsdeni,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",kinrai4
5190,slash,kinrai,Aztec/King Rail,Rallus tenuirostris/elegans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5191,species,clarai11,Clapper Rail,Rallus crepitans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5192,issf,clarai1,Clapper Rail (Atlantic Coast),Rallus crepitans crepitans/waynei,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",clarai11
5195,issf,clarai2,Clapper Rail (Gulf Coast),Rallus crepitans saturatus/scottii,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",clarai11
5198,issf,clarai7,Clapper Rail (Caribbean),Rallus crepitans [caribaeus Group],Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",clarai11
5203,issf,clarai9,Clapper Rail (Yucatan),Rallus crepitans [pallidus Group],Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",clarai11
5207,hybrid,x00948,King x Clapper Rail (hybrid),Rallus elegans x crepitans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5208,slash,rallus,King/Clapper Rail,Rallus elegans/crepitans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5209,slash,clarai,Ridgway's/Mangrove/Clapper Rail,Rallus obsoletus/longirostris/crepitans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5210,spuh,larrai1,large rail sp.,Rallus sp. (large Rallus sp.),Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5211,species,plfrai1,Plain-flanked Rail,Rallus wetmorei,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5212,species,virrai,Virginia Rail,Rallus limicola,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5213,issf,virrai2,Virginia Rail (Virginia),Rallus limicola limicola/friedmanni,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",virrai
5216,issf,virrai1,Virginia Rail (South American),Rallus limicola aequatorialis/meyerdeschauenseei,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",virrai
5219,slash,y00602,King/Virginia Rail,Rallus elegans/limicola,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5220,species,bograi1,Bogota Rail,Rallus semiplumbeus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5223,species,ausrai1,Austral Rail,Rallus antarcticus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5224,species,watrai1,Water Rail,Rallus aquaticus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5228,species,bncrai1,Brown-cheeked Rail,Rallus indicus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5229,slash,y00949,Water/Brown-cheeked Rail,Rallus aquaticus/indicus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5230,species,afrrai1,African Rail,Rallus caerulescens,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5231,species,madrai1,Madagascar Rail,Rallus madagascariensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5232,spuh,rallus1,Rallus sp.,Rallus sp.,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5233,species,whtrai1,White-throated Rail,Dryolimnas cuvieri,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5237,species,reurai1,Reunion Rail,Dryolimnas augusti,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5238,species,redrai1,Red Rail,Aphanapteryx bonasia,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5239,species,rodrai1,Rodrigues Rail,Erythromachus leguati,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5240,species,corcra,Corn Crake,Crex crex,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5241,species,afrcra1,African Crake,Crex egregia,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5242,species,rourai1,Rouget's Rail,Rougetius rougetii,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5243,species,inirai1,Inaccessible Island Rail,Atlantisia rogersi,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5244,species,sthcra1,St. Helena Crake,Atlantisia podarces,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5245,species,asccra1,Ascension Crake,Mundia elpenor,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5246,species,plarai1,Snoring Rail,Aramidopsis plateni,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5247,species,slbrai1,Slaty-breasted Rail,Lewinia striata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5255,species,luzrai1,Luzon Rail,Lewinia mirifica,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5256,species,lewrai1,Lewin's Rail,Lewinia pectoralis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5265,species,auirai1,Auckland Islands Rail,Lewinia muelleri,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5266,species,bafrai2,Blue-faced Rail,Gymnocrex rosenbergii,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5267,species,baerai1,Bare-eyed Rail,Gymnocrex plumbeiventris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5270,species,talrai1,Talaud Rail,Gymnocrex talaudensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5271,species,hawrai1,Hawkins's Rail,Diaphorapteryx hawkinsi,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5272,species,calrai1,Calayan Rail,Gallirallus calayanensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5273,species,invrai1,Invisible Rail,Gallirallus wallacii,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5274,species,cherai1,Chestnut Rail,Gallirallus castaneoventris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5277,species,weka1,Weka,Gallirallus australis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5282,species,necrai1,New Caledonian Rail,Gallirallus lafresnayanus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5283,species,lohrai1,Lord Howe Rail,Gallirallus sylvestris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5284,species,okirai1,Okinawa Rail,Gallirallus okinawae,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5285,species,tahrai1,Tahiti Rail,Gallirallus pacificus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5286,species,bubrai1,Buff-banded Rail,Gallirallus philippensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5308,species,chirai1,Chatham Islands Rail,Gallirallus modestus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5309,species,dierai1,Dieffenbach's Rail,Gallirallus dieffenbachii,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5310,species,nebrai1,New Britain Rail,Gallirallus insignis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5311,species,woorai1,Woodford's Rail,Gallirallus woodfordi,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5312,issf,woorai2,Woodford's Rail (Bougainville),Gallirallus woodfordi tertius,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",woorai1
5313,issf,woorai3,Woodford's Rail (Santa Isabel),Gallirallus woodfordi immaculatus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",woorai1
5314,issf,woorai4,Woodford's Rail (Guadalcanal),Gallirallus woodfordi woodfordi,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",woorai1
5315,species,bawrai1,Bar-winged Rail,Gallirallus poecilopterus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5316,species,guarai1,Guam Rail,Gallirallus owstoni,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5317,species,wairai1,Wake Island Rail,Gallirallus wakensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5318,species,barrai1,Barred Rail,Gallirallus torquatus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5324,species,rovrai1,Roviana Rail,Gallirallus rovianae,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5325,species,gytrai1,Gray-throated Rail,Canirallus oculeus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5326,species,astcra1,Ash-throated Crake,Mustelirallus albicollis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5329,species,colcra2,Colombian Crake,Mustelirallus colombianus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5332,species,pabcra,Paint-billed Crake,Mustelirallus erythrops,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5335,species,zaprai1,Zapata Rail,Cyanolimnas cerverai,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5336,species,sporai,Spotted Rail,Pardirallus maculatus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5339,species,blarai1,Blackish Rail,Pardirallus nigricans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5342,species,plurai1,Plumbeous Rail,Pardirallus sanguinolentus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5349,species,unicra1,Uniform Crake,Amaurolimnas concolor,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5353,species,giwrai1,Giant Wood-Rail,Aramides ypecaha,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5354,species,brwrai1,Brown Wood-Rail,Aramides wolfi,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5355,species,liwrai1,Little Wood-Rail,Aramides mangle,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5356,species,rnwrai1,Rufous-necked Wood-Rail,Aramides axillaris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5357,species,runwor1,Russet-naped Wood-Rail,Aramides albiventris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5358,species,gycwor1,Gray-cowled Wood-Rail,Aramides cajaneus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5359,issf,gycwor2,Gray-cowled Wood-Rail (Gray-cowled),Aramides cajaneus cajaneus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",gycwor1
5360,issf,gycwor3,Gray-cowled Wood-Rail (Gray-backed),Aramides cajaneus avicenniae,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",gycwor1
5361,slash,gnwrai1,Russet-naped/Gray-cowled Wood-Rail,Aramides albiventris/cajaneus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5362,species,rwwrai1,Red-winged Wood-Rail,Aramides calopterus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5363,species,sbwrai1,Slaty-breasted Wood-Rail,Aramides saracura,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5364,spuh,woodra1,wood-rail sp.,Aramides sp.,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5365,species,btnhen1,Black-tailed Nativehen,Tribonyx ventralis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5366,species,hodwat1,Hodgen's Waterhen,Tribonyx hodgenorum,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5367,species,tanhen1,Tasmanian Nativehen,Tribonyx mortierii,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5368,species,spfgal1,Spot-flanked Gallinule,Porphyriops melanops,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5372,species,sora,Sora,Porzana carolina,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5373,species,spocra1,Spotted Crake,Porzana porzana,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5374,species,auscra1,Australian Crake,Porzana fluminea,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5375,species,dowcra1,Dot-winged Crake,Porzana spiloptera,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5376,species,lesmoo1,Lesser Moorhen,Paragallinula angulata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5377,species,sacmoo1,Makira Moorhen,Gallinula silvestris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5378,species,trimoo2,Tristan Moorhen,Gallinula nesiotis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5379,species,trimoo3,Gough Moorhen,Gallinula comeri,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5380,species,commoo3,Eurasian Moorhen,Gallinula chloropus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5386,species,comgal1,Common Gallinule,Gallinula galeata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5387,issf,commoo2,Common Gallinule (American),Gallinula galeata [galeata Group],Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",comgal1
5393,issf,comgal2,Common Gallinule (Altiplano),Gallinula galeata garmani,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",comgal1
5394,issf,commoo1,Common Gallinule (Hawaiian),Gallinula galeata sandvicensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",comgal1
5395,slash,commoo,Eurasian Moorhen/Common Gallinule,Gallinula chloropus/galeata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5396,species,dusmoo1,Dusky Moorhen,Gallinula tenebrosa,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5400,species,sammoo1,Samoan Moorhen,Gallinula pacifica,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5401,species,refcoo1,Red-fronted Coot,Fulica rufifrons,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5402,species,horcoo1,Horned Coot,Fulica cornuta,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5403,species,giacoo1,Giant Coot,Fulica gigantea,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5404,species,regcoo1,Red-gartered Coot,Fulica armillata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5405,species,eurcoo,Eurasian Coot,Fulica atra,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5410,hybrid,x00389,Eurasian Moorhen x Eurasian Coot (hybrid),Gallinula chloropus x Fulica atra,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5411,species,mascoo1,Mascarene Coot,Fulica newtonii,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5412,species,rekcoo1,Red-knobbed Coot,Fulica cristata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5413,slash,y00680,Eurasian/Red-knobbed Coot,Fulica atra/cristata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5414,hybrid,x00911,Eurasian x Red-knobbed Coot (hybrid),Fulica atra x cristata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5415,species,hawcoo,Hawaiian Coot,Fulica alai,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5416,form,hawcoo1,Hawaiian Coot (Red-shielded),Fulica alai (Red-shielded),Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",hawcoo
5417,form,hawcoo2,Hawaiian Coot (White-shielded),Fulica alai (White-shielded),Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",hawcoo
5418,species,y00475,American Coot,Fulica americana,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5421,form,amecoo,American Coot (Red-shielded),Fulica americana (Red-shielded),Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",y00475
5422,form,carcoo1,American Coot (White-shielded),Fulica americana (White-shielded),Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",y00475
5423,hybrid,x00390,Common Gallinule x American Coot (hybrid),Gallinula galeata x Fulica americana,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5424,species,slccoo1,Slate-colored Coot,Fulica ardesiaca,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5427,form,slccoo2,Slate-colored Coot (White-billed),Fulica ardesiaca (White-billed),Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",slccoo1
5428,form,slccoo3,Slate-colored Coot (Yellow-billed),Fulica ardesiaca (Yellow-billed),Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",slccoo1
5429,hybrid,x00845,Red-gartered x Slate-colored Coot (hybrid),Fulica armillata x ardesiaca,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5430,species,whwcoo1,White-winged Coot,Fulica leucoptera,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5431,spuh,coot1,coot sp.,Fulica sp.,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5432,species,allgal1,Allen's Gallinule,Porphyrio alleni,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5433,species,purgal2,Purple Gallinule,Porphyrio martinica,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5434,species,azugal1,Azure Gallinule,Porphyrio flavirostris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5435,species,marswa1,Marquesan Swamphen,Porphyrio paepae,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5436,species,necgal1,New Caledonian Gallinule,Porphyrio kukwiedei,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5437,species,reugal1,Reunion Gallinule,Porphyrio caerulescens,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5438,species,purswa1,Western Swamphen,Porphyrio porphyrio,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5439,species,purswa4,Black-backed Swamphen,Porphyrio indicus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5440,species,purswa2,African Swamphen,Porphyrio madagascariensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5441,species,takahe3,South Island Takahe,Porphyrio hochstetteri,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5442,species,takahe2,North Island Takahe,Porphyrio mantelli,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5443,species,purswa6,Australasian Swamphen,Porphyrio melanotus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5449,species,purswa5,Philippine Swamphen,Porphyrio pulverulentus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5450,species,lohswa1,Lord Howe Swamphen,Porphyrio albus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5451,species,purswa3,Gray-headed Swamphen,Porphyrio poliocephalus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5456,hybrid,x00844,Black-backed x Gray-headed Swamphen (hybrid),Porphyrio indicus x poliocephalus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5457,slash,y00951,Black-backed/Gray-headed Swamphen,Porphyrio indicus/poliocephalus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5458,spuh,purswa,swamphen sp.,Porphyrio sp. (swamphen sp.),Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5459,spuh,y00614,moorhen/coot/gallinule sp.,Gallinula/Fulica/Porphyrio sp.,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5460,species,nkurai1,Nkulengu Rail,Himantornis haematopus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5461,species,whbcra1,White-browed Crake,Poliolimnas cinereus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5462,species,ngfrai1,New Guinea Flightless Rail,Megacrex inepta,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5465,species,waterc1,Watercock,Gallicrex cinerea,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5466,species,isabuh1,Isabelline Bush-hen,Amaurornis isabellina,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5467,species,plabuh1,Plain Bush-hen,Amaurornis olivacea,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5468,species,whbwat1,White-breasted Waterhen,Amaurornis phoenicurus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5473,species,talbuh1,Talaud Bush-hen,Amaurornis magnirostris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5474,species,rutbuh1,Pale-vented Bush-hen,Amaurornis moluccana,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5479,species,strcra1,Striped Crake,Amaurornis marginalis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5480,species,chfrai1,Chestnut Forest-Rail,Rallina rubra,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5484,species,wsfrai1,White-striped Forest-Rail,Rallina leucospila,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5485,species,forrai1,Forbes's Rail,Rallina forbesi,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5490,species,mayrai1,Mayr's Rail,Rallina mayri,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5493,species,rencra1,Red-necked Crake,Rallina tricolor,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5494,species,andcra1,Andaman Crake,Rallina canningi,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5495,form,grncra1,Great Nicobar Crake (undescribed form),Rallina [undescribed form],Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5496,species,relcra1,Red-legged Crake,Rallina fasciata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
